B: 	dat gaan best wel soepel 
A: 	yes 
B: 	oké maar nu hebben ik weer een vierkantje 
B: 	nu hebben ik ja hoe noemen je dat ? dat bekert zeggen maar en er zitten halverwege zo'n vierkant plaat doorheen 
A: 	oehlen ja die zijn 
B: 	dat zijn er maar één toch die dat hebben 
A: 	ja 
B: 	en er zitten zo twee van die poo in 
A: 	die dus die zitten iets hoog dan dan halverwege zitten die 
B: 	ja dus hij staat niet op die plaat maar er er staan een plaat zeggen maar horizontaal en daar zitten die soort van half zo in 
A: 	zitten dat zitten die plaat 
A: 	ja en er liggen ook een bak op zeggen maar 
A: 	op die plaat 
B: 	ja 
A: 	oké 
B: 	ja 
A: 	dan zijn het voor mij 
B: 	dan denken ik dat we dezelfde hebben 
A: 	ja toch 
B: 	ja 
A: 	hij hebben die die die plaat hebben zeggen maar twee poot en een bak erop 
B: 	nee dat zijn zeggen maar een ik denken dat jij een ander in je hoofd hebben 
B: 	deze hebben ook zo'n plaat maar hij zijn zeggen maar helemaal vierkant en daar zitten die die zitten laag op dat ding 
A: 	ja 
A: 	laag dan het gemiddeld van het kop zeggen maar 
B: 	ja 
B: 	ja 
B: 	echt wel zeggen maar onderste één drie ongeveer en dan zitten er twee van die piefjes die er zo uit steken 
A: 	ja 
A: 	oké dan weten ik hem 
A: 	ja kloppen 
B: 	ja 
A: 	oké super 
A: 	dat zijn dan voor mij nummer zes 
B: 	oké 
A: 	oké 
B: 	nou bij mij staan die eigenlijk helemaal boven in het scherm 
A: 	ja hebben ik ook 
B: 	en dan als je inderdaad weer het scherm door de midden uitdoen aan de rechterkant 
A: 	ja 
B: 	als één zeggen maar dus best wel als je zeggen maar dat kwart van het scherm hebben staan die helemaal hier 
A: 	ja de dat hebben ik ook inderdaad 
B: 	echt wel tegen de rand dus dat zullen wel 
A: 	ja en hij staan echt boven boven al ander daar zitten er nog wel één iets beetje naast maar 
B: 	ja 
B: 	ja die zitten wel hoog maar dat zijn die zijn niet hoog hoog 
A: 	oké dus hij zitten ook echt echt naast die lijn van het midden zeggen maar 
B: 	ja 
B: 	ja 
B: 	ja daar zitten die eigenlijk wel tegenaan met het vak 
A: 	aan de rechterkant 
A: 	ja hebben ik ook 
B: 	ja 
A: 	oké dus geel knop want hij zitten op dezelfde 
B: 	ja 
A: 	ja 
A: 	dit zijn de de de de de ballerina 
A: 	dus die hebben zo'n rok zeggen maar halverwege zijn de plank 
B: 	oké ja dat zijn ja en dan met die twee uitsteekselt 
A: 	de twee uitsteekselt ja 
B: 	ja 
B: 	oké dat zijn C 
A: 	hij staan rechtsboven 
B: 	ja 
A: 	en ja echt wel gewoon bovenaan zeggen maar 
A: 	en dan in het midden als je of 
B: 	ja 
B: 	en dan dus er kunnen ook niks veel boven zeggen maar 
A: 	de er kunnen niks veel boven en en ver kunnen kunnen er bijna evenveel naast aan beide kant zeggen maar 
B: 	nee 
B: 	ja 
B: 	ja dan zijn het denken ik wel dezelfde plek 
A: 	ja 
B: 	geel 
B: 	oké dit zijn die met ja die ballerina dat je net zeggen met dat dat plateau zo onderin en dan die twee antennet 
A: 	ja 
A: 	ah daar staan ze 
A: 	ik noemen ook ze 
B: 	ze 
A: 	nummer dertien 
A: 	erg 
B: 	bij mij staan die links bovenin 
A: 	ja 
A: 	wel echt tegen de horizontaal lijn aan bij mij 
A: 	ze kruisen hem bijna eigenlijk eigenlijk zullen ze hem ja ze ja 
A: 	hij worden kruisen 
B: 	ja bij mij staan die echt helemaal in de hoek zeggen maar 
A: 	oké dan zijn die niet goed 
B: 	hij staan net zo ver als dat beker daarstraks dus in in de hoek hoek 
A: 	duidelijk niet 
A: 	ik hebben de ballerina 
B: 	oké even kijken waar die zijn J 
A: 	nu maar hopen dat we die goed hebben dan 
B: 	ja 
B: 	staan er totaal iets ander 
A: 	ja 
B: 	nee kunnen niet 
A: 	zitten wel rechtsonder maar hij kruisen wel de verticaal lijn zeggen maar 
B: 	ja 
A: 	oké en dan en dan zitten die wel duidelijk naar beneden toe zeggen maar 
B: 	en dan 
B: 	ja best wel onderin 
A: 	kunnen nog niet eens een half blok onder zeggen maar bijna 
B: 	nee 
B: 	oké dan zijn het denken ik wel hetzelfde dat zijn J 
B: 	ja bij mij niet dus dan zijn dat rood 
B: 	dit zijn die ballerina 
A: 	ja nummer negen 
B: 	en die staan bij mij aan de rechterkant eigenlijk bijna helemaal tegen het einde van het scherm aan 
B: 	past nog misschien een half naast 
B: 	boven het midden 
A: 	nee bij mij onder midden 
B: 	dus rechts bovenaan 
A: 	ja 
B: 	ja 
A: 	de ballerina zijn die van jou 
B: 	die zijn bij mij N 
A: 	dan staan die ja rechtsboven tegen de verticaal lijn aan 
B: 	en dan echt boven 
A: 	en dan helemaal bovenaan 
B: 	ja bij mij 
A: 	ja 
