B: 	oké 
B: 	dit zijn een deze hebben als enig een soort plateaut dwars door het midden zeggen maar 
B: 	en het lijken alsof als je een beetje als je een beetje creatief zijn lijken het alsof die zwaaien 
B: 	en er zitten twee steelt zo op bovenop 
A: 	ja met een buisje naar voor die op een plateau 
B: 	ja 
B: 	precies 
A: 	ja dat zijn nummer zes 
B: 	die ja 
B: 	en hij staan eigenlijk het veel bovenaan van allemaal 
B: 	voor mij 
B: 	dan ja je hebben helemaal rechts één en dan iets veel naar het midden hebben je er één dat zijn de twee bovenste voor mij 
B: 	en dan degeen die het veel naar het midden staan dat zijn hem dan 
A: 	ja dus het zijn eigenlijk hoe het hoe bij mij de allerboven 
B: 	ja 
A: 	maar iets rechts van het midden 
B: 	ja precies 
A: 	ja 
A: 	oké dan zitten die op dezelfde plek 
A: 	ja dit hier zitten het plateau eigenlijk er midden doorheen 
A: 	en hij hebben twee uitstekeltjes bovenop en een buisje aan de voorkant 
B: 	ja 
B: 	ja 
B: 	ja ik hebben hem 
B: 	C 
A: 	en het zijn de allerboven aan de rechterkant 
B: 	ja 
B: 	oké dit zijn weer dat plateau dat in het midden er dwars doorheen zitten twee punt bovenop en een soort armp dat zwaaien aan de linkerkant 
A: 	ja met dat buis ervoor 
B: 	ja 
A: 	ja nummer dertien 
B: 	en hij zitten helemaal Linksboven 
A: 	nee bij mij zitten die linksmidden dus dat zijn niet oké 
A: 	dit zijn hier zitten het plateaut dwars doorheen waar een buis eigenlijk op leunen 
A: 	met twee klein uitsteekseltjes aan de bovenkant 
A: 	link zitten ook nog een uitsteeksel 
B: 	ja ja ja ja ja ja 
B: 	dat zijn J 
A: 	en bij mij zitten die helemaal onderin in het midden 
B: 	van de drie onderste zijn die de middel 
A: 	van het van het scherm 
B: 	dus van de drie onderste zijn het de rechts 
A: 	ja 
B: 	ja oké 
B: 	dit zijn dat dat plateau in het midden weer twee punt twee streep bovenop en een zwaaien hand 
A: 	buis buisje erop 
B: 	ja 
A: 	ja dat zijn nummer negen 
B: 	en hij zitten rechtsboven 
A: 	nee bij mij rechtsmidden dus dat zijn rood 
A: 	en dit zijn dat plateau wat er eigenlijk midden in zitten waar die waar dat rond staaf op leunen 
B: 	ja dat zijn N 
A: 	en bij mij zitten die in helemaal het midden van het scherm er bovenin 
B: 	ja 
