A: 	oké deze hebben zeggen maar een ei aan de voorkant 
A: 	gewoon echt voorop en er zitten een balk doorheen 
A: 	met een staaf 
B: 	ja die het lijken een beetje op een zuignap 
A: 	ja en dan daarop zitten nog een zo'n ding op zijn hoofd een soort van 
B: 	ja 
B: 	ja oké 
B: 	F 
A: 	en bij mij staan die aan de rechterkant 
A: 	en dan de drie rij dus je hebben daar eerst een leeg rij dan hebben je er nog twee ding en dan staan die daar 
B: 	oké 
A: 	en dan in het midden van het scherm 
B: 	oké bij mij staan die aan de rechterkant en dan ook in het midden eigenlijk 
A: 	drie rij 
B: 	ja het zijn moeilijk om rij te onderscheiden 
B: 	het zijn het zijn geen grid 
A: 	nee 
A: 	ja 
B: 	maar helemaal in het midden eigenlijk 
A: 	helemaal in het midden van ja wachten even dit zijn de Xas dit zijn de Yas zeggen je toch 
B: 	ja 
A: 	oké helemaal in het midden van de Yas 
B: 	ja 
A: 	en dan en best wel ver aan de rechterkant van de Xas 
B: 	ja 
B: 	oké dat zijn hetzelfde 
A: 	dat toch 
A: 	ik denken het wel ik geloven 
A: 	ik hebben er vertrouwen in 
B: 	ja 
B: 	dit zijn die een met die zuignap 
B: 	door door zijn neus 
A: 	ja even zoeken waar staan die ook weer 
B: 	met zo'n 
A: 	met dat een dinge nog op zijn 
B: 	ja 
A: 	ja 
B: 	nee 
A: 	dat zijn nummer vijf 
B: 	hij staan helemaal of nou linksboven maar in het midden van links en in het midden van boven 
A: 	ja bij mij staan die wel veel naar het midden dan naar links 
B: 	veel naar het midden dan links 
A: 	zullen ik maar zeggen als je hem als je hier het midden hebben je dag daar en niet daar 
B: 	oké nee dan zijn die dan zijn die anders 
A: 	hij zijn dichter bij de de middellijn dan bij de linkerkant 
B: 	hij zijn echt hij zijn echt op het midden van het van de linkerkant 
A: 	nee bij mij staan die veel naar het midden toe 
B: 	oké 
A: 	tenzij we een totaal ander perceptie hebben van waar het midden zitten maar 
A: 	dit zijn die dat ei met die raar zuignap erdoorheen 
B: 	ja 
B: 	waar zijn die 
B: 	ah A 
A: 	pampampa 
B: 	ja ik denken even dat die er niet zijn 
A: 	worden we naaien 
A: 	hij staan halverwege van rechts en dan net iets onder het midden 
B: 	oké 
A: 	je kunnen bijna halverwege het midden zeggen denken ik bijna wel 
B: 	nou hij staan bij mij echt op het midden 
A: 	nee bij mij staan die echt onder het midden 
B: 	de zuignap 
A: 	ja dat zijn vijf 
B: 	hij staan naar rechts toe 
B: 	dichter bij het midden dan naar rechts 
B: 	en een beetje naar boven 
A: 	bij mij staan die wel dichter naar rechts dan naar het midden toe 
B: 	oké nee bij mij staan die echt dichter naar rechts naar het midden 
A: 	die zuignap 
B: 	zuignap 
B: 	H 
A: 	en dan staan die bijna op het midden 
A: 	en dan naar beneden zullen er nog misschien net één tussen passen maar dat zullen heel krap zijn 
B: 	ja bij mij ook 
B: 	de zuignap 
A: 	ja nummer vijftien 
B: 	past er denken ik één boven 
A: 	nee bij mij passen er wel twee of drie boven 
B: 	en 
B: 	oké dan zijn het anders 
