B: 	ja het lijken wel of dit ding twee van die oog hebben 
B: 	zeggen maar die die blok die steeds groot worden en dan bovenop nog een soort paddenstoel of ik weten niet wat het precies zijn 
A: 	en antenne of zoiets ja 
A: 	okan ja ja nummer twee zijn het dan 
B: 	ja en bij mij zitten hij zijn dat helemaal links onderin van die van die rij met drie zeggen maar helemaal onderin en dan de veel links 
A: 	nee bij mij niet 
A: 	ja dit zijn dan eigenlijk zo'n blok met zo'n antenne bovenop zo zo'n paddenstoel en dan eigenlijk met die twee uitsteek ding ja 
B: 	en die twee oog die een beetje op een ja dat zijn dan en dan hebben je nog die plaat aan de zijkant ja dat zijn dan G 
A: 	ja die zo'n bril of achtig gebeuren zijn verrekijker ja 
A: 	ja die plaat nog erbij ja ja ja 
A: 	ja als je dat vierkant pakken zitten hij links onderin 
B: 	ja van het vierkant links onderin ja dat zijn dezelfde plek 
A: 	in het midden 
A: 	ja 
B: 	dit zijn weer die een met die paddenstoel bovenop en dat plak kaas of zo of weten ik veel wat aan de zijkant 
A: 	ok 
A: 	aan de zijkant en dan met die blok die er uit gaan die twee ok dat zijn dan nummer negen 
B: 	ja met die met die blok ja 
B: 	en ja bij mij staan hij als je het midden van het midden zullen pakken net een beetje linksonder 
B: 	dus je hebben dan zo'n zo je hebben er één twee als je als je vanaf link beginnen zeggen maar hebben je één twee dan hebben je er 
A: 	ok 
A: 	ja 
B: 	twee onder elkaar en dan weer weer twee naast elkaar als je de onder onderste helft 
A: 	ja je hebben je hebben één één ja of als je helemaal onderin gaan kijken 
B: 	helemaal onderin hebben hebben je er drie en dan eigenlijk boven boven de veel rechts ja 
A: 	daar hebben je er drie zitten 
A: 	ja 
A: 	de veel rechts 
A: 	ja dan staan op dezelfde plek 
A: 	ja dat zijn die met die paddenstoel en met de kaas plak aan de zijkant en met die uitgekuubte kubus ja 
B: 	ja 
B: 	ja dat zijn dan D 
A: 	hij staan eigenlijk gewoon bijna exact in de midden 
B: 	wel net iets omhoog 
A: 	net iets omhoog ja 
B: 	ja dat zijn dan dezelfde plek 
B: 	ja dit zijn die met die paddenstoel bovenop en dat cheddar plak aan de zijkant en die blok die steeds groot worden 
A: 	ja 
A: 	ja dat zijn dan nummer één 
B: 	ja als je dan eigenlijk gewoon precies in het midden een driehoek maken met die drie ding die bij elkaar staan dan rechts de rechts onderin zeggen maar van die driehoek 
A: 	ja 
A: 	o nee nee nee nee bij mij niet staan er staan er los van 
A: 	ja dit zijn die paddenstoel bovenop en dat kaasplak aan de zijkant en die uitgeklapte kubus ja 
B: 	ja ja dat zijn B 
A: 	ja en als je die twee van midden onderin gaan kijken en dan zijn het veel rechts 
B: 	ja 
B: 	ja dus onderin hebben je dan twee naast elkaar en dan daar rechts ervan ja dat zijn dezelfde plek 
A: 	twee ja en dan daar iets rechts van ja ja 
