B: 	nou vertel 
A: 	oké hij hebben het zijn weer zo'n sprie 
A: 	en hij hebben het een soort neus maar dan met een piercing erdoorheen zeggen maar 
A: 	een heel gek piercing met aan één kant een 
B: 	ja alsof er een bloeme doorheen zitten 
A: 	ja kunnen je ook wel zeggen denken ik 
B: 	ja 
B: 	dan weten ik het dan zijn het F 
A: 	oké 
A: 	en hij zitten zeggen maar qua hoogte zitten die in het midden 
A: 	en hij staan veel naar rechts 
A: 	ik zullen zeggen drie rij van rechts ongeveer 
B: 	dus niet niet helemaal aan de rechterkant 
A: 	nee niet helemaal aan de rechterkant 
B: 	oké dan staan die niet op dezelfde plek dan moeten ik op rood drukken toch 
A: 	nee 
A: 	volgens mij fuck volgens mij niet 
B: 	nee 
A: 	nee dan moeten je toch op geel drukken 
B: 	of moeten ik dan op geel drukken 
A: 	dat denken ik wel 
B: 	oké hopelijk grijpen zij in als dat niet zo zijn 
A: 	ik hebben namelijk wel net op rood duwen namelijk 
B: 	oké nee dan doen ik gewoon geel doen we consequent 
A: 	ja 
A: 	precies 
B: 	dit zijn het piercingpoppe 
B: 	met de bol neus en daardoorheen een 
A: 	ja 
A: 	dat zijn vijf 
B: 	ja 
B: 	en die staan in het midden 
B: 	dan twee stap naar links of een beetje dan het midden van dat spectrum 
B: 	dan één stap omhoog ongeveer 
A: 	één stap hij staan bij mij wel bijna helemaal bovenin 
B: 	nee hij staan niet helemaal bijna bovenin nee 
A: 	oké 
A: 	dan geel 
A: 	dit zijn de neus met piercing 
B: 	neus met piercing dat zijn A 
A: 	dat zijn toevallig 
A: 	en hij staan bij mij in als we rechtsonder zo'n vak zullen hebben zullen die precies in het midden staan 
B: 	nee bij mij staan die echt in het midden van het rechterscherm 
A: 	ja 
A: 	maar staan die ook naar beneden of naar boven 
B: 	nee echt in gewoon echt in het midden van het rechterscherm 
A: 	nee 
A: 	zo ja ja 
A: 	ja nee dan dan kloppen het niet 
B: 	dus dat kloppen niet dus dan zijn het rood 
A: 	geel 
B: 	geel geel goed dat jij het nog zeggen 
A: 	goed dat je hardop denken 
B: 	dit zijn de de neus met piercing 
B: 	en het pluk bovenop 
A: 	vijf 
B: 	en deze staan in het midden 
B: 	en dan stuk naar rechts 
A: 	stuk of heel stuk 
B: 	nou daar toepassen aan de buitenkant nog wel twee poppet naast 
A: 	nee nee bij mij echt maar één 
A: 	dus dat zijn geel 
B: 	ja 
A: 	ja 
A: 	neus met piercing 
B: 	neus met piercing H 
A: 	en hij staan bijna helemaal omlaag 
A: 	tik naar rechts 
B: 	zullen er nog een figuurtje onder passen 
A: 	worden 
B: 	klein figuurt 
A: 	worden krap 
A: 	maar er staan nog één rechts daarvan en daar passen het niet veel onder denken ik 
B: 	ja degeen die rechts van het poppet staan die staan ook iets omlaag dat figuurt 
A: 	heel klein beetje laag ja 
B: 	oké dan zijn het denken ik dezelfde dus rood 
A: 	ja 
B: 	ja 
B: 	dit zijn het piercingpoppe 
A: 	ja 
A: 	vijftien 
B: 	dan in het midden 
B: 	stuk naar rechts en een stuk omhoog 
A: 	nee bij mij staan die wel echt in het midden dus 
