A: 	oké 
A: 	ik hebben er één met vier uitsteeksel twee dezelfde en dat zijn er één een soort van kegel bovenop 
A: 	en linksonder een beetje 
A: 	een soort van bowlingbalkegel lijken het een beetje op 
B: 	even kijken die een en die een omgekeerde stapel 
A: 	ja aan de rechterkant 
B: 	ja 
A: 	ja 
B: 	oké dat zijn E 
A: 	en bij mij staan die even kijken hij helemaal aan de rechterkant 
A: 	en een beetje in het midden net iets boven de middellijn 
A: 	en er zullen er nog één naast kunnen aan de rechterkant 
B: 	bij mij staan die echt wel ver van de rechterkant af ik denken dat er twee of drie naast passen dus 
A: 	nee oké 
A: 	nee dan staan die niet op dezelfde plek 
B: 	oké 
B: 	oké dit zijn één met twee van die kegel één boven en één link 
A: 	ja en rechts weer die trap 
B: 	en 
B: 	ja 
A: 	oké dat zijn bij mij nummer elf 
B: 	en hij staan net iets link van de middellijn en net iets boven de middellijn 
A: 	ja staan die bij mij ook 
A: 	ik hebben diegene weer met dat trappe aan de rechterkant dat omgekeerde trappe laten maar zeggen 
A: 	en die kegel bovenop en die kegel aan de 
B: 	die twee ja 
B: 	dat zijn J 
A: 	en bij mij staan die aan de rechterkant van het scherm een beetje in het midden 
A: 	en dan net iets boven de middellijn 
B: 	dus heel duidelijk naar rechts zeggen maar 
A: 	ja 
B: 	nee daar staan die bij mij niet 
B: 	dat zijn die een met het trappe rechts 
B: 	en de twee kegel 
A: 	ja 
A: 	nummer negen 
B: 	en hij staan one's lips ongeveer in het midden van de rechterhelft en dan net wat onder de middellijn 
A: 	eronder nee bij mij staan die Erboven 
B: 	oké dat zijn duidelijk 
A: 	ik hebben die met dat trappe aan de rechterkant en die twee kegel boven en link 
B: 	dat zijn B 
A: 	en bij mij staan die aan de rechterkant van het scherm onder de middellijn 
A: 	er past er nog één rechts en er past er nog één onder 
B: 	nee bij mij passen er geen veel rechts 
B: 	ik hebben die een met het trappetje rechts en de twee kegel 
A: 	ja nummer vier 
B: 	hij staan ja Linksboven 
B: 	maar er zijn wel wat ruimte links en wat ruimte boven 
B: 	maar niet dat die er nog een keertje tussen zullen passen 
A: 	ja 
A: 	hebben ik ook 
