A: 	ja even kijken er zitten een ronde bal achterop zeggen maar aan de bovenkant en aan de zijkant hebben die twee soort van handvaat en aan de voorkant een 
B: 	ja en aan de voorkant een vierkant staaf 
A: 	ja precies 
B: 	d 
A: 	even kijken bij mij zitten die helemaal onderaan het scherm en dan net een klein stuk link van het midden 
B: 	ja 
B: 	precies dezelfde plek 
A: 	ja 
B: 	oké dit zijn diegene met die staaf aan de voorkant weer met dat bolle bovenop 
A: 	ja 
B: 	we hebben hem al hebben 
A: 	en met de hand aan de zijkant 
B: 	met ja met die dinge aan de zijkant 
A: 	ja 
A: 	oké 
A: 	vijftien 
B: 	bij mij staan die helemaal rechts onderin 
A: 	nee 
A: 	hoe noemen we deze ook alweer ? die met die grijparmp met de bol bovenop 
A: 	en de vierkant blok 
B: 	ja met de vierkant statief 
A: 	hoe gaan we die noemen 
B: 	de een pullup ik ik zien het wel als een een basketbal laten maar zeggen 
B: 	weten je wel dat je dat bolle als de basketbal in het theekop doen 
A: 	prima basketbal 
B: 	basketbal 
B: 	L 
A: 	en bij mij staan die in het linksbovenkwadrant en dan net iets veel naar rechts toe vanaf het midden zeggen maar 
B: 	ja 
A: 	vanaf het dus het linkerbovenkwadrant iets veel naar rechts van het midden en qua hoogte ongeveer in het midden van het Linksbovenkwadrant 
A: 	misschien een klein tikkelt omhoog 
B: 	ja 
B: 	dus als jij het linkerveld pken dan staan die ongeveer op een kwart 
B: 	dus een een een klein stuk vanuit de middellijn vanuit het heel 
A: 	ja ongeveer een kwart naar links ja 
B: 	ja 
A: 	ja 
B: 	dan staan die op de goed plek 
B: 	de basketbal 
A: 	de basketbal dat zijn met die armpjes aan de zijkant ook ja 
B: 	ja ja 
A: 	dat zijn zes 
B: 	bij mij staan die dan in de hoogte in het midden 
B: 	en dan als je 
A: 	hoogte in het midden ? nee 
B: 	oké 
A: 	even kijken welk zijn dat de basketbal 
A: 	bij mij zitten die ook rechts 
B: 	ja J 
B: 	staan die net boven het midden 
A: 	ja 
B: 	ja en dan 
A: 	en qua breedte niet helemaal rechts maar ongeveer in het midden van het van de rechterkant ja 
B: 	ongeveer 
B: 	ja 
B: 	ja 
B: 	de basketbal 
A: 	basketbal dat zijn drie 
B: 	en dan helemaal rechts 
B: 	in de hoogte net onder het midden 
B: 	en dan wel echt helemaal rechts 
A: 	ja ja wel helemaal rechts maar echt een tikkel net onder het midden of ik zullen hem bijna in het midden geven 
B: 	ja 
B: 	nee wel een tikkel onder het midden hij zitten niet hij zullen jij hem het midden geven 
A: 	ja oké 
A: 	ja ik denken het waar de bal zitten dat dat ongeveer de middellijn zijn zo 
B: 	ja ja ja ja ja ja 
A: 	ja oké ja 
