A: 	starten maar 
B: 	ja 
B: 	nou het zijn zoals al die ander ding een soort emmerachtig vorm 
A: 	ja 
B: 	aan de linkerkant 
B: 	zitten een cilinder met een pentagonvorm 
B: 	en aan de onderkant zitten die ovaalvormig aan de grond vast 
A: 	aan de onderkant 
B: 	ja 
B: 	aan de onderkant zitten die ovaalvormig aan de grond monteren 
A: 	ovaal komen 
B: 	ja en aan de achterkant 
A: 	ja 
B: 	zitten een cirkel 
A: 	en zitten er ook nog een klein raar dinge op 
B: 	ja 
B: 	een soort soort plopje aan 
B: 	een soort kegel 
A: 	oké 
A: 	zijn het dertien 
A: 	dat moeten ik zeggen toch 
B: 	volgens mij moeten je nu inderdaad dertien of iets noemen en dan op de geel knop drukken 
A: 	ja tuurlijk 
A: 	dertien 
A: 	en een ook nog waar die liggen denken ik 
B: 	ja 
B: 	oké 
B: 	wij jij moeten nu omschrijven 
B: 	we moeten kijken of die op dezelfde plek zitten 
A: 	ja op dezelfde plek zitten 
B: 	bij mij zitten die precies in het midden 
A: 	ja 
B: 	en dan ik denken vanaf onder op twintig procent van het scherm omhoog 
A: 	twintig procent maar zitten er ook een vlak een figuur naast linksonder 
B: 	ja 
A: 	zitten er ook één naast rechtsonder bijna naast ? rechts rechts naast zitten er ook één rechts naast 
B: 	er zitten er rechts naast één zitten er net iets boven 
A: 	net iets Erboven 
B: 	ja 
A: 	steken die uit met zijn met 
B: 	ja 
A: 	komme ernaast hebben ook twee dinge in het komme zitten 
A: 	aan de rechterkant 
B: 	nee dat denken ik niet 
A: 	nee 
A: 	oké dan zijn 
B: 	ja erop en een bal maar 
A: 	ja erop en een bal zitten aan de voorkant 
B: 	oké 
B: 	ja oké ja dat zijn hetzelfde 
A: 	ja dan zijn die hetzelfde 
B: 	nou dan zullen die op dezelfde plek zitten ook 
A: 	ja 
A: 	dan doen ik rood 
B: 	je moeten geel voor dezelfde plek 
A: 	serieus ? 
A: 	mijn god oké 
B: 	nou ja dat kunnen we zo wel recht trekken denken ik 
A: 	ja beker er zitten aan de achterkant zitten er dus een cirkel 
A: 	gaan een balk doorheen 
B: 	volgens mij zijn dat er ook maar één hè ? cirkel aan de achterkant 
A: 	ja 
B: 	en een soort kegel aan de bovenkant 
A: 	ja precies 
B: 	dat zijn O 
A: 	en hij zitten in de rechterkant in het midden 
A: 	en hij kunnen op zich minstens nog twee keer naar boven 
A: 	of anderhalf keer naar boven 
B: 	twee keer naar boven 
B: 	zitten erboven iets überhaupt 
A: 	nee er zitten niks boven 
B: 	hij kunnen bij mij wel drie keer naar boven 
B: 	hij zitten niet op dezelfde plek 
A: 	oké 
B: 	zijn niet dezelfde plek 
B: 	zo al object het lijken wel ik weten niet of je hetzelfde hebben bij mij zijn alles helemaal daar en er zitten één iets rechts bovenin 
A: 	ja 
A: 	ja alles zitten bij mij helemaal hier 
B: 	oké 
B: 	ja dat kloppen aangezien we tegenovergesteld staan 
B: 	dit zijn de het kop met de cirkel aan de achterkant 
A: 	ja ik zien hem 
A: 	dat zijn acht 
B: 	dat zijn hem ja 
B: 	en hij zitten helemaal rechts bovenin 
A: 	ja 
B: 	hij past niet veel boven zich 
A: 	ja 
B: 	en misschien een half keer of wel één keer daarnaast aan de kant van het scherm 
A: 	oké ja dan kloppen die wel 
A: 	zitten een rond achter 
A: 	en er zitten een cilinder doorheen 
B: 	oké 
B: 	ja 
B: 	dat zijn C 
A: 	en hij zitten aan de rechterkant 
A: 	in de bovenste in het bovenste vak vak 
B: 	ja 
A: 	dus hij zitten rechtsboven 
A: 	en hij kunnen 
B: 	zitten die in de buurt van het midden 
A: 	en en dan zitten hij niet in de buurt van de middellijn nee 
A: 	hij kunnen veel omhoog eigenlijk 
A: 	omlaag kunnen ik ook zeggen 
B: 	hoe ver kunnen die omhoog 
A: 	hij kunnen één keer omhoog 
A: 	anderhalf keer misschien 
A: 	en hij kunnen niet eens een half keer naar beneden eigenlijk dan zitten hij al op de middellijn 
B: 	ja 
B: 	en hoe ver kunnen die naar echt midden van het scherm 
A: 	één keer 
A: 	naar bedoelen je naar het midden van het midden 
B: 	het midden van het scherm 
B: 	gewoon zo 
A: 	ja ik denken wel twee keer 
B: 	even kijken zitten die niet op dezelfde plek 
B: 	het zijn die met het rond aan de achterkant 
A: 	met het rond aan de achterkant even kijken hoor 
B: 	half rond aan de achterkant 
B: 	je zien de helft maar 
A: 	ja 
A: 	dat zijn zeven 
B: 	hij zitten aan de linkerkant 
A: 	ja 
B: 	in het midden van de linkerkant en dan ook iets laag 
B: 	hij zitten naast diegene waar die vier vierkant in in happen 
A: 	kunnen 
A: 	oké 
B: 	die twee vierkant in 
A: 	ja en hij zitten en die zitten die zitten net iets hoog toch 
B: 	die zitten wat laag bij mij 
A: 	laag oké 
B: 	maar hij past zelf denken ik één keer eronder 
A: 	ja en ook één keer ernaast toch 
A: 	maar richting link 
B: 	richting zijkant bedoelen je 
A: 	ja richting de zijkant 
B: 	nee daar past die nog wel twee keer 
A: 	twee keer 
B: 	ja dus dat zijn niet goed 
A: 	nee bij mij zijn dat niet goed 
A: 	oké 
A: 	er zitten een half rond zitten erachter 
A: 	rond 
A: 	kunnen een half rond zien er zitten een balk doorheen en beneden zijn een 
B: 	ja 
B: 	dat zijn C 
A: 	ja 
A: 	en hij zitten rechtsboven 
A: 	en hij kunnen nog anderhalf keer naar rechts en hij kunnen niet veel naar boven 
B: 	nee dat zijn niet goed 
