B: 	oké 
B: 	ik hebben een vierkant als ondergrond en door het het object heen zitten zitten een staaf lijken het wel met drie van die balle aan de uiteinde 
A: 	ja ik hebben hem 
B: 	ja 
B: 	oké 
A: 	dat zijn nummer vijf 
B: 	oké en hij staan 
B: 	ongeveer in het als je het linkerdeel van het scherm hebben 
A: 	ja 
B: 	dan staan die in het midden van het linkerdeel en dan net iets naar onder 
A: 	ja dat zijn bij mij staan die veel naar boven dus dat dan zijn het niet dezelfde plek 
B: 	oké 
B: 	niet hetzelfde nee 
A: 	oké dit zijn degeen die op een soort van plaat staan met een één ja aan beide kant een soort drie bollet ik noemen dat zelf een beetje kraalt 
B: 	ja 
B: 	ja ik hebben hem al 
A: 	yes helemaal goed 
B: 	dat zijn J 
A: 	en hij staan bij mij echt helemaal rechtsonder 
B: 	nee bij mij zitten die wel rechteronderkwadrant maar dan iets veel naar links 
A: 	ja bij mij zitten die echt helemaal rechtsonder 
B: 	ja 
B: 	oké niet dezelfde plek 
B: 	dit zijn die met het plateau aan de onderkant en die drie kraal aan beide kant 
A: 	yes 
A: 	dat zijn elf 
B: 	en hij staan bij mij 
B: 	linkerscherm ongeveer zeggen maar qua breedte staan die ongeveer in het midden en dan staan die qua lengte ook ongeveer in het midden maar wat wel wat naar onder 
B: 	dus je zullen hem nog wel denken ik ongeveer het linkeronderkwadrant rekenen maar een deel bovenkant zitten ook linkerboven staan ongeveer in het midden 
A: 	en qua links rechts 
B: 	wat veel naar rechts 
A: 	of het veel rechterboven slash onderkwadrant zeggen maar 
A: 	of 
B: 	nee nee nee 
A: 	of van 
B: 	linkerscherm 
A: 	ja 
A: 	ja 
B: 	en dan in het linkerscherm staan die ongeveer in het midden qua lengte als ik dat goed zeg 
B: 	en dan qua breedte staan die wat veel naar rechts toe 
B: 	ook ongeveer in het midden maar wel iets veel naar rechts 
A: 	ja 
A: 	ja precies 
A: 	ja ik zullen hem net iets veel zeggen maar de bovenkwadrant geven 
A: 	maar dat hebben jij iets weinig 
B: 	ja bij mij staan die iets veel naar beneden 
A: 	ja 
B: 	hebben ik het idee 
A: 	even kijken 
A: 	ja en ver lijken die best redelijk op dezelfde plek te staan maar ik hebben hem dat ik denken nou deze zijn toch iets veel en hij staan aan zeggen maar van het linkerbovenkwadrant bij mij staan die echt helemaal rechts 
B: 	linkerbovenkwadrant en dan helemaal rechts 
A: 	ja 
A: 	beetje rechtsonder een beetje de rand van het Linkerbovenkwadrant 
B: 	nee dat hebben ik niet denken ik 
A: 	nee 
A: 	oké 
A: 	dit zijn weer op zo'n op zo'n soort van een een plat ja ik komen even niet op 
B: 	plateau 
A: 	ja gewoon ja plateau inderdaad en dan met die kraal zeggen maar 
B: 	ja 
B: 	P 
A: 	en die staan bij mij in het rechterbovenkwadrant maar wel bijna op de middellijn 
A: 	en dan ook in het rechterbovenkwadrant qua lengte zeggen maar van staat die 
A: 	ach man even kijken hoe ik dat het goed omschrijf 
A: 	er kunnen in ieder geval zeggen maar net geen plaat veel boven 
A: 	in het rechterbovenkwadrant 
A: 	er kunnen zeker nog wel een plaat onder 
A: 	en er staan twee plaat rechts naast 
A: 	in het rechterbovenkwadrant dus hij staan best wel aan de linkerkant daarvan 
B: 	oké ik denken dat we een ander hebben dan bij mij staan die dus wel rechterbovenkwadrant inderdaad 
B: 	ongeveer in het midden maar wel iets naar links en er staan dus nog een plaat tussen 
B: 	bij mij aan de rechterkant en er zullen misschien nog wel één bij kunnen maar dan moeten je dat plaat wat er staan wel iets veel naar links verschuiven 
A: 	nee dan hebben je 
B: 	ik denken dat we een ander hebben 
A: 	ja van zeggen maar van het rechterbovenkwadrant staan er dan drie naast elkaar en jij hebben dan de middel 
B: 	ja 
A: 	ja en ik hebben de linker 
B: 	ja oké dus dan zijn het ander plek 
B: 	dit zijn de plateau met de drie kraalt aan beide kant 
A: 	oké 
A: 	die hebben ik op negen 
B: 	en hij staan bij mij in het midden maar dan het bovenste plaat 
B: 	er zullen net een half plaat tussen kunnen op die plek 
A: 	hebben ik een ander 
A: 	dit zijn weer op zo'n op zo'n plateau met dan de kraal aan de zijkant 
B: 	ja L 
A: 	en hij staan bij mij in het Linkerbovenkwadrant 
A: 	maar dan wel helemaal rechts dus eigenlijk best wel heel erg richting de middellijn 
A: 	en er zullen niet echt veel een plaat boven kunnen en als er een plaat onder gaan dan gaan die richting de rand 
B: 	oké 
B: 	nee nee nee dan hebben we een ander plek 
A: 	oké 
