A: 	oké deze hebben zo'n soort ja pionne bovenaan 
A: 	en dan rechts twee van die vierkant balk 
A: 	en iets link zitten nog een soort staaf 
B: 	ja ik weten het 
A: 	en daaronder ook nog zo'n ja klein kruldinge 
B: 	ik vinden het een beetje op een vogel lijken 
A: 	ja 
A: 	ja denken ik ook aan ja 
B: 	I zijn dat 
A: 	en hij staan bij mij als je vanaf het midden kijken gaan je iets omhoog en dan iets naar links 
B: 	ja bij mij ook 
B: 	deze vinden ik op die vogel lijken met die twee blok aan de zijkant rechts 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	hij staan redelijk ver naar links en een klein beetje naar onderen 
A: 	ja bij mij ook 
A: 	dit zijn dat vogel 
B: 	even kijken waar die staan 
B: 	ja M 
A: 	en hij staan helemaal linksonder niet helemaal in de hoek maar wel 
B: 	wel ja bijna helemaal onderaan 
A: 	ja 
B: 	ja 
B: 	het vogel 
A: 	even kijken waar die zijn 
A: 	ja nummer negen 
B: 	en hij bekendstaan redelijk ver naar boven bijna helemaal naar boven en ja iets naar links niet heel ver maar ook niet heel klein beetje 
A: 	ja 
A: 	het vogel 
B: 	ja F 
A: 	die staan bij mij wel redelijk helemaal onderaan en dan iets naar rechts 
B: 	ja 
B: 	het vogel 
A: 	eens even kijken waar die zijn 
A: 	ja nummer zes 
B: 	qua hoogte precies in het midden denken ik en heel ietsjes naar links 
A: 	ja 
