A: 	ja deze vinden ik echt een beetje chaos dit zijn zo'n ding met een raar ja soort ik vinden het echt dit vinden ik het naarst om te omschrijven 
B: 	pion 
A: 	ja hij hebben een soort soort ja hoed zeggen maar met dan twee driehoek of nou wel twee ruit zeggen maar en dan nog de twee uitsteeksel uit die ruit 
A: 	en hij hebben een soort neus als een Pinokkio 
A: 	en en twee soort van voe waarbij de een voe aan de onderkant zitten en één voe aan de zijkant 
B: 	wachten even 
A: 	met een soort van ja hoed als een soort twee ruit aan elkaar plakken met twee verrekijker eruit 
B: 	ja 
B: 	ja ja ja 
A: 	ja oké 
B: 	die hebben ik dat zijn M 
A: 	en bij mij staan die zeggen maar in het linkerdeel van het scherm 
A: 	en dan best wel redelijk in het midden 
A: 	beetje nog naar onder 
B: 	oké 
A: 	maar ja ver best wel in het midden van het linkerscherm 
B: 	ja bij mij ook maar bij mij staan die iets naar boven 
A: 	oké ja 
B: 	dus dan denken ik dat die niet op dezelfde plek staan 
A: 	nee 
B: 	nee 
B: 	oké dit zijn de Poeh hebben een cilinder als wat jij zeggen Pinokkio die neus met onderaan zo'n 
B: 	slurfachtig rechts en dan bovenop zo'n twee van die rui 
A: 	ja die rui met een soort van verrekijker daar weer uit 
B: 	ja 
A: 	en één poo aan de onderkant en één poo aan de zijkant zeggen maar 
B: 	ja de poot ja ja 
A: 	ja 
A: 	ja dat zijn negen 
B: 	en bij mij staan die helemaal onderin 
B: 	past ook geen plaat veel tussen aan de onderkant en dan staan die eigenlijk op het rechterscherm 
A: 	nee 
B: 	als je het midden hebben van het rechterscherm en het midden van het heel scherm staan die daar tussenin 
A: 	oké ja bij mij staan die op ongeveer hetzelfde maar dan aan de linkerkant 
A: 	dus dat zijn dan weer een ander plek 
B: 	ja 
A: 	dat hebben ik ook 
A: 	dit zijn die gek met soort van een poo aan de onderkant en een poo aan de zijkant en die ruit met de verrekijker bovenop 
B: 	ja dat zijn H 
A: 	hij staan bij mij in het Linkerbovenkwadrant 
A: 	en dan best wel redelijk in het midden daarvan 
A: 	ja best wel redelijk in het midden misschien iets veel rechts iets veel onder 
B: 	ja dat hebben ik ook 
B: 	kunnen anderhalf plaat link denken ik 
B: 	misschien wel twee en één boven 
A: 	ja zoiets inderdaad 
B: 	ik denken dat we wel dezelfde plek hebben 
B: 	ja ongeveer in het midden maar dan wat veel naar rechts en naar onder 
A: 	ja 
B: 	ja dan hebben we hetzelfde 
B: 	dit zijn de steel aan de voorkant met het poo onder pootje rechts en de rui 
A: 	ja dat zijn elf 
B: 	hij staan bij mij helemaal het plaat links bovenin 
B: 	en dan zijn het dus linkerbovenkwadrant staan die ongeveer in het midden toe kunnen geen plaat veel boven maar er kunnen nog wel een plaat link 
A: 	ja en zijn het zo dat er eventueel nog wel anderhalf plaat links kunnen 
B: 	ja eventueel wel 
A: 	ja 
A: 	nou dan zijn het wel dezelfde plek 
A: 	dit zijn weer die die ruit met de verrekijker en de pootje onder pootje aan de of aan ja aan de zijkant zeggen maar 
B: 	ja 
B: 	d 
A: 	en die staan in het linkeronderkwadrant bij mij 
A: 	en dan best wel in het midden van het linkeronderkwadrant en dan nog iets naar rechts toe en een beetje naar onder 
B: 	nee dat hebben ik niet 
B: 	ik hebben naar links past ook eigenlijk geen plaat veel link of onder bij bij mij 
A: 	oké 
A: 	nee bij mij staan er een plaat link van dus dan 
B: 	oké nee nee nee dan hebben we een ander 
B: 	dus dan rood 
B: 	dit zijn voe onder voetjeten rechts 
B: 	neus 
B: 	verrekijker met de ruit 
A: 	ja dat zijn veertien 
B: 	en hij staan bij mij op de middellijn maar dan linkerscherm in het midden 
B: 	maar dan iets naar links 
A: 	dus je hebben het linkerscherm daarvan het midden 
B: 	ja 
B: 	iets naar links 
A: 	iets naar links staan die ook onder 
B: 	nee 
A: 	bij mij staan die echt in het linkeronderkwadrant 
B: 	nee bij mij ertussenin 
A: 	oké 
A: 	nee dan zijn het een ander plek 
