A: 	oké dit zijn de propeller 
B: 	een propeller ja 
B: 	ja nog even nogmaals dus 
A: 	ja dus hij hebben zeggen maar één soort van propellerding naar boven één naar de linkerkant en een soort van verrekijkerding naar de rechterkant 
B: 	ja dat zijn E 
A: 	yes 
A: 	oké en bij mij staan die rechts zeggen maar het veel één van de veel rechterplaat en dan in het midden 
A: 	en dan net iets veel naar boven 
B: 	ja bij mij staan die rechterdeel van het scherm 
A: 	ja 
B: 	en daar staan die iets naar boven precies in het midden 
A: 	maar en hoe ver staat die naar de zeggen maar de rechterkant 
A: 	of staan die echt precies in het midden van het rechterscherm 
B: 	iets veel naar links van het midden 
A: 	nee dat kloppen niet want die van mij staan echt ja veel richting de rand zeggen maar van het rechterscherm 
B: 	nee nee nee dat hebben ik niet 
A: 	nee 
A: 	dan mogen jij op rood klikken 
B: 	ja 
B: 	oké dit zijn weer die propeller dus één boven één link en die verrekijker rechts 
A: 	yes 
A: 	ja dat zijn elf 
B: 	waar staan die ? hij staat ongeveer in het midden maar dan het Linkerbovenkwadrant staan die rechts onderin 
A: 	het Linkerbovenkwadrant 
B: 	ja 
A: 	ja dan hebben ik dezelfde plek 
A: 	dit zijn de propeller 
B: 	de propeller 
B: 	even de propeller who ja 
A: 	ja en de verrekijker zeggen maar 
B: 	ja dat zijn J 
A: 	en hij staan bij mij rechterhelft van de van het scherm en dan best wel in het midden 
B: 	nee 
A: 	oké 
B: 	nee nee nee dat hebben ik niet 
B: 	dit zijn de propeller met de verrekijker rechts 
A: 	yes dat zijn negen 
B: 	en hij zitten bij mij in het rechteronderkwadrant 
B: 	en dan ongeveer in het midden qua breedte maar dan qua lengte iets omhoog er kunnen nog wel er kunnen zeker een plaat onder en rechts naast 
A: 	ja ik bij mij staan die echt veel in het rechterbovenkwadrant in plaats van het rechteronderkwadrant 
B: 	nee dan hebben we niet dezelfde 
A: 	dit zijn de propeller 
A: 	met de verrekijker 
B: 	ja met de rug nee nee de propeller zijn met de verrekijker 
A: 	ja dus zeggen maar van dan één ding boven één ding aan de zijkant en nog een verrekijkerding 
B: 	ja ja ja 
B: 	dat zijn de B 
A: 	en die staan in het rechteronderkwadrant 
A: 	en dan best wel naar boven toe 
A: 	en dan iets naar rechts maar best wel naar het midden van het rechteronderkwadrant 
B: 	nee kunnen er een plaat naast bij jou 
A: 	ja 
B: 	oké nee 
A: 	daar staan een plaat naast 
B: 	hebben we dus ander een ander 
B: 	dit zijn de propeller 
A: 	ja 
A: 	dat zijn vier 
B: 	met de verrekijker 
B: 	oké en het zijn bij mij het links plaat links bovenin 
B: 	hij staan dus ook in het linksbovenkwadrant ongeveer in het midden maar er past geen plaat veel boven in ieder geval en misschien een half links ervan 
A: 	ja 
A: 	dat hebben ik ook 
