A: 	ja ik vinden deze echt ook een beetje lastig ik hebben er uiteindelijk een F van maken als je zeggen maar soort kijken vanaf het beker dan hebben die twee steeksel 
A: 	die een beetje doen denken aan een F als je de de beker door zullen trekken als op één lijn 
A: 	en dan een soort van hoed ja als een soort lampenkap 
A: 	en dan nog één ja een soort ja handvat eromheen en een staart 
B: 	staart ja ja ik hebben hem 
A: 	ja 
B: 	dat zijn I 
A: 	oké bij mij staan die dan als je weer kijken naar het soort van het Linkerbovenkwadrant 
A: 	maar dan helemaal naar het midden toe daarvan 
A: 	dus zeggen maar of nou nee sorry naar naar zeggen maar de middellijn van het heel plaat 
B: 	ja 
A: 	dus eigenlijk van het Linkerbovenkwadrant staan die heel erg naar rechts toe 
B: 	ja 
A: 	en dan wel qua hoogte in het midden 
B: 	midden 
B: 	ja dat hebben ik ook 
B: 	oké dit zijn de wat jij zeggen de F met die aan de rechterkant twee uitstekend balk 
A: 	ja 
B: 	en dan erbovenop de half kegelachtig in het midden zo'n balk 
A: 	ja 
A: 	ik hebben hem 
B: 	ja 
A: 	twee 
B: 	oké die staan bij mij eigenlijk ongeveer in het midden van het linkeronderkwadrant en dan wel iets veel naar boven want 
B: 	er passen bovenin geen plaat veel onder maar daaronder wel 
A: 	ja 
A: 	ja dat hebben ik hetzelfde 
A: 	dit zijn de F 
A: 	met het soort van hoed met een driehoek 
B: 	de F zeggen je toch 
A: 	ja de F 
B: 	ja 
B: 	dat zijn bij mij M 
A: 	en hij staan bij mij helemaal links onderin 
A: 	er zullen misschien nog net een plaat link naast kunnen maar in ieder geval geen plaat veel onder 
B: 	ja hebben ik dezelfde 
A: 	oké 
B: 	dit zijn de F met de 
A: 	ja 
A: 	dat zijn negen 
B: 	hij staan bij mij Linkerbovenkwadrant 
B: 	maar qua breedte of qua lengte oeh ik weten het niet zeker zitten er boven en onder ongeveer gelijk ruimte tussen 
B: 	staan die zeggen maar in het midden staat op die manier maar hij staan wel heel erg naar rechts 
A: 	ja precies 
A: 	dus je zullen zeggen maar misschien net een praatje Erboven kunnen plaatsen maar dat zijn heel krap 
B: 	ja zijn krap 
A: 	ja precies en dan daaronder in het Linkerbovenkwadrant kunnen echt nog wel een plaat 
A: 	maar hij zitten wel ja als je er nog één plaat rechts naast van zullen zetten dan zitten je in het midden 
B: 	ja 
A: 	ja dan denken ik dat ze dezelfde plek zijn 
B: 	en ja ja 
A: 	dit zijn de F 
B: 	ja dat zijn F toevallig 
A: 	en die staan bij mij ook best wel weer in het in het midden van het scherm en helemaal onderaan 
A: 	en dan zijn het het zijn zeggen maar het rechteronderkwadrant 
A: 	en dan wel weer ja daarvan best wel heel erg links en er past net geen ja een half plaat past eronder zeggen maar 
B: 	ja oké hebben jij ook weer drie hebben jij daar drie plaat naast elkaar ongeveer diagonaal 
A: 	ja 
A: 	ja in het in het ja in het zeggen maar midden onder 
B: 	midden 
B: 	ja ja ja 
A: 	van midden onder van het heel scherm zeggen maar 
B: 	ja ja ja en dan hebben je dan drie plaat naast elkaar en dan zijn het middel plaat 
A: 	ja 
A: 	ja middel plaat 
B: 	ja 
B: 	dit zijn de F 
A: 	ja dat zijn zes 
B: 	hij staan 
B: 	ongeveer in het midden van het scherm maar dan net rechts bovenin van het Linkeronderkwadrant denken ik maar je zullen eigenlijk wel in het midden van de kwadrant ongeveer zeggen 
A: 	ja dus zeggen maar als je de gewoon het linkerscherm hebben 
A: 	dan best wel in het midden maar wel rechts 
B: 	ja want hij staat wel bijna tegen de middellijn aan helemaal in het scherm 
A: 	ja dat hebben ik ook 
