A: 	deze vinden ik lijken op een eend 
A: 	want hij hebben een soort van zo'n istek 
A: 	en dat zijn dan de snavel 
A: 	en dan hebben die nog een soort van ja hoe noemen je dat ? een soort van trapezium bovenop 
B: 	ja 
A: 	oké 
B: 	en dan zo een staart linksachter en dan een soort heel minimalistisch vleugel die zo doen 
A: 	ja 
A: 	ja ja 
B: 	ja 
B: 	dat zijn I 
A: 	bij mij zijn die als je in het midden zeggen maar diegene die helemaal in het midden zijn daar linksboven van 
B: 	ja bij mij ook 
B: 	dat zijn dezelfde plek 
B: 	dit zijn die jij op een eend vinden lijken met de vleugel zo 
A: 	dat zijn twee 
B: 	en bij mij zitten die het veel linksonder nu 
A: 	ja 
A: 	maar hij zitten niet ja ja ja ja 
B: 	hij zitten niet helemaal in de hoek maar wel veel onderaan 
A: 	ja 
B: 	ook niet het veel links nee 
B: 	veel ja in die dicht bij die linksonderaanhoek 
A: 	ja er zijn er zeggen maar één die nog veel naar links zitten maar er zijn er er zijn er ook nog die veel naar naar onder zijn 
B: 	ja 
B: 	ja 
B: 	ja ja 
A: 	maar dit zijn wel ja ja ja die zitten wel op dezelfde plek 
B: 	ja 
A: 	dit zijn weer die eend 
B: 	waar zitten die ? ja dus dat zijn M 
A: 	en dat zijn bij mij degeen die echt het veel naar linksonder zitten 
B: 	ja bij mij ook 
B: 	dit zijn weer de eend met de 
A: 	die eend zeggen je toch 
B: 	ja met een met gelijkheidteak 
A: 	ja 
A: 	dat zijn negen 
B: 	als mond 
B: 	zijn bij mij bovenaan links van het midden 
A: 	zijn dat die als je de bovenste rij hebben en je hebben die twee linksboven zijn het dan de twee daarvan 
B: 	ja dan zijn het de rechts ja 
A: 	ja 
A: 	ja dat zijn dezelfde plek 
A: 	dit zijn weer die eend 
B: 	ja waar staan die 
B: 	F 
A: 	en dit zijn bij mij als je dus naar beneden gaan in het midden dan hebben je dus die drie die een beetje bij elkaar zitten en dan zijn het de middel 
B: 	ja zelfde plek 
B: 	dit zijn de eend 
A: 	ja dat zijn zes 
B: 	het zitten bijna helemaal in het midden maar dan een beetje naar links 
A: 	ja een beetje Lonely 
