B: 	dit zijn de tulp die jij zeggen dus in ieder geval dan hebben je het vierkantje rechts bovenin klein vierkantje in het midden 
A: 	ah 
A: 	ja 
B: 	en wat naar links rechthoekigachtig ding en dan die slurf 
A: 	ja 
B: 	lang ding omheen 
B: 	oké 
A: 	oké dat zijn vier 
B: 	en hij staan bij mij rechtsboven in het scherm 
B: 	hij staan niet heel dicht bij de rand maar ja het zijn in ieder geval de buitenste plaat en dan 
B: 	als je het midden hebben dan weer het midden dan het rechtsbovenkwadrant om het zo maar te zeggen en dan staan die ongeveer in het midden van het kwadrant maar dan iets naar rechtsboven 
A: 	ja bij mij staan die ook wel zeggen maar in dat kwadrant wat je aangeefn 
A: 	dus het ja rechtsbovenkwadrant alleen dan staan die wat ver van de rand af 
A: 	wat ja veel naar het midden toe 
A: 	ja 
B: 	ja bij mij ook maar het zijn niet helemaal in het midden 
B: 	volgens mij hebben we deze plaat daarstraks ook al en toen zeggen van zijn die van ons zijn die omgekeerd 
B: 	ik weten niet of dat hetzelfde zijn natuurlijk nog steeds maar 
A: 	want jij hebben er geen veel rechts van in de zin van dat zullen niet passen 
B: 	er kunnen bij mij geen plaat veel tussen nee 
A: 	nee en bij mij zitten er een plaat tussen zeggen maar naar de rechterkant dus dan zijn het niet hetzelfde 
B: 	ja dat zijn niet hetzelfde 
B: 	oké 
A: 	oké dit zijn wat ik de tulp noemen 
B: 	ja 
B: 	ja ja ja 
A: 	dus ja met die verdraaien steel en op zo'n soort driehoek waar die dan op staat 
B: 	ja sorry A who oké A 
A: 	ja maken niet uit 
A: 	en hij staan bij mij als je zeggen maar gewoon het linkerhelft van het scherm hebben 
A: 	staan die eigenlijk best wel prachtig in het midden 
B: 	ja bij mij staan die alleen wel ietsjes naar boven 
A: 	ja bij mij zullen die dan die eerder iets naar onder staan 
B: 	ja dan denken ik niet dezelfde plek 
B: 	voor mij zijn die wel echt iets veel naar boven 
A: 	ja 
B: 	oké 
B: 	oké dit zijn de tulp 
A: 	yes 
A: 	dat zijn tien 
B: 	en hij staan bij mij helemaal onderaan 
B: 	en dan ongeveer in het midden van het linkerscherm maar dan iets veel naar rechts 
A: 	ja dan hebben we dezelfde plek 
A: 	dit zijn de tulp 
B: 	de tulp ja dat zijn L 
A: 	en die staan bij mij helemaal rechtsboven 
A: 	met nog wel een marge maar op zo'n manier dat je denken van ja past ongeveer een soort van half plaat nog tussen 
B: 	ja ik denken bij mij ook wel 
A: 	aan aan de rechterkant en aan de bovenkant zeggen maar 
B: 	ja ik denken wel dezelfde plek 
B: 	het zijn gewoon de drie plaat alleen dan het rechterplaa 
A: 	ja 
B: 	dit zijn de tulp 
A: 	oké dat zijn vier 
B: 	bij mij staan die ongeveer in het midden van het scherm maar veel het rechteronderkwadrant of nee het linkeronderkwadrant rechts bovenin 
A: 	ja dat hebben ik ook 
B: 	oké 
A: 	dit zijn de tulp 
B: 	ja F 
A: 	en die staan bij mij ook heel erg in het midden 
A: 	maar dan zullen je zeggen maar weer kijken van het de rechterhelft van het scherm dat die dan helemaal links staan en iets boven 
B: 	nee nee nee 
