B: 	oké ik hebben het rood vierkant hij hebben een een rond cilinder aan de naar de links kant toe het lijken wel op een gezich dat naar links kijken 
B: 	en hij hebben achterop hebben die een staart op het hoofd 
B: 	ik weten niet of je dan weten welk het zijn 
B: 	en aan de rechterzijkant van zijn hoofd zullen die dan een een plat rond hebben 
A: 	even kijken 
A: 	hij hebben een 
B: 	het hoofd staan ook op een soort nek of zo lijken het wel 
B: 	heel klein 
B: 	ovaal 
A: 	hebben die aan de achterkant een soort plat rond zitten 
B: 	ja aan de achterkant zitten een plat rond dat zullen dan 
A: 	en aan de voorkant zo'n soort kegel omhoog 
A: 	of niet 
B: 	nee 
B: 	een een soort neus naar de voorkant 
B: 	een rond neusje 
B: 	en hij kijken zeggen maar naar links toe 
B: 	met een kegel als neus en dan zullen die op zijn aan de achterkant zitten een een plat schijf 
A: 	hebben die aan de bovenkant een soort kegel zitten 
B: 	en een kuifje 
B: 	ja aan de bovenkant zitten een soort kegel ja zo'n bowlingkegeldinge 
A: 	best wel groot 
B: 	niet zo heel groot 
A: 	en aan de zeggen maar aan de rechterkant zo'n soort blok 
A: 	soort wolkenkrabber lijken het een beetje op 
B: 	nee 
A: 	nee niet 
B: 	nee nee nee 
B: 	hij hebben rechtsachter zitten zo'n soort een bowlingkegel maar dan op zijn kop zeggen maar 
B: 	die zien je wel op meerdere plaat maar en op de achterkant zitten een plat schijf 
A: 	ja ik zien hem 
A: 	ja ja ja dan zien ik hem 
B: 	en dan zitten aan de links kant zitten een een soort neusje 
A: 	ja oké 
A: 	dan dan zijn het nummer dertien 
B: 	ja 
B: 	dan mogen jij zeggen welk nummer 
B: 	oké 
B: 	dan de positie 
B: 	bij mij staan die echt wel in het midden zeggen maar 
B: 	en dan een beetje onderin 
B: 	niet helemaal onderin maar een beetje onderin 
A: 	ja bij mij ook 
A: 	denken als er nog één boven zullen kunnen dan staan die precies in het midden 
B: 	ja precies en dan één naar onder zullen precies helemaal onderin zitten 
A: 	ja oké dan staan die op dezelfde plek 
B: 	oké 
A: 	dat zijn dan geel 
B: 	nice 
A: 	dit zijn die een die jij mij als één hebben op dat voe met die cilinder naar links en dat staart voorop 
B: 	ja 
A: 	en die cirkel achterop 
B: 	ja die plat cirkel daarachter tegenaan 
A: 	ja 
B: 	ja dat zijn bij mij zijn dat O 
A: 	en hij staan vanaf midden rechtsboven 
A: 	klein beetje rechtsboven vanaf het midden 
B: 	rechtsbof 
B: 	nee daar staan die bij mij niet 
A: 	nieuw 
B: 	nieuw 
B: 	dit zijn die ik als allereer ook hebben met die rond plaat aan de achterkant en een balk naar links 
B: 	die op een nek staan 
A: 	ja ja 
A: 	dat zijn nummer acht 
B: 	hij staan helemaal rechtsboven 
A: 	ja 
A: 	hebben we ook dezelfde positie 
B: 	ja dat die helemaal alleen staan 
A: 	ja 
A: 	en ik hebben eigenlijk vanaf het midden hebben ik aan de linkerkant boven hebben ik een soort ovaal cirkel 
A: 	ja niet helemaal 
B: 	nee 
A: 	ik hebben eigenlijk één golf helemaal linksboven staan en één onderaan 
A: 	en eigenlijk rechtsboven en rechtsonder staan helemaal niks 
A: 	ja op een paar na 
B: 	ja 
B: 	ja ongeveer wel 
B: 	ik hebben zeggen maar in het linksboven staan er acht 
A: 	ja 
B: 	en linksonder vier 
B: 	en dan hebben je er aan de rechts kant nog vier 
A: 	ja 
B: 	of zo 
A: 	oké 
B: 	die één staan er helemaal nou uit 
B: 	oké maar deze staan dus helemaal rechtsboven los 
A: 	ja dat hebben ik ook 
A: 	op het voet met de cilinder aan de linkerkant met de plat cirkel en de kegeltje rechtsbof 
B: 	het voe waar zijn het voe 
B: 	cilinder in de plat ronde aan de achterkant 
A: 	die jij als allereer hebben 
B: 	ja ja ja ja ja 
B: 	dat zijn bij mij C 
A: 	en hij staan vanaf die in het midden een klein beetje Linksboven 
A: 	gaan je één naar rechtsboven 
A: 	en dan nog één daar rechts 
A: 	maar volgens mij hebben jij die net al daar staan dus 
B: 	nee bij mij staan die in het midden en dan één rechtsboven daarvan 
A: 	nee dat zijn hem dus niet 
B: 	dan moeten ik rood geven 
A: 	dan moeten jij drukken 
B: 	die ik als allereer hebben met het rond plaat aan de achterkant 
A: 	ja 
B: 	het kegel rechts bovenop en 
A: 	dat zijn nummer zeven 
B: 	staan er beetje drie linksonder 
B: 	in een driehoek en dan de rechtsonder daarvan 
A: 	nee bij mij staan die linksonder daarvan 
A: 	de een die jij als één hebben 
A: 	dus op dat voe 
B: 	ja 
B: 	dat zijn C 
A: 	en die staan helemaal rechtsboven 
B: 	nee 
