A: 	dit figuurt hebben een soort 
A: 	satelliet aan de bovenkant zo noemen ik het het zijn een een ruit met daaruit aan beide kant uitsteeksel 
B: 	ja 
A: 	en aan de onderkant hebben die een een slurf 
B: 	ja 
A: 	en aan de voorkant hebben die ook nog twee uitsteeksel die eigenlijk zo vooruitgaan 
B: 	ja 
B: 	ik weten al welk het zijn het zijn M 
A: 	hij staan bij mij ongeveer op een kwart van het scherm vanaf de linkerkant 
A: 	en dan staan die net iets veel naar onder dan het midden 
A: 	en ik zullen zeggen dat er ongeveer anderhalf tot twee plaat onder passen 
A: 	en drie aan de bovenkant 
B: 	dat zijn dat zijn bij mij echt niet zo 
B: 	nee 
A: 	nee 
A: 	oké 
B: 	dit zijn ja dit zijn het kop en dan daarboven zitten zo'n gedraaide 
B: 	vierkant waar dan weer zo'n vierkant erdoorheen komen 
B: 	en daar onderin komen er komen zo'n staart uit 
A: 	zijn dat die die ik net satelliet noemen 
B: 	satelliet dat zijn het 
A: 	oké 
B: 	ja 
A: 	nummer negen 
B: 	en hij staan helemaal onderin en anderhalf plaat verschoven links vanaf het midden 
A: 	onderin 
A: 	daar staan die bij mij ook ongeveer 
A: 	hoeveel ruimte hebben je nog aan de linkerkant 
B: 	ja ik denken zo'n vier plaat 
B: 	ongeveer 
A: 	en naar het midden dus anderhalf zeggen je 
B: 	ja 
A: 	oké dan staan die op dezelfde plek 
A: 	en dit zijn die met de satelliet aan de bovenkant en de onderkant dat staart 
B: 	ja 
B: 	even kijken 
B: 	waar staan die 
A: 	lastig 
B: 	daar ja H 
A: 	moeten je de heel tijd zoeken 
B: 	ja 
A: 	even kijken hij staan bij mij ongeveer op een kwart vanaf links en aan de bovenkant oppasen er nog één figuurtje boven en aan de linkerkant nog twee figuurt denken ik 
A: 	past er nog naast 
A: 	waarom twijfel je 
B: 	er staan een figuurt direct naast rechts 
A: 	maar aan de linkerkant zullen er nog twee naast passen denken ik 
B: 	oké 
A: 	aan de bovenkant dus één 
B: 	ja dat zullen hem wel kunnen zijn 
B: 	ja 
A: 	ja jou beurt 
B: 	ja dit zijn het kop waar aan de onderkant wat uit komen en aan de bovenkant zitten een satelliet 
A: 	de ja elf 
B: 	en hij staat ongeveer een kwart vanaf links 
B: 	en dan zitten er nog ruimte voor half plaat aan de bovenkant 
A: 	kwart vanaf links 
B: 	ongeveer 
A: 	ja 
A: 	en hoeveel plaat zullen er aan de linkerkant passen 
B: 	anderhalf twee 
A: 	ja staan die wel op dezelfde plek 
A: 	dit zijn dat poppe met de satelliet aan de bovenkant 
A: 	en aan de onderkant het uitsteeksel 
B: 	ja 
B: 	dat zijn D 
A: 	en hij staan op ongeveer een kwart vanaf links 
A: 	en aan de onderkant zijn er misschien ruimte voor net een plaat 
B: 	niet dezelfde plek 
B: 	lang niet 
B: 	satelliet en het dinge aan de onderkant 
A: 	nummer veertien 
B: 	qua hoogte op het midden en bijna helemaal links past nog een half plaat tussen 
A: 	dus dan je hebben aan de onderkant en bovenkant ongeveer dezelfde ruimte 
B: 	ja 
A: 	dat zijn niet dezelfde plek 
