A: 	oké ik vinden deze heel leuk want ik noemen deze met de twee uitstekend tampon 
A: 	dus er zitten aan de bovenkant zitten zo'n fliebel en aan de linkerkant ook en dan zitten er aan de rechterkant zitten zo'n vierkant torendingetje 
A: 	maar het veel opvallen zijn de de de aan de bovenkant en aan de linkervoorkant een soort van tamponvormig raketachtig dinge 
A: 	of misschien konijnenor 
B: 	ik denken misschien dat ik hebben die aan de achterkant zo'n zo'n knikten staart 
A: 	ja achterkant ook nog een soort van staart of zo 
A: 	ja ja 
B: 	en dan aan de aan de rechterkant zo'n blok met klein blok 
A: 	ja 
A: 	ja 
B: 	oké 
B: 	dat zijn E bij mij 
A: 	oké dan staan die bij mij van de veel rechterrij daar zijn er bij mij twee één bovenaan en een beetje in het midden en het zijn dan die een in het midden 
B: 	nee dan staan die bij mij op een ander plek 
A: 	oké 
B: 	dit zijn die tampon van jou 
A: 	oké even zoeken 
A: 	dat zijn elf 
B: 	en hij staan nee dan hebben we weer dat vierkantje 
B: 	en dan zijn die Linksboven 
A: 	ja dat zijn dezelfde 
A: 	dit zijn die met de tampon 
B: 	waar staan die 
B: 	ja 
B: 	J 
A: 	die staan de rechterhelft van het scherm 
A: 	en dan een beetje in het midden eigenlijk 
B: 	oké nee dat zijn bij mij 
B: 	het staan dan net iets boven het midden 
A: 	ja ja 
B: 	maar ik ik hebben ook niet echt iets 
A: 	de er staan op de rechterhelft van het scherm hebben je er één rechtsboven in de hoek 
A: 	en het zijn dan die daar linksonder daarvan zeggen maar 
B: 	oké nee dat zijn een ander bij mij 
B: 	dit zijn de tampon 
A: 	dat zijn negen 
B: 	en die staan onderaan dat driehoek wat ik net zeggen 
B: 	rechts 
A: 	oké dus er staan niks veel onder eigenlijk 
B: 	nee 
A: 	dan zijn het niet gelijk 
A: 	dit zijn die met de tampon 
B: 	ja dat zijn B 
A: 	en die staan bij mijn rechtsboven van die we net hebben 
B: 	nee dat zijn ongelijk 
B: 	dit zijn de tampon 
A: 	vier 
B: 	die staan Linksboven in de hoek 
A: 	ja gelijk 
