B: 	ha ik hebben het rood vierkant 
A: 	oké nou vertel 
B: 	hij lijken een beetje op Pinokkio 
B: 	met zo'n 
A: 	met een lang neus 
B: 	ja 
A: 	oké 
A: 	hebben die twee van die ding op zijn op zijn 
B: 	nee die ander 
B: 	met een soort lepel in als het een kop zijn hebben die een lepel aan de rechterkant 
A: 	hebben die zo'n rond ding aan de zijkant van zijn hoofd 
B: 	ja 
A: 	ja 
A: 	nummer dertien 
B: 	oké volgens mij moeten je op de knop drukken dan 
A: 	deze 
A: 	ja dan 
B: 	ja 
B: 	bij mij staan die in het midden van de Xas 
A: 	X zijn zo toch 
B: 	ja X zijn hier 
A: 	en Y zijn zo toch 
B: 	oké 
B: 	ja in in het midden en een beetje onderaan 
A: 	ja ik hebben zullen ik maar zeggen daaronder nog één rij staan 
A: 	hij staan zeggen maar op de twee rij van onder 
B: 	ja 
A: 	en dan recht in het midden hebben ik 
B: 	ik denken dat het hetzelfde zijn ja 
B: 	dus geel knop moeten jij drukken dan denken ik 
A: 	dit zijn jouw Pinokkio 
B: 	ah 
A: 	met dat dinge erop en dat rond ja 
B: 	ja ja ja 
B: 	O 
A: 	en die staan dan heel erg dicht bij het midden 
A: 	maar hij staan net net iets veel naar rechts en net iets veel naar boven dus als je hier het midden hebben staan die staan die daar 
B: 	staan bij mij net iets veel naar rechts en net iets veel naar onder 
A: 	nee bij mij staan die wel echt veel omhoog 
B: 	ja 
B: 	Pinokkio noemen ik deze 
A: 	ja die hebben ik vinden 
B: 	en hij staan helemaal rechts en helemaal boven 
A: 	dat zijn trouwens dus acht 
B: 	ja 
A: 	helemaal rechts helemaal boven ja maar 
B: 	er zullen nog één rechts kunnen 
A: 	ja precies nee daar hebben ik hem 
B: 	oké 
B: 	moeten we dit zes keer doen 
A: 	Pinokkio 
B: 	Pinokkio 
B: 	C 
A: 	en dan staan die halverwege rechts 
A: 	en dan ook denken ik halverwege ja gewoon als je maar die vierkant hier zo hebben dat die heel erg daar in het midden zullen staan 
B: 	oké dat zijn anders 
B: 	staan helemaal boven 
B: 	Pinokkio 
A: 	even zoeken ja nummer zeven 
B: 	met zo'n rond dinge 
A: 	ja 
B: 	in het midden van links en er zullen er nog één onder kunnen 
A: 	oké bij mij staan die wel zo erg naar links ook dat er maar net misschien één langs zullen passen 
B: 	nee er zullen er wel twee langs passen bij mij zeker twee 
A: 	ja 
A: 	Pinokkio 
B: 	C 
A: 	en dan zitten die eigenlijk bijna boven tegen de rand aan 
B: 	nee 
A: 	en dan rechts 
B: 	mij zitten die past nog aan beide kant nog iets tussen 
