A: 	hierin zien ik zelf een gieter 
A: 	dus dat komme en aan beide kant uitsteeksel met twee balle erop en aan de een kant hebben je eigenlijk nog een hendel 
B: 	ja 
A: 	en daarbij ook ja nog een een vlak een plateau 
B: 	ja ik hebben hem zelf ook gieter noemen 
A: 	oké 
B: 	dat zijn toevallig 
A: 	ja 
B: 	dat zijn K 
A: 	die staan eigenlijk als je in de linkerbovenhoek kijken 
A: 	ja dan zullen er precies nog ja één in die hoek kunnen één hier één hier en staan die dus hier 
B: 	ja dan staan die op dezelfde plek want ik snapen precies wat je bedoelen 
B: 	dit zijn die gieter 
A: 	ja 
A: 	dat zijn bij mij negen 
B: 	hij staan rechts van het scherm maar er zullen er nog één tussen kunnen 
B: 	en dan niet helemaal bovenin maar op de twee rij 
A: 	ja dat dus daar zullen er ook nog één tussen kunnen 
B: 	ja 
B: 	zeggen maar dat hier die 
A: 	ja 
B: 	ja 
A: 	met die driehoek 
A: 	ja dat zijn bij mij ook zo 
A: 	dit zijn weer de gieter 
B: 	dit zijn F 
A: 	en die staan rechts van het midden 
A: 	daarin eigenlijk net ja 
A: 	eigenlijk in de lengte ook weer in het midden net misschien net iets eronder 
A: 	en in de breedte staan die ook weer net iets in het midden van het midden 
B: 	aan de rechterkant van het scherm 
A: 	rechterkant van het scherm 
B: 	dan zijn het niet dezelfde plek 
B: 	dit zijn de gieter 
A: 	de gieter die staan ja 
A: 	dat zijn nummer drie 
B: 	en dan hebben je het midden en dan staan die links en dan kunnen er zeggen maar van het midden nog een half of een heel ja er kunnen er echt nog wel één tussen en dan staan hij helemaal onderaan 
B: 	dus aan de linkerkant kunnen er nog twee aan de rechterkant kunnen er kunnen er één 
A: 	oké 
A: 	nee dat zijn bij mij niet zo 
A: 	dit zijn de gieter 
B: 	dat zijn L 
A: 	en die staan net iets rechts van het midden 
A: 	en in de hoogte staan die eigenlijk best wel mooi in het midden 
A: 	misschien iets naar onder 
A: 	ja 
B: 	nee staan hij niet op dezelfde plek 
B: 	dit zijn de gieter 
A: 	de gieter ja 
A: 	dat zijn nummer vijf 
B: 	als je het midden hebben staan die precies op het midden en onder kunnen er nog één onder 
A: 	ja 
A: 	dat zijn dezelfde positie 
