A: 	deze hebben een best wel hoog driehoek op de bovenkant van het kop en een heel klein 
A: 	die ook een beetje rond zijn aan de linkerkant 
A: 	en een soort wiel onder de kop 
A: 	en dan zitten er nog een een vag vorm ervoor zeggen maar 
A: 	die ja een vliegerachtig iets 
B: 	ja dat zijn J 
A: 	hij zitten aan de rechterkant en dan helemaal beneden maar wel verticaal zien echt op het midden 
B: 	ja dat zijn hetzelfde 
B: 	dit zijn het kop met het driehoek aan de bovenkant en 
B: 	zo'n oplopen kubus aan de linkerkant en het wiel aan de Linkeronderkant 
B: 	en de vlieger aan de rechterkant 
A: 	de vlieger ja 
A: 	zes 
B: 	op de rechterschermhelft staan die 
B: 	verticaal zien vrij in het midden maar net een slag naar rechts en horizontaal zien net iets onder het midden 
A: 	ja 
A: 	ja dat zijn wel hetzelfde denken ik 
A: 	dit zijn met die vlieger erop 
A: 	en de driehoek Erboven en 
B: 	dat zijn E 
A: 	en hij staan net aan de rechterkant van zeggen maar als je hem doormidden doen 
A: 	en dan redelijk laag 
B: 	maar niet in het midden van die rechterschermhelft 
A: 	nee 
B: 	oké 
B: 	dit zijn die met de met de driehoek erop 
B: 	de het groot worden kubus aan de linkerkant wiel en de vlieger 
A: 	ja ja 
A: 	tien 
B: 	en van de linkerschermhelft staan die ook daarvan net nog in de aan de linkerkant 
B: 	en best wel aan de onderkant 
A: 	wachten jij zeggen als je als je hem door de helft doen dan staan die vervolgens weer aan de linkerkant 
B: 	ja 
A: 	nee ik denken niet dat het dezelfde zijn 
A: 	dit zijn de vlieger 
A: 	met dat wiel aan de onderkant 
B: 	ja dat zijn G 
A: 	en die zitten helemaal linksboven in de hoek 
B: 	ja 
B: 	dit zijn met de vlieger 
B: 	en de driehoek erbovenop 
B: 	ja 
A: 	tien 
B: 	en van de rechterkant van het scherm zitten die verticaal zien vrijwel in het midden 
B: 	en horizontaal net onder het midden 
