A: 	je hebben een soort handvat bovenop en aan de linkerkant hebben die hetzelfde handvat 
A: 	rechts hebben die blok die groot worden 
A: 	bijna alsof je een lepel in het kop hebben steken en die zitten dan ook links 
B: 	ja ik hebben hem ja ik hebben hem 
A: 	ja 
B: 	er zitten nog zo'n gek friemel aan de achterkant eigenlijk een beetje 
A: 	zitten er nog een 
A: 	ja 
B: 	ja 
B: 	er steken boven een soort van lepel uit 
B: 	en dat zijn voor mij dan even kijken E 
A: 	hij zitten voor mij helemaal rechts 
A: 	en dan net boven het kruis dat je zullen tekenen 
B: 	nee dan zitten die niet gelijk 
B: 	want bij mij zitten die ergens hij zitten wel rechts maar ergens halverwege dat vlak 
B: 	dus dat worden dan rood 
A: 	nee dat lijken er niet op 
B: 	deze die hebben een 
B: 	ja wat zijn het ? een soort van lepel die echt recht naar boven opsteken aan de rechterkant een blok vierkant blok wat steeds groot worden 
B: 	en links een 
A: 	ja links hebben die dan dezelfde lepelding 
B: 	ja zelfde lepel inderdaad en daarachter zitten dan een veel aan de achterkant zitten ook wat 
A: 	die 
A: 	ja precies dat zijn elf voor mij 
B: 	en die zitten voor mij aan de linkerkant en dan in het bovenste vak en dan tegen de lijn tegen de middellijn aan 
B: 	dus Linkervak 
A: 	ja en dan 
B: 	bovenste vak en dan in het vak zo rechts mogelijk tegen de middellijn aan 
A: 	ja precies nee daar hebben ik hem ook 
A: 	dit zijn degeen met de lepel bovenin en dezelfde lepel aan de zijkant en dan de vierkant die groot worden 
B: 	ja 
B: 	dat zijn J voor mij 
A: 	hij staan voor mij in het rechterbovenvak 
A: 	net een beetje in het midden en dan 
B: 	discutabel of die de rij lijn raken 
A: 	discutabel of die door de lijn gaan 
B: 	ja 
B: 	dan hebben we hetzelfde denken 
B: 	deze hebben weer lepel die Erboven en link uitsteken en rechts de groot worden vierkant 
A: 	ja 
A: 	ik moeten hem even zoeken 
A: 	ja dat zijn negen voor mij 
B: 	en die vinden we ja eigenlijk ook een beetje eenzaam rechts onderin 
A: 	nee 
B: 	oké dan zijn we snel klaar 
A: 	nee nee voor mij zijn het niet eenzaam 
A: 	dit zijn die met de lepel bovenin en dezelfde lepel links 
B: 	een lepel bovenin even kijken ja dat zijn B 
A: 	die staan voor mij in het rechterondervak 
A: 	en dan een beetje in het midden bovenaan 
B: 	nee hij staan bij mij wel rechtsonder maar helemaal rechts 
A: 	nee 
B: 	zeggen ik dat goed ? ja 
B: 	met de twee gelijk lepel één boven één link 
A: 	ja 
A: 	dat zijn vier voor mij 
B: 	en hij staan bij mij helemaal linksboven in de hoek 
A: 	ja 
