A: 	yes 
A: 	oké nou ik zien rood vierkant om 
A: 	nou ja het zijn dus weer een kop met een bol die aan de voorkant aan de rechterkant zitten 
B: 	oké 
A: 	en door die bol heen zitten een een rechthoekig stok met één met daar ook een 
A: 	een cirkel aan aan de rechterkant 
B: 	zijn het F 
B: 	want ik denken dat ik hem nu zien 
A: 	en en er zitten aan de bovenkant een soort van ja een pluk 
B: 	ja 
A: 	naar de die naar de linkerkant gaan 
B: 	ik zien hem 
A: 	oké 
B: 	het zijn F 
A: 	oké 
A: 	ja nou en bij mij zitten die qua hoogte ongeveer in het midden 
A: 	en hij zitten naar de aan de rechterkant van het scherm 
B: 	ja bij mij ook 
A: 	maar nee niet helemaal aan de tegen de rechterkant aan 
B: 	nee 
A: 	maar ongeveer tussen in het midden van het midden en de ver rechterkant zeggen maar 
B: 	oké bij mij zitten die zijn het het veel rechts plaat 
B: 	bij jou niet 
A: 	bij mij zijn het niet het veel rechts plaat 
B: 	oké 
B: 	het zijn weer het het kop met het bolle 
B: 	en er opsteken dan één door dat bolletje steken dan een balk 
A: 	ja 
B: 	met een ja het zijn een beetje een spijker zo 
A: 	en dan dat sprie aan de bovenkant 
B: 	sprie aan de bovenkant 
A: 	ja oké dat zijn dus vijf voor mij 
B: 	oké 
B: 	en ja bij mij staan die dan een beetje in het midden van link 
B: 	en dan ja net iets boven ja boven het midden 
A: 	oké bij mij staan die wel best wel dicht bij het midden veel dichter bij het midden dan dat die bij de linkerkant staan 
B: 	ja bij mij eigenlijk ook wel nu ik er zo over nadenken 
B: 	ja 
A: 	oké 
B: 	ja 
A: 	en dan net iets boven het midden qua hoogte of veel ? bij mij staan die wel echt in het 
A: 	midden van de bovenkant van het scherm zeggen maar 
B: 	mij net niet 
A: 	oké 
A: 	ja nee dan kloppen dat niet 
A: 	oké dit zijn weer die een met met het sprie aan de bovenkant en de bol met met het ding erdoorheen 
B: 	zijn A 
A: 	oké 
A: 	en hij staat ongeveer in het midden van de rechterkant van het scherm 
B: 	ja 
A: 	en ongeveer in het midden van de onderkant van het scherm 
B: 	ja 
A: 	oké 
B: 	dus bedoelen je hij staan rechtsonder voor jou 
A: 	ja 
B: 	oké ja bij mij dan net niet 
A: 	ja 
B: 	nou dit zijn dan weer de die een met de spijker door de bol 
A: 	ja 
B: 	en het flupje bovenop 
A: 	dat zijn vijf 
B: 	oké 
B: 	en bij mij staan die net iets boven het midden 
B: 	en iets van het midden van rechts 
A: 	ja ja hij staan bij mij wel ja dat dat kloppen ja 
A: 	oké dit zijn weer het bolletje met het ding erdoorheen en het sprie 
B: 	zijn H 
A: 	yes 
A: 	en hij staan echt net iets rechts van het midden maar echt heel klein beetje 
A: 	en ja ongeveer in het midden van de onderkant van het scherm 
B: 	ja bij mij ook 
B: 	het zijn die een weer met de spijker door de bol 
A: 	ja 
A: 	vijftien 
B: 	en hij staan in het midden van rechts en dan ook nog in het midden van boven 
A: 	nee bij mij staan die echt net iets boven de bovenkant of de middellijn dus kloppen niet 
B: 	oké 
