A: 	oké deze zijn volgens mij de enig die aan de rechterkant twee rechthoekig staafjes hebben 
B: 	ja en een neus aan de linkerkant 
A: 	ja 
B: 	en een soort hoed 
A: 	en een soort hoed ja 
B: 	oké dat zijn I bij mij 
A: 	oké en dan staan die net links van het midden 
A: 	en bovenaan op dezelfde hoogte als van de eennalinks ook de boven zeggen maar 
B: 	ja 
A: 	die hoogte 
B: 	dus zeggen maar 
A: 	en dan net links van het midden 
B: 	ja 
B: 	ja dus niet de bovenste rij maar net één daaronder 
A: 	ja 
B: 	ja dan staan die bij mij op dezelfde plek 
B: 	dat zijn geel 
B: 	en dit zijn die een met die twee rechthoeak aan de rechterkant 
A: 	en dan aan de linkerkant zo'n gek uitsteeksel 
B: 	ja 
A: 	oké dat zijn twee 
B: 	en die staan dat zijn degeen die het veel neigen naar de linkerhoek 
A: 	ja 
B: 	linkeronderhoek 
A: 	ja ik snapen linkeronderhoek ja ik snapen hem ja 
A: 	dat zijn gelijk 
A: 	dit zijn die met die twee rechthoeak aan de rechterkant 
A: 	en dat hoed een soort van 
B: 	waar staan die 
B: 	ja dat zijn M 
A: 	die staan bij mij links onderin ook 
B: 	ja 
B: 	dit zijn die met die twee rechthoekig ding en rechts 
A: 	dat zijn negen 
B: 	en dat zijn de bovenste rij de twee van link 
A: 	ja hetzelfde 
A: 	dit zijn die met de twee rechthoeak aan de rechterkant 
B: 	ja dat zijn F 
A: 	die staan dan van die drie onderin de middel 
B: 	ja 
B: 	die met de twee rechthoeak in zijn rechteroor 
A: 	dat zijn zes 
B: 	en die staan in het de middel rij horizontaal 
B: 	en dan links van het midden verticaal 
A: 	oké dus dan staan er één boven en niks eronder 
B: 	ja 
A: 	oké gelijk 
