B: 	oké 
A: 	even kijken hoor dit figuur hebben een een bolle bovenop 
A: 	en als ik zo kijken zijn dat de enig die dat hebben 
B: 	ja dus 
A: 	hij hebben ook een balk ervoor staan 
B: 	één en dan twee van die uitsteeksel naar links en rechts 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	dat zijn D 
A: 	en hij staan bij mij op de op de alleronder rij met figuur zitten er drie 
B: 	ja 
A: 	en daar zijn het de middel van en de middel die staan iets naar links 
B: 	ja precies 
B: 	hebben ik ook 
B: 	geel 
B: 	oké dit zijn die hebben we net hebben twee uitsteekselt een balle bovenop volgens mij ja de enig met een balle bovenop 
A: 	met een balk ervoor 
B: 	balk ervoor twee uitsteeksel naar rechts 
A: 	ja 
A: 	nummer vijftien 
B: 	oké 
B: 	en hij zitten helemaal rechtsonder 
A: 	nee bij mij zitten die naar het midden toe 
A: 	dus dat zijn niet oké 
A: 	even kijken dit zijn aan de beide kant opsteken er iets uit dit zijn de enig met een bolle erop 
B: 	ja 
B: 	oké dat zijn L 
A: 	ja dan moeten ik zeggen waar die zitten 
B: 	ja 
A: 	weten je nog dat driehoek van net 
B: 	ja 
A: 	daar zitten die rechts van 
B: 	ja bij mij ook 
B: 	bolle bovenop 
A: 	bolle bovenop met een balk ervoor 
B: 	met balk ervoor 
A: 	ja dat zijn nummer zes 
B: 	en van de veel drie rechts zijn het de middel 
A: 	nee bij mij zijn het de onderste dus kloppen niet 
A: 	dit zijn de figuur met het balle erbovenop met een balk ervoor 
B: 	balle het enig met het balle erboven toch 
A: 	enig met een balle erbovenop ja 
B: 	dat zijn J 
A: 	en als ik even kijken poeh 
A: 	in de rechterkant van het scherm hebben je er eigenlijk vier 
A: 	je kunnen er een soort van rechthoek vierkant van maken 
B: 	ja 
B: 	ja ja ja ja 
A: 	en daar zijn het de veel links van dus linksboven van het vierkant 
B: 	wachten die 
A: 	je hebben aan de rechterkant van je scherm zitten er vier 
B: 	ja zitten er 
B: 	ja 
B: 	en dan de Linksboven 
A: 	en dan de linksboven ja 
B: 	ja 
B: 	oké 
B: 	bolle bovenop staaf ervoor 
A: 	ja dat zijn nummer drie 
B: 	ja en helemaal rechts 
A: 	ja bij mij ook 
