B: 	hij staan bij mij eromheen 
A: 	ja 
A: 	oké 
B: 	even kijken hoor hij hebben aan de linkerkant zo'n soort van klein rond staaf 
B: 	vast aan het midden van de zijkant van het kop zeggen maar 
B: 	en dan daarachter zitten zien je zeggen maar de helft van een cirkel die daaraan vastziken 
B: 	en dan daarbovenop nog zitten zo'n soort van rond staafachtig dinge 
A: 	ja 
B: 	en aan de onderkant hebben die nog soort van rond rechthoekig soort van standaard of zo 
A: 	ja 
B: 	en dat zijn eigenlijk alles wat die hebben 
A: 	ja nee dat snap ik wel 
B: 	oké 
A: 	dus dan 
B: 	dan moeten jij het nummer zeggen denken ik 
A: 	dertien 
B: 	oké 
B: 	bij mij staan die ongeveer in het midden zeggen maar 
B: 	en dan veel naar de onderkant toe 
B: 	maar niet helemaal aan de onderkant 
A: 	nee jij zien jij ook dat ze zo zo drie in zo'n boog staan 
A: 	soort van boog of niet 
B: 	niet echt 
B: 	zeggen maar als je van links naar rechts kijken dan zijn het wel het midden van links en rechts zeggen maar 
A: 	ja 
B: 	maar niet van boven en onder dan zijn die veel richting de onderkant 
A: 	ja 
B: 	maar dan niet helemaal onderin 
A: 	nee oké net iets daarboven 
B: 	ja 
A: 	en daar ongeveer naast zitten ook nog één 
B: 	bij mij wel maar waarschijnlijk zijn dat bij jou ander 
A: 	ja weten niet misschien zien we ze wel hetzelfde 
A: 	maar ik denken wel dat die op dezelfde plek zitten eigenlijk 
B: 	want 
B: 	ja 
A: 	ja 
B: 	dan moeten je op de geel knop 
A: 	want ik hebben er ja hier één 
A: 	daar één en dan zitten er twee zo daarboven 
A: 	en dan zijn het die die in het midden 
B: 	ja 
B: 	ik denken dat het dan wel dezelfde plek zijn 
A: 	oké 
B: 	geel 
A: 	ja volgens mij zijn we weer met de herhaling bezig want deze dat zijn dat kop met de ja half cirkel aan de achterkant 
A: 	en dan links die die zeshoekig buis en dan dat pluimbje boven en dan die langwerpig ovaal ding aan de onderkant 
B: 	ja 
B: 	dat zijn O 
A: 	en hij staan bij mij net iets rechts van het midden 
A: 	en net iets boven het midden 
B: 	ja 
B: 	bij mij staan die echt inderdaad net rechts van het midden 
B: 	maar dan zo er net onder 
A: 	eronder 
B: 	ja als je als je hem zo door de helft tilen 
A: 	nee bij mij staan die er wel echt echt boven 
B: 	dan zijn die niet hetzelfde denken ik 
A: 	nee ik denken het ook niet 
B: 	nee 
B: 	dit zijn die met die verbergen cirkel erachter 
B: 	en dan links hebben die soort van staaf als neus 
B: 	en dan nog een pluimp bovenop 
B: 	en daaronder nog een soort van Standaard 
A: 	ja 
A: 	ja dat zijn acht 
B: 	staan bij mij in rechterboven hoek 
B: 	met zo'n stuk aan de bovenkant nog 
B: 	en zo'n stuk rechts ervan 
A: 	ja hij staat ook best wel alleen of niet 
B: 	ja bij mij ook 
A: 	ja dan zijn het dezelfde 
A: 	ja dit zijn die met die half cirkel aan de achterkant 
A: 	en dat pluimp 
A: 	en aan de onderkant dat ovaal langgerekken 
B: 	ja en dat staafje links 
A: 	ja 
B: 	dat zijn C 
A: 	hij staan ja aan de rechterkant 
A: 	ongeveer op het midden van de rechterkant net iets link daarvan 
A: 	en qua boven en beneden zitten die in het midden van de bovenste helft 
B: 	bij mij zitten die veel richting dit midden 
A: 	nee hij zitten wel veel richting de de de helft van de rechterhelft 
B: 	oké 
B: 	dan zijn het niet hetzelfde 
B: 	dit zijn die met soort van staafneusje aan de linkerkant en die half cirkel daarachter 
B: 	pluimp aan de bovenkant en ovaal ding aan de onderkant 
B: 	zeggen maar standaard het standaard eronder 
A: 	die 
A: 	die met die half cirkel daarachter 
B: 	ja 
A: 	ik zijn even ik kunnen hem niet vinden 
A: 	dat zijn zeven 
B: 	hij staat bijna in het midden van het linkerdeel 
B: 	en dan zo'n stuk van de onderkant af 
A: 	bijna in het midden van het linkerdeel dus niet helemaal links 
B: 	er net iets rechts van 
A: 	ja bij mij zijn die 
A: 	bij mij zo'n stuk aan de buitenkant 
B: 	aan de linkerkant 
A: 	ja link 
B: 	tot de rand 
A: 	ja 
B: 	bij mij zo'n stuk 
A: 	nee oké 
A: 	dan niet 
A: 	dit zijn die ja die op die standaard die aan de onderkant dat ovale hebben met dat cirkel er half achter en de pluim 
B: 	ja 
B: 	dat zijn C 
A: 	hij staan bovenste rij wel 
B: 	helemaal bovenste rij 
A: 	ja 
B: 	dat zijn niet hetzelfde 
A: 	ja 
