B: 	oké het kop zitten in een soort van blauw vlak 
A: 	ja zo'n zo'n soort tutu en dan hebben die zo'n omgedraaide L als linkerkant 
B: 	ja 
A: 	oké dat zijn bij mij nummer zes 
B: 	kloppen hebben ik ook 
B: 	hij staan bij mij bovenaan en dan net niet in het midden maar een beetje veel naar rechts 
A: 	rechts 
A: 	centrum rechts ja 
A: 	ja bij mij ook 
A: 	die een met dat vierkant op ongeveer buikhoogte 
B: 	als een soort van ballerina 
A: 	ja ja tutu noemen ik hem met die L 
B: 	C 
A: 	en die staan helemaal bovenin ongeveer vijfenzeventig procent rechts 
B: 	ja 
B: 	ik hebben die een met die tutu 
A: 	ja 
A: 	en dat zijn dertien 
B: 	en die staan linkerbovenhoek 
A: 	oké 
A: 	die met die die tutu en dat dat L'etje 
B: 	ja 
B: 	J 
A: 	en die staan bij mij ongeveer onder in het centrum 
B: 	ja bij mij ook 
B: 	ik hebben de ballerina 
B: 	de tutu 
A: 	ja dat zijn nummer negen 
B: 	en die staan bij mij bijna helemaal tegen de rechterkant ongeveer 
A: 	ja 
A: 	ook iets van het midden ongeveer 
B: 	ja ongeveer bij het midden tien procent omhoog 
A: 	ja 
A: 	ja bij mij staan die eerder wat laag dan het midden 
A: 	dus 
B: 	bij mij hoog 
A: 	oké 
A: 	die met die met dat rok 
B: 	ja de tutu 
A: 	ja 
B: 	dat zijn N 
A: 	en die staan vanaf ja die staan ongeveer tien van bovenaf en iets van het midden af 
B: 	ja 
