A: 	ja dit zijn vinden ik die veel abstract figuur 
A: 	dit zijn met die spits punt 
A: 	helemaal boven en dan onder hebben je zo'n rond en aan de voorkant zitten zo'n conisch vierkant blok 
B: 	ja 
B: 	ja ja 
A: 	en aan de zijkant zitten nog zo'n 
B: 	dat zijn J 
A: 	en die zitten bij mij ja als je het midden hebben rechts en dan helemaal onderaan op die onderste laag 
B: 	ja 
A: 	en dan niet strak in de hoek maar net iets iets naar 
B: 	ja maar daar zitten daar zitten niks veel niks veel naast 
A: 	nee nee nee nee 
B: 	dan zitten die op dezelfde plek 
A: 	oké 
B: 	deze hebben heel veel verschillend vorm er zitten bovenop zitten die punt 
B: 	en voorkant zitten dat dat gek blok 
A: 	ja precies 
B: 	en er zitten links zitten nog zo'n raar punt met 
A: 	ja ja ja 
B: 	ja 
A: 	dat zijn zes 
B: 	en die zitten bij mij niet strak rechtsonder in de hoek maar net net iets daarboven 
A: 	ja dat hebben ik ook 
A: 	zeggen maar iets link Erboven zo zo ja ja dat hebben ik ook 
B: 	ja ja kloppen ja 
A: 	ja dit zijn weer die gek figuur met die spits punt 
B: 	met de spits punt 
A: 	ja 
B: 	ja waar we echt niks van snappen 
A: 	nee precies 
B: 	die staan bij mij op E 
A: 	en die zitten bij mij even kijken als je het midden hebben zo verticaal het midden en dan net iets rechts daarvan 
A: 	en dan horizontaal midden ook net iets daaronder 
B: 	ja ik hebben hem wel als veel rechts onderin 
B: 	maar hij zitten hij zitten niet helemaal rechts onderin 
A: 	nee 
A: 	nee nee bij mij staan er nog een figuur naast 
B: 	niet helemaal 
B: 	dan staan die op een ander plek 
B: 	dit zijn dat gek ding driehoek bovenop 
A: 	die spits driehoek 
B: 	ja 
A: 	dat zijn tien 
B: 	en hij staan bij mij linksonder in de hoek 
B: 	niet helemaal strak in de hoek maar wel als veel linksonderplaa 
A: 	ja bij mij zitten die zeggen maar als je door twee delen en dan weer het midden zeggen maar 
A: 	volgens mij zitten die hier ongeveer 
B: 	ik hebben dit dit van de rand af 
A: 	nee ik hebben dit zo 
B: 	nee dat zijn een ander plek 
A: 	ja dit zijn die spits spits driehoek aan de achterkant en dat raar figuur weten je wel 
B: 	ja ja ja 
B: 	G 
A: 	en die hebben ik echt Linksboven 
B: 	strak Linksboven 
A: 	ja 
A: 	strak 
B: 	perfect 
B: 	dit zijn dat gek ding met de driehoek bovenop 
A: 	met die spits driehoek 
B: 	ja 
A: 	ja 
A: 	tien 
B: 	en die hebben ik rechts rechtsonder in het kwadrant rechtsonder staan 
A: 	ja 
B: 	en dan daar in het ongeveer in het midden daarvan 
A: 	ja even kijken dat kwadrant zo 
B: 	ja 
A: 	en op die horizontaal lijn staan die net onder die horizontaal 
B: 	ja 
A: 	en dan 
B: 	maar niet ja en dan dus in het midden van het scherm ongeveer 
A: 	ja precies dat hebben ik ook 
B: 	ja 
A: 	ik denken dat het hetzelfde zijn 
B: 	ik denken het ook 
