B: 	het zijn die een die op een voet lijken te staan zeggen maar met die twirl en dan op een driehoek 
A: 	zo'n die 
A: 	op een driehoek ja 
A: 	dat zijn nummer vier 
B: 	en die zitten bij mij veel rechtsboven 
A: 	nee bij mij zitten die niet hij zitten niet goed in de hoek 
B: 	hij zitten ook niet goed in de hoek maar het zijn wel de veel rechtsboven 
A: 	nee 
B: 	hij zitten vijf centimeter van rechts af en vier van boven 
A: 	nee dan zitten die niet op dezelfde plek 
A: 	dit zijn degeen met de twist 
A: 	daar beneden op de driehoek 
B: 	waar zijn het kreng ? ja vinden A 
A: 	oké en bij mij zijn die links best wel een beetje in het midden 
B: 	ja bij mij zijn het de uiterst links en dan iets boven het midden 
A: 	dan zijn het niet dezelfde 
B: 	oké 
B: 	dit zijn op dat op dat voetstuk met die twirl 
A: 	ja ja inderdaad zijn tien 
B: 	en hij zitten zeggen maar op de onderste rij en dan de middel 
A: 	ja 
A: 	ja 
A: 	dit zijn met de twist op de driehoek 
B: 	L 
A: 	zijn helemaal rechts bovenin 
B: 	ja 
B: 	het zijn die op de driehoekig voetstuk met die twirl 
A: 	ja ja vier 
B: 	en die zitten bij mij soort van op de middellijn en dan een beetje neigen naar links 
A: 	je hebben zo zeggen maar midden het lijken wel midden in de hoe in het midden zitten zo'n soort van driehoekje 
B: 	ja 
A: 	en daar de linksonder van zeggen maar 
B: 	ja 
A: 	ja 
A: 	het zijn de twirl met een driehoek 
B: 	ja F 
A: 	en die zitten een beetje boven de Q 
A: 	zeggen maar als je de Q hebben 
B: 	nee daar zitten hij bij mij 
A: 	en dan best wel bovenin 
A: 	en dan een beetje een beetje rechts van de Q 
B: 	nee hij zitten bij mij compleet links van het logo dus 
A: 	oké 
