B: 	ja deze hebben ook zo'n ik denken ook zo'n vierkant vlak maar dan wat hoog het lijken een beetje zo'n plank 
B: 	waar dan zo'n vierkant bak op staan 
A: 	een plank waar een vierkant bak op staan 
B: 	zeggen maar een plaat met twee poot 
B: 	die om de beker staan 
A: 	even even even overnieuw 
B: 	het zijn de beker gewoon en dan zijn het zo'n vierkant plaat die meerdere hebben en die zitten dan ongeveer op driekwart dus best wel hoog 
A: 	ja 
B: 	en het lijken alsof het zo'n plank zijn en daar staan dan een soort vierkantig bak op 
B: 	op dat plank 
A: 	wachten en oké dus en hij hebben ook nog twee van die balkjes naar beneden 
B: 	ja 
A: 	en dan een soort van ja een kuip en dan nog een klein oor aan de linkerkant 
B: 	ja 
A: 	dan zijn dat nummer zestien 
B: 	en hij staan bij mij twee rij van rechts zullen ik zeggen 
B: 	en dan ongeveer in het midden 
A: 	ja hij staan bij mij rechtsboven dus dat zijn niet hetzelfde 
B: 	nee 
A: 	ja dit zijn dat kop met dat balk met twee balk die daaraan hangen en dat 
A: 	mand dat op het balk staan en dat klein oor Linksboven 
B: 	ja ja 
B: 	dat dat plank zullen ik maar zeggen 
A: 	ja 
B: 	oké dat zijn P 
A: 	en hij staan eigenlijk een beetje op de middellijn en dan twee rij van rechts 
B: 	ja 
B: 	echt dit zijn echt het midden zullen ik zeggen en dan 
A: 	ja 
A: 	en dan twee rij van rechts 
B: 	ja 
B: 	dan staan ze op dezelfde plek 
B: 	dit zijn weer dat kop met dat plank met die twee poot 
B: 	waar dan dat kuip op staat 
B: 	en staart aan de achterkant 
A: 	staart daar links 
A: 	ik zijn hem even aan het zoeken ik weten welk je bedoelen maar 
A: 	waar staan die nou 
A: 	ja ja 
A: 	dit zijn kop 
A: 	balk met twee van die ding 
B: 	ja 
A: 	dinge en dat oor link 
B: 	ja 
A: 	dat zijn nummer veertien 
B: 	en hij staan onderaan in het midden 
A: 	ja hetzelfde 
A: 	het kop met de balk met de twee klein balkjes erop en het mand die op het balk staan en het klein oor aan de linkerkant 
B: 	ja 
B: 	het plank zullen ik maar zeggen 
B: 	toch 
A: 	ja 
B: 	dat zijn N 
A: 	en hij staan als je de middellijn toenemen van links naar rechts dan staan die daar iets boven en dan staan die ongeveer halverwege aan de linkerkant 
B: 	dat zijn bij mij ook zo 
B: 	dit zijn weer dat ding dat plank met die twee plank 
A: 	ja en het en het nummer tien 
B: 	het bak erop 
B: 	en hij staan in het midden ongeveer van links naar rechts en dan wel iets naar boven 
A: 	ja 
A: 	bij mij staan die bovenaan 
A: 	aan de bovenste rij 
B: 	nee 
B: 	nee 
A: 	oké dan zijn het rood 
A: 	het balk met de steunbalkjes en het kuip en het klein oor aan de linkerkant 
B: 	ja ja 
B: 	dat zijn D 
A: 	en hij staan bij mij bijna helemaal rechts er zijn nog één figuur daaronder die iets veel naar rechts staan 
A: 	en hij zijn de twee van boven zeggen maar 
B: 	nou bij mij staan die wel helemaal bovenaan 
A: 	helemaal bovenaan 
B: 	ja 
A: 	ja dan zijn het niet hetzelfde 
B: 	nee 
