B: 	ok dit zijn één die ik eigenlijk in mijn hoofd omschrijven als eineus 
A: 	ei neus o dat zijn gewoon die indiaan zonder piercing 
B: 	ja precies dit zijn inderdaad inderdaad het precies dezelfde eigenlijk maar dan zonder die piercing er doorheen en zo'n soort kegel omgekeerd op zijn hoofd 
A: 	ok 
A: 	jajaja 
A: 	dan weten ik het al 
A: 	ja 
B: 	ok dan hebben we daar dezelfde 
A: 	jaja met dat met zo'n uitsteeksel bij zijn oor en dan nog jaja ok ok ja veertien 
B: 	ja ja ja ja precies 
B: 	hij zitten rechts onderin 
A: 	nee 
A: 	maar helemaal rechts onderin ? of gewoon dicht bij het midden 
B: 	nee nee heel dicht bij het zeggen maar heel erg dicht eigenlijk bij het verticaal midden 
A: 	ok ok ok ja 
B: 	dus hij zitten ja hij zitten bij mij denken ik het dichts bij het midden maar dan er rechts er rechts onderin daarvan 
A: 	ja 
A: 	ja ja bij mij zitten hij net rechts onder in het midden als in als je het in vier deel zullen op dan zullen hij 
B: 	of ja 
B: 	link bovenin het rechts onderinne deelte ja 
A: 	ja precies precies 
A: 	ja dan denken ik dat hij op dezelfde plek zitten ja 
B: 	dus volgens mij zitten hij op dezelfde plek zitten ja 
A: 	ok die indiaan zonder neuspiercing 
B: 	even kijken zonder neuspiercing a ja met die kegel op zijn hoofd en dat soort driehoek aan de zijkant ja 
A: 	ja jaja 
B: 	o N 
A: 	en hij zitten link bovenste vak links onder 
A: 	link bovenste vak links onder 
B: 	bij mij zitten hij echt op de horizontaal as in het midden dus dan zijn hij denken ik niet dezelfde 
A: 	nee niet helemaal hij zijn een echt niet in het midden als in 
B: 	nee 
B: 	nee ok en er zitten bij jou nog iets link van 
B: 	of bij jou staan hij helemaal links ja bij mij zitten er nog iets link van 
A: 	nee bij mij zitten hij helemaal links bij mij staan hij helemaal links 
A: 	ja 
B: 	dus niet hetzelfde 
B: 	indiaan zonder piercing 
A: 	hij ik zien hem 
B: 	dus de Eineus 
A: 	ja 
A: 	o negen negen je sorry 
B: 	nou het zullen wel goed zijn 
A: 	ik zeggen 
A: 	bij mij zitten hij helemaal links bovenin 
B: 	nee bij mij zitten hij helemaal links in het midden 
A: 	nee bij mij niet 
B: 	veel 
A: 	ok 
A: 	indiaan zonder piercing 
B: 	even kijken ja met die kegel op zijn hoofd of ja met die 
A: 	met vulp of zo en dat ding 
B: 	vulpen ja vinden ik een goed G 
A: 	in ja links onderste vak rechts bovenin 
B: 	link onderste vak rechts bovenin ja 
A: 	ok 
A: 	dat moeten jij doen o 
B: 	indiaan zonder piercing vulpen op zijn hoofd 
A: 	ok vulpen indiaan vijf 
B: 	even kijken 
B: 	o rechts bovenste vak links onderin 
A: 	nee 
B: 	waar zitten hij bij jou dan 
A: 	nee bij mij zitten hij er helemaal aan de rechterkant van het scherm zeggen maar rechts bovenin en dan rechtsonderin dus 
B: 	o ok nee 
B: 	niet dezelfde 
A: 	dus moeten ik doen duwen 
A: 	indiaan zonder piercing 
B: 	J 
A: 	en rechts bovenste vak in het midden daarvan 
A: 	nee 
B: 	nee rechts bovenste vak links onderin 
A: 	nee dat zijn niet bij mij 
