A: 	ja ik vinden deze op een vogel lijken 
A: 	het zijn met die hebben zo'n snavel met twee van die rechthoeak die aan de rechterkant er uit komen en zo'n 
A: 	driehoek met de plat bovenkant er bovenop en dan zo'n dinge naar achteren met zo'n staart eronder die ook naar achter wijzen 
B: 	ik zien geen vogel maar hij hebben een piramide op zijn hoofd 
A: 	ja maar dan zonder ja je hebben er één met zo'n heel scherp piramide 
B: 	ja 
A: 	en dat zijn hem niet het zijn met het begin van de piramide maar de punt zijn er zeggen maar afsnijden 
B: 	o die die lijken wel op een vogel 
A: 	toch ? ja dat lijken echt net 
B: 	en die hebben dan twee balk die maken een snavel 
A: 	ja dat zijn zeggen maar zijn snavel en dan hebben hij zo'n vleugel naar achter en van die staartvear naar achter 
B: 	ok 
B: 	ja 
A: 	die boog naar achter dus dat zijn echt een superduidelijk vogel 
B: 	ok dat zijn dan I 
A: 	ok 
A: 	en hij zitten in dat kruis in het linksboven vlak 
B: 	ja 
A: 	en dan binnen dat vlak zitten hij eigenlijk op de grens tussen rechtsboven en rechtonder maar dan iets veel rechtsonder 
B: 	ja 
A: 	ongeveer 
B: 	hij zitten sowieso helemaal rechts 
B: 	van het vak vlak 
A: 	ja dus hij zitten in het linksbovenvlak maar dan aan de rechterkant van het linksboven vlak dus richting de middenlijn van verticaal middenlijn van het groot vlak 
B: 	ja 
B: 	en dan in het midden 
A: 	ja 
B: 	van boven onder 
A: 	ja ja maar dan veel veel iets veel onder dan boven zeggen maar 
A: 	denken ik 
A: 	ja ja zullen ik wel zeggen hij zitten wel zeggen maar de middenlijn de horizontaal middenlijn gaan wel er doorheen 
A: 	maar het groot gedeelte ervan zitten dan onder die horizontaal middenlijn 
B: 	je bedoelen de middenlijn van het klein vak 
A: 	ja 
A: 	en dan zitten hij bijna tegen de verticaal middenlijn aan van het groot vak 
B: 	ja 
B: 	ok dan gokken we denken ik op hetzelfde 
A: 	ja 
B: 	dit zijn die vogel 
A: 	ja 
A: 	even kijken waar staan hij dat zijn nummer twee bij mij 
B: 	met twee balk rechts 
B: 	en een vleugel 
A: 	ja 
B: 	en hij zitten in het linksondervak en binnen dat vak 
B: 	ja daar hebben je weer het idee dat je link van hem weer één kunnen leggen en onder hem ook nog één en linksonder ook nog één dat 
A: 	ja 
A: 	ja ja maar wel met veel ruimte dan bij die vorig 
B: 	ja 
A: 	dus iets ver er zullen zeggen maar ja er kunnen er precies één onder en er zullen er dan zeggen maar één en een kwart link van kunnen 
A: 	en dan hebben je echt nog ruimte zitten in die hoek om er nog één te maken 
A: 	denken ik 
A: 	in ieder geval genoeg ruimte om zeggen maar één onder één link en één in de hoek 
B: 	ja 
A: 	ja 
A: 	ja dit zijn die vogel met zijn twee ding en zijn vleugel naar achter 
B: 	ja dat zijn voor mij M 
A: 	ja 
A: 	en hij liggen linksonder en dan weer linksonder en dan zullen er ruimte zijn voor één plaat link van hem maar niet onder hem 
B: 	ja voor mij ook 
B: 	dit zijn de vogel 
A: 	dat zijn nummer negen 
B: 	en hij liggen Linksboven en daarbinnen 
A: 	ja 
B: 	qua hoogte een beetje in het midden en qua links rechts liggen hij rechts 
A: 	jaja ja 
B: 	dus er past er boven nog één 
A: 	ja 
A: 	en link drie of vier 
B: 	ja 
A: 	ja 
A: 	dit zijn die vogel 
B: 	vogel dat zijn voor mij F 
A: 	en hij liggen rechtsonder en dan linksonder en er zullen er 
A: 	onder nog net niet één passen 
B: 	ja dat zijn dan denken ik zelfde plek 
B: 	dit zijn de vogel 
A: 	ja dat zijn nummer zes 
B: 	en hij liggen linksonder en dan helemaal rechtsboven 
A: 	ja ja 
