A: 	die zijn die dat kop die dan hebben dan bovenop een piramide maar die zijn wel afgevlakken 
A: 	en dan hebben die twee van die balk aan de zijkant aan de rechterkant 
A: 	en nog een neus 
A: 	twee van die balkjes waar wel een gaa tussen zitten 
A: 	waar wel één 
B: 	ja zo'n afgevlakt piramide en een klein staart nog 
A: 	ja 
A: 	ja 
B: 	ja dat zijn I mij 
A: 	ja een staart 
A: 	ja 
A: 	I 
A: 	en hij staan hij staat redelijk in het midden maar dan wel wat veel naar boven toe 
A: 	en link van het midden 
B: 	ja 
A: 	oké 
B: 	ja dat kop met dat afgevlakt piramide op kop 
A: 	ja 
B: 	met dat istek aan de zijkant 
A: 	ja 
A: 	ja dat 
A: 	ja nummer twee 
B: 	oké 
B: 	en hij staan vanaf de linkerkant van het scherm ongeveer 
B: 	twintig procent naar die naar rechts 
A: 	ja naar rechts 
B: 	en dan bijna in het midden maar net niet 
B: 	net iets naar onder 
A: 	en echt net iets van het midden af of ? want bij mij staan die denken ik op ook twintig procent van de van de 
B: 	ja of of twintig procent misschien 
A: 	oké dan 
B: 	ja twintig twintig 
A: 	ja 
A: 	dat istek en dat met die afgevlakt piramide 
B: 	yes 
B: 	M 
A: 	en die staan behoorlijk onderaan 
A: 	ongeveer tien denken ik aan de linkerkant ongeveer twintig van de dus wel vrijwel in de hoek 
B: 	ja mij ook 
B: 	met de afgevlakt piramide 
B: 	en dat istek 
A: 	met de 
A: 	nummer negen 
B: 	en dan tien procent van de bovenrand 
B: 	en ongeveer dus naar onder tien procent naar onder 
A: 	ja 
B: 	en dan vanaf het midden midden ongeveer twintig procent naar links 
A: 	ja 
A: 	ja hebben ik ook 
A: 	het isteken en de afgevlakt piramide 
B: 	ja dat zijn F 
A: 	en die staan best wel onderin ongeveer tien procent van onder en ongeveer ook tien procent van het midden 
B: 	tien procent van het midden 
A: 	ja 
B: 	naar rechts toe 
A: 	naar rechts ja sorry 
B: 	ja 
B: 	ik hebben met dat afgevlakt piramide en dat istekentje 
A: 	ja dat zijn nummer zes 
B: 	vanuit het midden midden ongeveer tien procent naar links iets naar onder 
A: 	ja hebben ik ook 
A: 	hoewel ik zullen zeggen dat die echt wel in het midden zitten nog steeds 
B: 	nee bij mij staan die echt niet in het midden 
A: 	nee 
A: 	dan dan gaan ik hem toch wegklikken hij staan echt in het midden 
