B: 	dan kloppen nou 
B: 	dit zijn een kop weer 
B: 	en er zitten een een vierkantje omheen hebben je het kop en dan zitten het vierkantje eromheen er staan twee klein cilindertjes op 
B: 	een soort van Lvormig uitsteeksel 
A: 	ja 
B: 	en een ja nog een cilindervormig uitsteeksel 
A: 	ja oké dan zijn dat nummer zes voor mij 
B: 	nice 
B: 	nou ja en hij staan ja als je het midden hebben staan die het veel staan die rechts van het midden maar nog steeds heel dicht bij het midden 
B: 	bovenin 
A: 	bovenin 
A: 	oké 
B: 	bij jou ook 
A: 	ja bij mij ook 
B: 	oké 
A: 	oké deze hebben twee heel klein cilindert bovenaan staan 
A: 	en één en een vierkant zeggen maar horizontaal dwars door het kop heen 
A: 	en inderdaad aan de linkerkant zitten een zitten een Lvormig ding 
B: 	ja 
B: 	C 
A: 	yes 
A: 	en hij zitten ongeveer in het midden van de rechterkant van het scherm 
A: 	en dan helemaal bovenaan 
B: 	ja bij mij ook 
A: 	oké 
A: 	oké 
B: 	nou dit zijn weer het kop met het Lvormig uitsteeksel en het vierkantje in het midden 
B: 	waar die doorheen gaan die twee cilindervormig uitsteekseltjes 
B: 	die 
A: 	even kijken 
A: 	en die de dat vierkant wat er dwars doorheen gaan zeggen maar 
B: 	ja die ja 
B: 	ja 
A: 	dat zijn dertien 
B: 	en bij mij staan die helemaal in de helemaal Linksboven 
A: 	helemaal linksboven oké bij mij staan die echt in het midden aan de linkerkant dus dat zijn dan niet geel dus rood 
B: 	oké 
B: 	nee 
A: 	danken u 
A: 	oké dit zijn die een met de Lvormig ding aan de zijkant en de en het vierkant er dwars doorheen 
A: 	en die twee cilindert erbovenop 
B: 	oké ja dat zijn J 
A: 	oké 
A: 	en hij staan echt net iets rechts van het midden 
A: 	en ja helemaal onderaan 
B: 	ja bij mij ook 
B: 	het zijn weer die een met het ja met het vierkantje in het midden 
B: 	die die ja die twee cilindert erop en het Lvormig uitsteeksel link 
A: 	yes dat zijn negen 
B: 	mij zitten die best wel rechts 
B: 	iets boven het midden 
A: 	iets boven het midden nee dat kloppen niet 
A: 	bij mij zitten die eronder 
A: 	oké dit zijn de Lvormig linkerkant met de met de vierkant erdoorheen 
B: 	Lvormig 
B: 	ja 
B: 	dat zijn N 
A: 	en hij staan net iets rechts 
A: 	en helemaal bovenaan 
B: 	ja bij mij ook 
