A: 	ja dit zijn met zo ja ik vinden dat op een spijker lijken 
A: 	die zo random in zo'n houtje zijn slaan aan de zijkant 
A: 	en dan hebben die nog zo'n rond hier liggen 
B: 	ja ja 
B: 	ik weten welk het zijn 
A: 	ja 
B: 	ik vinden het een beetje op een vangrail lijken lijken waar die 
A: 	ja 
B: 	ja 
B: 	dat zijn L bij mij 
A: 	en die staan bij mij ja het veel linksonder 
A: 	dus helemaal onderin en dan een beetje in het midden 
B: 	helemaal onderaan 
A: 	ja 
B: 	dan zijn het niet hetzelfde 
B: 	oké dit zijn die met die vangrail en die spijker erin 
A: 	ja 
A: 	ja nummer zeven 
B: 	hij staan heel iets naar links en bijna helemaal boven 
A: 	nee bij mij staan die ergens ander 
A: 	dit zijn die met die spijker 
A: 	en dat rond daarvoor 
B: 	ja C 
A: 	en hij staan rechts van het midden en dan wat omhoog 
B: 	bij mij naar onderen 
B: 	die vangrail met die spijker 
A: 	welk ? die 
B: 	die vangrail met die spijker erin en dan rechts dat dienblad volgens mij 
A: 	ja 
A: 	nummer één 
B: 	en hij staan even kijken redelijk ver naar links bijna helemaal en misschien heel iets naar onderen 
A: 	ja 
A: 	dit zijn die met die rail en die spijker erin 
B: 	ja A 
A: 	en hij staan in het midden ook echt op de middellijn en dan naar links 
B: 	halverwege links 
A: 	ja 
B: 	de vangrail met de spijker en het dienblad 
A: 	ja waar zijn die 
A: 	ja nummer dertien 
B: 	even kijken een klein beetje naar beneden en redelijk ver naar links maar niet helemaal 
A: 	ja bij mij staan die wel helemaal links echt en 
B: 	zeggen maar 
B: 	oké nee dan niet 
