B: 	oké ik hebben dit zeggen als een tafel met een schaalt erop 
A: 	dat hebben ik ook geloven ik zo benoemen 
B: 	een galg ja dat hebben ik wel benoemen 
B: 	met die poot en dan dat vierkant vlak iets aan de bovenkant en dan ja een soort van schaalt 
A: 	ja 
A: 	ja precies alsof dat de het beker hem zeggen maar vasthouden die tafel 
B: 	ja 
A: 	ja ja 
B: 	ja 
A: 	dan zijn het zestien 
B: 	hij staan precies in het midden aan de in je rechterscherm staan die precies in het midden alleen dan 
B: 	ik denken ook wel eigenlijk ongeveer precies in het midden 
A: 	ja dus als je zeggen maar gewoon het rechterscherm hebben 
B: 	ja 
A: 	dan van het heel rechterscherm dus niet van het kwadrant maar het heel rechterscherm in het midden 
B: 	ja 
A: 	ja dan staan die bij mij op een ander plek 
B: 	oké 
A: 	dit zijn diegene met het tafel en de ja soort van de kom erop of de het schaalt erop met een soort van veel piramideachtig schaal 
B: 	ja 
B: 	P 
A: 	en hij staan bij mij eigenlijk rechterhelft van het scherm in het midden 
B: 	ja bij mij ook 
B: 	en dan ja ongeveer precies in het midden 
A: 	ja 
B: 	ja 
B: 	oké zelfde plek 
B: 	dit zijn de tafel met het schaalt erbovenop 
A: 	yes 
B: 	en die staan bij mij helemaal onderaan in het midden 
A: 	wachten even want dat komen dan zo meteen weer ik denken ik zijn even ook weer een stap ver 
A: 	dat zijn nummer veertien 
B: 	sorry sorry 
A: 	en hij staan helemaal in het midden onderaan zeggen je 
B: 	ja 
B: 	ja 
A: 	even kijken en dan van het midden misschien net iets naar links 
B: 	ja 
A: 	ja oké dan hebben ik dezelfde plek 
B: 	oké 
A: 	dit zijn weer met die tafel met dat schaalt erop 
B: 	ja N 
A: 	soort van 
A: 	en die staan bij mij in het Linkerbovenkwadrant 
A: 	en dan een beetje midden onder daarvan 
B: 	staan die tegen de rand van het onderkwadrant aan 
A: 	ja best wel redelijk 
B: 	oké en hoeveel plaat kunnen er links naast denken je 
A: 	ik zullen zeggen iets van anderhalf 
B: 	ja en boven 
A: 	er staan een plaat boven en daar ja om daar dan nog een plaat tussen te opproppen worden een beetje krap dus ook weer een beetje anderhalf zeggen maar 
B: 	anderhalf ja denken ik wel dezelfde plek 
B: 	ja 
B: 	dit zijn de tafel met de het schaalt erbovenop 
A: 	ja 
A: 	even kijken 
A: 	dat zijn tien 
B: 	hij staan bij mij eigenlijk in het midden van het scherm maar dan wat naar boven 
A: 	ja zijn het zijn het het bovenste plaat in het midden 
B: 	nee 
A: 	oké bij mij zijn het wel het bovenste plaat in het midden 
A: 	dit zijn de tafel met het komme erop 
A: 	of schaalt erop 
B: 	ja dat zijn D 
A: 	en die staan bij mij in het rechterbovenkwadrant 
A: 	helemaal naar de rechterkant passen ja een soort van half plaat nog tussen en er staan ook een plaat boven nog 
B: 	nee 
B: 	nee nee nee dat hebben ik niet 
