A: 	ja 
A: 	dan weer met die balonnet en dan één groot er in en één groot aan de zijkant en dan zo'n toren van vierkant aan de rechterkant 
B: 	ja 
B: 	ja zijn E 
A: 	bij mij staan hij rechts helemaal en dan de twee 
B: 	twee rij 
A: 	nee wel in de in de één rij en dan zitten er één boven en dan zijn het twee figuurtje zijn in beetje in het midden 
B: 	nee dan zijn het niet die van mij staan in de twee rij en dan helemaal bovenaan bovenste dus 
A: 	nee nee dan niet 
B: 	deze hebben zegmaar twee van die ballonnet eentjedie boven uitsteekt en één die daar links uit opsteken en rechts hebben hij zo'n blokkentoren 
A: 	en aan de ander kant hebben hij een armp of zo 
B: 	ja 
B: 	ja iets heel geks 
A: 	ja ok elf 
A: 	hu bij mij staan hij net zoals net weetjewel ? niet rechts maar nou de linkerkant en wel boven dus in het midden 
B: 	ja 
B: 	boven en inderdaad nou hebben je er weer zes rechts en dan zo'n blok van vier in het midden eigenlijk en dan zijn het linksboven van die vier ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	deze hebben die twee ballonne één op de bovenkant en één aan de zijkant en dan blokkentorentje 
B: 	aan de rechterkant 
A: 	ja 
B: 	ja J 
A: 	hij zitten in de vijf rij en dan gewoon het één dinge 
B: 	vier rij toch 
A: 	nee bij mij vijf 
B: 	okan ja ja dus die met twee dinget 
A: 	ja 
B: 	o bij mij zijn hij in de vier rij dus daarom denken ik van 
B: 	twee ballonnet er uit één boven één link en dan blokkentorentje rechts 
B: 	en dat gek vormp aan de achterkant 
A: 	ja negen 
A: 	twee rij drie 
B: 	bij mij zijn het de drie rij helemaal de vier dus nee zijn 
A: 	die één die in zijn één staan zegmaar 
B: 	ja die eigenlijk een beetje in zijn één staan maar bij de vier rij hebben tellen 
A: 	nee 
A: 	twee ballonnet één aan de bovenkant één aan de zijkant en dan blokkentorentje aan de zijkant 
B: 	ja B 
B: 	zeven onderaan 
A: 	nee bij mij zes in het midden 
B: 	twee ballonnet één boven één link rechts zitten zo'n blokkentoren 
A: 	blokkentoren vier 
A: 	helemaal Linksboven 
B: 	ja 
