B: 	ok deze lijken alsof er een tafel doorheen zijn maken alleen die tafel hebben maar twee poot 
A: 	ja 
B: 	en erbovenop staan een bak en daar acheraan zitten nog een boog 
A: 	ja 
A: 	jaja 
A: 	ja 
A: 	dat zijn zestien 
B: 	en dan zitten hij als je het weer in vier vak verdelen 
B: 	eigenlijk op de grens van rechtsboven en rechtsonder 
A: 	nee die van mij zitten veel hoog die van mij zitten echt in de van de groot vak in de rechter Bovenhoek 
B: 	ok nee hij zitten wel op de 
A: 	nee ok dan zijn die niet op dezelfde plek 
A: 	ja dit zijn weer met dat ja ik noemen het een een bijzettafel met twee van die voorpot en dat bak 
A: 	er bovenop en dat dinge erachter 
A: 	dat je zeggen maar een tafel hebben die door de beker heen gaan 
A: 	waar alleen twee voorpot opstaan 
B: 	die met dat bak en die spriet 
A: 	ja 
A: 	ja 
B: 	dat zijn voor mij P 
A: 	en hij staan eigenlijk aan de rechterkant tussen 
A: 	rechtsboven en rechtsonder maar dan iets veel rechtsonder 
A: 	en dan ook ongeveer op het midden daarvan 
B: 	ok 
A: 	dus als je zeggen maar gewoon dat groot kruis zullen maken en dan lopen hij eigenlijk op de middenlijn die 
A: 	rechtsboven en rechtsonder weer in twee delen en ook op de middenlijn net iets onder de middenlijn van zeggen maar de groot vak 
B: 	ja 
A: 	ongeveer 
B: 	ja jij zeggen dat hij eerder in rechtsonder zullen zitten dan rechtsboven 
A: 	hij ik denken dat de lijn er zeggen maar zullen er ongeveer doorheen lopen maar het groots zeggen maar 
A: 	tweederde zitten dan in het onderste vak en éénderen in het bovenste 
B: 	o ok dan zijn het denken ik zelfde op dezelfde plek 
A: 	ja 
B: 	dit zijn de tafel met twee poot met een bak er op en dat sprie achterin 
A: 	het bak ja 
A: 	ja dat zijn veertien voor mij 
B: 	en hij liggen 
B: 	linksonder en dan weer rechtsonder maar hij liggen wel echt op de middellijn bijna 
A: 	ja ja en er zijn geen ruimte om er nog iets onder 
B: 	nee 
A: 	te plakken nee dan liggen hij wel op dezelfde plek 
A: 	dit zijn die met die half tafel die er doorheen gaan met die twee poot aan de voorkant en dat komme bovenop 
A: 	en dat slier achterop 
B: 	dat zijn voor mij N 
A: 	en hij liggen Linksboven maar hij tiken eigenlijk de horizontaal middenlijn aan van het groot vak 
A: 	en dan liggen hij ook van de klein vak eigenlijk een beetje in het midden dus er kunnen nog twee link van en twee boven eigenlijk 
B: 	ja dezelfde plek 
B: 	ok 
B: 	dit zijn de tafel met twee poot en een bak 
A: 	dat zijn nummer tien 
B: 	en hij liggen op de verticaal lijn ja iets link 
A: 	ja 
A: 	ja link 
A: 	op de lijn van die q van het beeldscherm 
B: 	ja 
A: 	ja ja 
A: 	en dan kunnen er nog net net wel net niet één boven 
B: 	ja bij mij staan er één boven 
A: 	o echt 
B: 	ja 
B: 	dus als ik zullen zeggen hij staan in Linksboven vak 
A: 	ja nee hij staat niet in het linksboven vak bij mij 
B: 	dan staan hij echt rechtsonder in dat vak 
A: 	jaja nee dat dan nee dan hebben we een ander plek 
B: 	ok 
A: 	dit zijn met dat tafel dat door de kop heen gaan twee voorpoot en een komme er op en dat sprie er achter 
B: 	ja dat zijn voor mij d 
A: 	hij liggen rechtsboven en dan een beetje tegen net iets boven de horizontaal middenlijn hij past denken ik 
A: 	hij past ja hij past niet veel rechts van zichzelf en hij past nog minimaal één keer net geen twee keer boven zichzelf 
B: 	de middenlijn van het groot vak 
B: 	ok 
B: 	hij past bij mij niet boven zichzelf dus dat zijn rood 
A: 	ok 
