B: 	oké 
B: 	dan moeten jij volgens mij net drukken 
A: 	nee jij moeten wel drukken van de plek 
B: 	oké 
B: 	oké oké ik hebben weer het vierkant nu 
A: 	ja 
B: 	ja 
B: 	nou het zijn dus er zitten een vierkant in het midden 
B: 	ik weten niet horizontaal 
A: 	ja 
B: 	en aan de voorkant zitten er zo'n dik cilinder hebben ik het noemen 
A: 	een soort slurf zeggen maar 
B: 	ja ja 
A: 	ja ja 
B: 	bovenop twee van die dinget 
A: 	ja ik hebben hem 
B: 	oké tof 
A: 	ja 
A: 	dan zijn dat zes 
A: 	oké en waar staan die 
B: 	hij staan bovenaan aan de pagina en dan als je de middel lijn hebben 
A: 	ja 
B: 	dan net iets naar rechts 
A: 	ja daar staan die bij mij ook 
B: 	daar zijn 
B: 	daar staan die 
A: 	en even kijken van van te opzicht van ander plaat ik hebben er bij mij staan er bijvoorbeeld rechtsonder van ons plaat staan nog een plaat 
B: 	ja 
A: 	welk zijn dat bij jou 
B: 	ja volgens mij weer die propeller met zo'n één zo en één aan die kant ja ik noemen het hebben het een ovaal ovaalvormig cilinder noemen 
A: 	ja 
B: 	en dan aan de rechterkant van dat plaat zitten dus een klein vierkantje groot vierkantje nog een groot vierkantje 
B: 	dat steken uit 
B: 	die zitten bij mij rechtsonder het plaat 
A: 	ja die zeggen maar met een soort van verdraaien steel daaronder 
B: 	ja 
B: 	nee niet eronder 
A: 	ja of 
A: 	nee of zeggen maar dat in dat ach het zijn een beetje lastig natuurlijk 
A: 	ja zeggen maar van als je ons plaat hebben 
A: 	ik hebben daar rechts direct rechts daaronder hebben ik een ja ik hebben die zelf een tulp noemen 
A: 	één omdat het een zeggen maar een soort van bak zijn op een soort van verdraaien steel 
B: 	oké nee dat hebben ik niet 
A: 	die hebben je daar niet zitten 
B: 	ik hebben die er wel zitten maar er zitten nog een plaat tussen 
A: 	ah ja dan zullen die wel weer niet op dezelfde plek staan 
A: 	denken ik 
B: 	ja dat weten ik niet want op zich hij kunnen wel op dezelfde plek staan alleen hebben ik er nog twee plaat naast en jij maar één 
A: 	ja 
A: 	ja nou op zich zeggen maar hij staan dan die staan er direct rechtsonder en dan nog één rechts naast 
B: 	ja 
B: 	dat hebben ik ook alleen dan ander plaat 
A: 	ja 
A: 	ja en dan misschien kunnen het dan alsnog wel 
B: 	dezelfde plek 
A: 	maar het zijn wel echt ons plaat zijn zeggen maar de veel bovenste toch ? helemaal boven 
B: 	ja 
A: 	en dan er kunnen dus twee plaat rechts naast 
B: 	ja 
A: 	ja dan zullen ik wel zeggen dat het op dezelfde plek zijn 
A: 	dit zijn dat ding met soort van twee voelsprietjes op zijn hoofd en dan een soort van een plank die hem doorboort 
A: 	en een soort slurf aan de voorkant 
B: 	even zoeken 
B: 	ja ja ja dat zijn C 
A: 	en hij staan bij mij helemaal bovenaan 
A: 	en dan in het rechterbovenkwadrant een beetje in het midden 
B: 	ja maar wel helemaal bovenaan 
A: 	ja het zijn het hoog plaat zeggen maar 
B: 	past ook niks veel tussen 
A: 	nee 
B: 	nee nee nee kloppen dan hebben we zelfde plek 
B: 	dit zijn de met een vierkant doormidden snijden met de slurf 
B: 	bovenop twee van die 
A: 	ja soort voelspriet achtig iets en een soort haak aan de linkerkant 
B: 	ja 
B: 	ja 
A: 	ja dertien 
B: 	en die staan bij mij het enig plaat helemaal links bovenin 
B: 	er kunnen dus hij staan in het Linkerbovenkwadrant ongeveer helemaal Linksboven kunnen geen plaat veel rechts naast ook niet boven naast 
A: 	ik hebben een ander plek 
B: 	oké 
A: 	dit zijn de soort van plank erdoorheen en de slurf en twee voelsprieten bovenop 
B: 	ja ja J 
A: 	en bij mij staan die best wel in het midden van het scherm 
A: 	wel helemaal onderaan 
A: 	en iets naar rechts 
B: 	iets naar rechts ja hebben ik hetzelfde 
B: 	dit zijn de met het plateau doormidden 
B: 	met de slurf dus twee voelsprietjes bovenop 
A: 	yes dat zijn negen 
B: 	en bij mij staan die in het rechterbovenkwadrant alleen dan wat naar onder en naar rechts boven zullen er nog wel past er zeker een plaat tussen en rechts eigenlijk 
B: 	niet veel 
A: 	nee 
A: 	bij mij passen er zeggen maar iets van zeker twee plaat boven nog 
A: 	maar dat hebben jij niet 
B: 	ik hebben anderhalf denken ik 
A: 	echt 
A: 	ja en ik hebben echt wel ruim twee zeggen maar 
B: 	nee nee nee 
A: 	dus dan zijn dat anders 
B: 	ander 
A: 	dit zijn de de doorboring met het soort van de plank en de slurf en de voelsprieten bovenop 
B: 	ja dat zijn N 
A: 	en die staan bij mij best wel heel erg in het midden maar dan wel helemaal bovenaan 
A: 	er pasn ja geen half plaat veel boven helemaal passen niks boven en hij staan ver gewoon heel erg in het midden 
B: 	ja en zullen je dan rechter of linkerbovenkwadrant zeggen 
A: 	ja net iets veel rechterbovenkwadrant 
B: 	ja zelfde 
