A: 	ja het zijn een beker en dan aan de ja voorkant beetje zijkant zitten dan zo'n vierkant wat steeds 
A: 	groot worden naarmate die verdergaan 
A: 	en bovenop zo'n ja ovaal pluim en aan de zijkant ook en daarachter zitten nog één ja een een rond staaf 
B: 	ja 
B: 	en dat vierkant ding zitten aan de rechterkant toch 
A: 	ja ja 
B: 	oké 
B: 	dat zijn bij mij E 
A: 	ja hij staan best wel ja rechts 
A: 	veel rechterbaan en wel in het midden ongeveer best wel in het midden 
A: 	net iets boven het midden maar 
B: 	staan die bij bij jou helemaal rechts 
A: 	ja 
B: 	oké bij mij staan die veel op de helft van het rechterdeel zeggen maar 
A: 	ja hij staan wel ja veel rechts dan de helft 
B: 	ja 
B: 	nee dat zijn bij mij niet 
A: 	oké 
B: 	ik hebben zo'n stuk tot de rechterrand van het scherm 
A: 	nee zo'n stukkie 
B: 	dan zijn het sowieso niet hetzelfde 
A: 	nee 
B: 	oké 
B: 	deze hebben zo'n rond pluim aan de bovenkant 
B: 	en dan dezelfde maar dan links van het kop 
B: 	en dan daarachter een soort van staart en dan aan de rechtervoorkant die kubus die zo steeds klein worden naar het kop toe 
A: 	ja ja 
A: 	dat zijn elf 
B: 	bij mij staan die net links van het midden 
B: 	en 
B: 	ja iets boven iets boven die horizontaal middenlijn 
A: 	ja 
A: 	ja bij mij ook 
B: 	oké 
A: 	ja ik denken dat het zelfde zijn 
A: 	ja dit zijn die met het het krimpen vierkant aan de rechterkant 
A: 	de pluim aan de bovenkant en aan de linkerkant en achter dat rond staart 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
A: 	hij staan het midden van de rechterhelft 
A: 	en dan ja best wel ongeveer op de middellijn 
B: 	bij mij staan die bijna in het midden 
A: 	dit het midden midden 
B: 	net 
B: 	ja net rechts van het midden 
A: 	nee bij mij staan die wel een stuk ver naar rechts denken ik 
B: 	oké 
B: 	dan zijn het niet hetzelfde 
B: 	dit zijn die met dat kubusje die klein worden aan de rechterkant 
B: 	en dan bovenop ja pluim kegelding en link ook en daarachter nog een staart 
A: 	ja 
A: 	ja dat zijn negen 
B: 	hij staan ja soort van rechter onderste hoek maar dan wel met best wel groot stuk eronder en rechts ervan 
A: 	bij mij staan die wel laten maar zeggen zo'n stuk 
A: 	best wel in het midden 
A: 	dus ik denken niet dat het zelfde zijn 
B: 	ja bij mij staan die wel bijna in het midden 
B: 	van 
A: 	nee maar bij mij staan die ook op de middellijn van boven naar beneden 
B: 	bij mij eronder 
A: 	nee bij mij in het midden en 
B: 	nee 
A: 	dit zijn die met dat aan de rechterkant dat groot klein worden vierkant 
A: 	en die twee pluiem boven en links en dan dat ander flubber 
B: 	ja 
B: 	ja 
B: 	dat zijn B 
A: 	hij staan rechterhelft best wel op het midden van de rechterhelft 
B: 	bij mij niet 
B: 	bij mij staan die bijna tegen de rechterrand aan 
A: 	nee zo ver staat die niet 
B: 	oké niet hetzelfde 
B: 	dat zijn die met die pluimpjes boven en link 
B: 	en dan kubus die klein worden er rechts 
A: 	ja 
A: 	ja en het staart 
B: 	ja 
A: 	dat zijn vier 
B: 	staan links bovenin 
B: 	maar wel met zo'n ruimte Erboven en er link van 
A: 	maar wel de veel linksbovenste 
B: 	ja 
A: 	ja 
A: 	ja bij mij zijn dat ook wel 
