B: 	geel knop 
B: 	ik weten niet zo goed wat dit zijn 
B: 	dit zijn de weinig uitbundig vorm maar hij hebben een balk plat erop liggen 
A: 	en zo'n schuin dak 
B: 	ja dat denken ik wel ja 
A: 	aan de zijkant zo'n soort van 
A: 	ja 
A: 	nummer acht 
B: 	hij zitten bij mij een beetje in het midden 
A: 	ja 
B: 	maar een beetje link van het midden zeggen maar als je een kruis erin zullen doen dan zitten hij net op dat 
A: 	en een beetje boven 
B: 	ja 
A: 	klein beetje misschien ? nou ja oké inderdaad dan zitten die op dezelfde plek 
A: 	dit zijn degeen die eigenlijk nergens op lijken met die balk aan de bovenkant 
B: 	waar zijn dat kreng ? ja E 
A: 	en zo'n schuin dak 
A: 	en die zijn van dat vierkantje rechts onderin 
B: 	nee bij mij rechtsboven 
A: 	oké 
A: 	ja wachten ik hoeven niet te drukken 
B: 	het zijn die een beetje nietszeggen met die balk erbovenop 
A: 	ja 
A: 	één 
B: 	en bij mij zitten die bij die slinger van acht in het midden en dan de boven 
A: 	zijn het zeggen maar als je die slinger zo hebben zijn het dan één van die middel twee of één van die bovenste twee 
B: 	bovenste denken ik 
B: 	je hebben zeggen maar zo vier en dan hebben je er nog drie en het zijn die bovenste van die vier 
B: 	of misschien voor jou 
A: 	ik hebben er zeggen maar vier en vier 
A: 	zo 
B: 	je bekijken hem zo nee dan zijn het de boven 
A: 	shit dan hopen ik dat we het goed hebben kijken altijd maar 
B: 	dan zijn het de bovenste en dan het veel naar het midden 
A: 	oké 
A: 	oké dus ja het veel rechtsboven van de bovenste slinger 
B: 	ja 
A: 	oké nummer ja dan zitten die op dezelfde plek 
A: 	dit zijn diegene nikszeggen met die balk bovenop 
B: 	waar zijn die 
B: 	E 
A: 	en dit zijn bij mij de drie rij en dan de twee 
B: 	ja 
B: 	het zijn die met die balk erbovenop die een beetje nietszeggen 
A: 	ja 
A: 	ja zestien 
B: 	en dan hebben je er drie onder 
B: 	en daar zijn het de mee rechts veel rechts van 
A: 	ja 
A: 	ja de alleronder die heel dicht drie bij elkaar zitten en dan daar de ja 
B: 	ja 
A: 	dit zijn die nikszeggen met die balk bovenop 
B: 	waar zijn die balk 
B: 	ja vinden O 
A: 	helemaal links onderin 
