B: 	ah ik vinden het een cocktailglas 
A: 	ik 
B: 	weten je welk ik bedoelen 
A: 	ik ik ik denken aan een wijnglas volgens mij 
B: 	kunnen ook 
A: 	ja 
B: 	ja 
A: 	vier 
B: 	en die staan bij mij helemaal rechtsboven in de hoek 
A: 	bij mij staan die wel rechts maar niet in een hoek 
A: 	dus dat zullen dan niet dezelfde zijn 
B: 	nee 
A: 	dit zijn weer het wijnglas 
B: 	A 
B: 	bij mij helemaal links en ongeveer iets net net iets boven het midden 
A: 	bij mij links een beetje in het centrum van het plaat 
B: 	qua hoogte of 
A: 	qua alles eigenlijk 
B: 	oké dan zijn het een ander plek 
B: 	het wijnglas 
A: 	het wijnglas yes 
A: 	dat zijn tien 
B: 	in de linkerhelft ongeveer het midden helemaal onderaan 
A: 	ja 
A: 	dit zijn het wijnglas 
A: 	of de cocktail 
B: 	waar staan die 
B: 	ja L 
B: 	helemaal rechtsboven in de hoek 
A: 	rechtsbof in de hoek inderdaad 
A: 	ja 
B: 	het wijnglas 
A: 	het wijnglas 
A: 	hupakkee 
A: 	vier 
B: 	en die zitten bij mij net iets link van het midden net iets onder ja ongeveer het midden 
A: 	ja ja ik denken dat we hetzelfde hebben 
A: 	wijnglas 
B: 	ja F 
A: 	zitten redelijk in het midden 
A: 	of in ieder geval dicht bij de scheidslijn maar hij zitten iets veel naar rechts toe en misschien een heel klein beetje naar boven 
B: 	oké 
B: 	nee dat zijn een ander 
