A: 	dit zijn vinden ik het veel ingewikkeld plaat om te omschrijven maar ik gaan mijn best doen 
A: 	boven op het kop staan een een soort piramide met een spits punt 
A: 	en dan aan de linkerkant zijn een uitsteeksel een beetje in de vorm van een soort oordopje met een vast 
B: 	ja 
B: 	ik weten al welk het zijn het zijn J 
A: 	oké 
B: 	een soort tovenaar vinden ik het 
A: 	ja 
A: 	en hij staan bij mij rechts van het midden 
A: 	ongeveer laten we zeggen op één drie van het scherm vanaf de rechterkant 
A: 	en hij staan bijna helemaal tegen de onderkant aan er zijn echt geen ruimte voor nog een plaat aan de onderkant 
A: 	en aan de rechterkant zullen denken ik nog anderhalf plaat passen 
B: 	ja dat zijn echt precies hoe die bij mij staan ook 
B: 	oké dit zijn de tovenaar zeggen maar met de kroon en dan heel misvormd neus en zo'n raar dinge aan de linkerkant 
A: 	ja 
A: 	nummer zes 
B: 	en hij staan als je helemaal rechtsonder in de hoek pakken dan diagonaal links één omhoog 
B: 	als je dat voor kunnen stellen 
A: 	ja 
A: 	dus er past nog één plaat onder en een plaat rechts van 
B: 	precies 
B: 	ja 
A: 	ja dan staan die op dezelfde plek 
A: 	dit zijn de tovenaar 
A: 	met zijn gek neus 
B: 	E 
A: 	en hij staan net hij staan vanaf onder ongeveer op een drie 
A: 	dus net iets onder het midden zeggen maar en ook net iets rechts van het midden 
A: 	daaronder zullen nog denken ik anderhalf plaat passen en aan de rechterkant nog drie drie en een half 
A: 	totdat je bij de zijkant zijn 
B: 	dus hij zijn niet een kwart vanaf rechts 
A: 	nee nee zeker niet 
B: 	oké 
B: 	de tovenaar 
B: 	met de misvormd neus en het hoed 
A: 	tien 
B: 	hij staan bijna helemaal onderaan 
B: 	en er passen één anderhalf plaat link van nog 
A: 	ja 
B: 	en er zitten nog maar klein klein stuk ruimte onder 
A: 	oké 
A: 	bij mij zijn er veel plek aan de linkerkant dus het zijn hem 
A: 	dit zijn de tovenaar 
B: 	dat zijn G 
A: 	en hij staan bij mij helemaal linksboven in de hoek 
A: 	er zullen nog ruimte zijn aan beide kant voor ongeveer een half figuurt denken ik 
B: 	ja 
B: 	dit zijn de tovenaar 
A: 	tien 
B: 	en hij staan een kwart van rechts 
B: 	en een half plaat onder het midden 
A: 	ja zelfde plek 
