B: 	deze omschrijven ik als kop met twee lepel 
B: 	ja er zitten twee dinge in twee verschillend dinge met een bolle aan de voorkant 
A: 	ja 
A: 	ja één zijn veel een soort van fancy en de ander zijn veel een rechthoek of zo 
B: 	ja 
B: 	ja 
B: 	en er zitten nog een bolle aan de voorkant ja 
A: 	ja 
A: 	ik hebben hem als dik neus 
B: 	ja ja 
A: 	ja 
B: 	en dan nog aan de ander kant nog zo'n raar 
A: 	en dan zitten komen er een soort van driehoek staaf uit zijn oor of zo 
B: 	ja die 
B: 	ja 
A: 	ja dat zijn bij mij veertien 
B: 	hij staan bij mij het zijn misschien handig om hem zo te omschrijven in het rechtsonder deel 
A: 	kwadrant 
B: 	ja 
A: 	ja 
B: 	ik weten niet of die daar bij jou ook staan anders moeten ik hem ver uitleggen 
A: 	zullen nog net kunnen ja ja rechtsonderkwadrant 
B: 	ja hij staan eigenlijk precies op die hoek maar dan nog wel iets naar beneden 
A: 	ik zullen ja wel wel ja wel iets uit de hoek gewoon zeggen maar niet alleen naar beneden maar ook een klein beetje veel van het midden af 
B: 	klein beetje maar niet heel veel er past niet nog één tussen bij BenQ zeggen maar 
A: 	ja 
A: 	maar hij zitten ook niet tegen de lijn aan 
B: 	nee hij zitten niet tegen de lijn aan er kunnen nog een klein stuk tussen 
A: 	dus er zullen weer ongeveer weer een half tussen passen of zo 
B: 	ja 
B: 	ja 
A: 	ja en aan de tussen de middellijn zullen er ongeveer ook denken ik misschien een half tussen 
B: 	driekwart of zo 
A: 	ja 
B: 	ja 
A: 	ja dan denken ik dat die op dezelfde plek staan 
B: 	oké 
A: 	zelfde plek geel 
A: 	bij mij zijn dit die een waarvan we hebben zeggen die heel dik neus met die twee soort alsof er twee dinge in staan een soort van fancy ding en dan met dat driehoekig punt wat eruit komen 
B: 	ja 
B: 	en aan de zijkant nog ja 
B: 	dat zijn N 
A: 	ja 
A: 	staan bij mij linksbovenkwadrant 
B: 	nee staan die bij alhoewel ja 
A: 	ja jawel echt linksbovenkwadrant duidelijk 
B: 	nee dit zijn dit zijn zeker niet duidelijk 
A: 	nee dit zijn wel duidelijk 
B: 	dit zijn die een met die twee lepelt één fancy en een groot neus en dan aan de zijkant zo'n half driehoek 
A: 	ja 
A: 	nummer negen 
B: 	Linksboven 
A: 	ja 
B: 	in het kwadrant wel tegen de onderlijn aan 
B: 	en er kunnen er 
A: 	nee nee bij mij zitten die echt helemaal bovenin zeggen maar 
A: 	dit zijn die een met die groot neus en die twee één fancy lepel en één weinig fancy lepel wat erin opsteken 
B: 	ja 
B: 	G 
A: 	hij zitten bij mij in het linksonderkwadrant tegen de middellijn aan 
B: 	ja 
A: 	en iets onder de middellijn van het kwadrant zeggen maar 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dit zijn die een met die neus en die twee twee lepelt één fancy en één niet 
A: 	ja nummer vijf 
B: 	staan bij mij in het rechtsbovenkwadrant kunnen er nog één link van en een half eronder denken ik 
B: 	iets veel nog 
A: 	nee bij mij kunnen er juist één nog maar rechts van 
B: 	nee nee nee 
A: 	dit zijn die een met de dik neus en die twee fancy lepel of de een fancy lepel en de ander 
B: 	ja 
B: 	ja 
B: 	J 
A: 	rechtsbovenkwadrant 
B: 	ja 
A: 	en dan ongeveer net iets boven het midden 
B: 	en ongeveer op de middellijn maar dan iets zo 
A: 	nee nee nee van het kwadrant het midden van het kwadrant 
B: 	net iets dus veel in de hoek 
A: 	net iets boven als je het rechtsbovenkwadrant hebben 
B: 	ja 
A: 	daar pak je het midden van 
A: 	zitten die net iets boven het het midden van 
B: 	nee nee nee hij zitten zeggen maar echt tegen die lijn bij mij aan 
A: 	nee nee nee nee 
