A: 	oké dus dat bakkie weer 
A: 	bovenop zitten een soort piramide puntig dinge 
A: 	die staan een beetje aan de achterkant het lijken alsof die hol zijn er zitten schaduw in zeggen maar 
A: 	aan de voorkant zitten een veel vierkantig uittulpsel 
B: 	ja ik denken dat ik hem hebben en aan de linkerkant zitten een punt erin 
A: 	ja zo'n dartpijl 
B: 	ja 
B: 	oké 
B: 	letter J 
A: 	oké hij staan bij mij rechtsonder 
A: 	maar dan zeggen maar van de ruimte van wat rechtsonder zijn in het midden en dan wel onderaan 
B: 	ja en er staan niks rechts veel van hem en niks onder veel van hem 
A: 	nee 
A: 	nee 
B: 	oké 
B: 	het zijn een bak 
B: 	hij krijgen een kogel 
B: 	en hij hebben een punt op zijn hoofd een best wel scherp soort van piramide 
B: 	en het bak lijken hol 
A: 	ja 
B: 	link krijgen die dus een kogel echt een pijl 
A: 	ja ja 
B: 	een best wel intens 
A: 	ja 
A: 	nummer zes 
B: 	hij staan rechts van het midden en onder het midden 
B: 	maar er vaststaan nog wel iets onder en er zitten een beetje afstand van de rand 
A: 	ja als zeggen maar dit het blok rechtsonder zijn dan staan die voor mijn gevoel best wel in het midden 
A: 	want ik hebben er dus ook nog wel daaronder nog figuurt staan 
B: 	nee ik vinden dat die best wel naar rechts staan bij mij 
B: 	maar misschien interpreteren je dat ander 
B: 	bij mij staan die zo'n stuk van de rand af 
A: 	ja ik ook ongeveer 
A: 	dit zijn de zijkant en dit zijn de onderrand ongeveer 
B: 	ja zijn ja bij mij zijn dat denken ik hetzelfde ongeveer vergelijkbaar 
A: 	oké dan doen ik hem wel hetzelfde 
B: 	denken het ook 
A: 	dit zijn die een met dat piramidedinge op de bovenkant die een beetje hol lijken 
A: 	en dat die zo dat pijltje aan de zijkant steken krijgen 
B: 	ja 
B: 	letter E 
A: 	en hij staan als je precies het midden hebben van het scherm 
A: 	voor mij dus ja iets naar rechtsonder dus zeggen maar hier 
B: 	bij mij staan die echt flink naar rechts 
B: 	hij staan nog zeggen maar als je de rechterkant hebben nog rechts van van het midden van de rechterkant 
A: 	nee dan zijn het wel echt ander plek 
B: 	hij worden raken door een kogel en er komen een piramide uit zijn hoofd 
A: 	ja 
A: 	nummer tien 
B: 	hij staan links van het midden 
B: 	maar er zitten nog redelijk groot hij staan ongeveer heel klein beetje link van het midden van de linkerkant 
B: 	en hij staan bijna helemaal onder 
B: 	hij staan in 
A: 	ik hebben hem ook bijna helemaal onder maar ik hebben hem iets veel rechts van het midden van de linkerkant 
B: 	oké 
A: 	denken ik 
A: 	want ik hebben er nog een figuur naast en die staan nog een heel stuk van de rand af zeggen maar dus voor mij staan die best wel links 
A: 	of naar rechts toe 
B: 	ik begrijpen niet wat je zeggen 
A: 	je je hebben je hebben de de de de Linkeronderkant 
A: 	en dan zeggen maar wat ik inzien vanaf voor jou zien staan die zeggen maar hier 
B: 	ja 
B: 	ik snapn het nog steeds niet 
B: 	zullen ik nog een keer proberen 
A: 	ja zijn goed 
B: 	oké 
B: 	het midden hebben je en dan hebben je het midden van de linkerkant 
B: 	en dan staan die dat zijn voor jou dus hier dus oké dit zijn het midden dit zijn het midden van de linkerkant 
B: 	dan staan die hier 
A: 	nee ik hebben hem dus net aan de ander kant daarvan 
B: 	daar 
B: 	dus je hebben hem daar 
A: 	ja 
B: 	oké 
B: 	duidelijk 
A: 	dit zijn die raar met dat pijltje wat zo in de zijkant steken en dat driehoek erbovenop 
B: 	de kogel 
A: 	ja 
B: 	ik moeten hem even zoeken G met de driehoek erbovenop 
A: 	en zo'n 
A: 	ja 
B: 	letter G 
A: 	en ik hebben hem helemaal linksboven staan maar nog wel van de rand af zeggen maar 
B: 	ja bij mij ook 
A: 	iets 
A: 	staan ver ook niks veel omheen 
B: 	nee hij zijn best wel alone alleen daar 
A: 	ja 
B: 	ja 
B: 	hij krijgen een kogel en hij hebben een hoed op dat op een piramide lijken 
A: 	yes 
A: 	nummer tien 
B: 	hij staan net iets onder het midden 
B: 	en ongeveer op vijfenzeventig procent van links en rechts 
A: 	ja hebben ik ook wel 
