A: 	ik hebben er nu één met zo'n soort staaf met twee bollet aan de zijkant erdoorheen 
B: 	ja 
A: 	en ja het lijken een soort zon ja een soort scherm of zo erachter of ik weten niet hoe je dat zien maar zo'n soort plaat erachter met een 
B: 	denken ik 
B: 	ja een plaat en dan daar daar steken ook nog iets uit zeggen maar 
A: 	ja 
B: 	oké dat zijn dan bij mij dan zijn dat K 
A: 	bij mij staan die helemaal linksboven 
B: 	ja bij mij zijn het ook helemaal degeen Linksboven alleen er kunnen daarboven en daarnaast zijn nog best wel wat ruimte 
A: 	ja 
A: 	hij staan zeggen maar in dezelfde verhouding ja ook ongeveer ja op de hoogte van het scherm zijn ongeveer ja 
A: 	ja op drie ja zeggen maar op één vier zeggen maar de hoogte en diezelfde afstand kunnen ook nog links naast bij mij 
B: 	ja dan staan die denken ik op dezelfde plek 
A: 	oké 
B: 	ik hebben nou weer die een met dan hebben je die twee uitsteeksel zeggen maar met een bolle erop weer 
B: 	en dan de achterkant hebben je weer ja wat jij net noemen een zonnescherm zeggen maar of een zonnepaneel zeggen maar 
A: 	ja 
A: 	en die uitsteeksel met zo'n bolle aan de zijkant ja 
B: 	met nog 
B: 	ja 
A: 	negen zijn dat bij mij 
B: 	en bij mij staan die qua hoogte ongeveer op één vier 
B: 	of ongeveer ja één drie één vier 
A: 	ja 
B: 	er kunnen nog een plaat boven en dan zeggen maar ook weer aan de rechterkant en dan zullen er ook weer een plaat naast kunnen nog wel 
A: 	ja 
A: 	ja dat hebben ik ook inderdaad een plaat kunnen er nog rechts ernaast en een plaat nog Erboven of zoiets 
B: 	ja 
A: 	oké 
A: 	ja dan staan hij wel op dezelfde plek 
A: 	dit zijn met twee van die staf naar buiten en die bollet erop en een soort zonnescherm noemen ik het net 
B: 	oké ja dat zijn bij mij zijn dat F 
A: 	erachter 
A: 	bij mij staan die op ja wel op de middellijn je zullen het net iets eronder kunnen schatten ongeveer op één vier aan de linkerkant 
B: 	nee bij mij staan die net boven de middellijn dus dat zijn dan niet dezelfde plek 
B: 	nou hebben we weer die een met die zeggen maar dat die zonnepaneel en dan die twee uitsteeksel met die bollet aan de aan de uiteinde 
A: 	ja even kijken ik weten welk je bedoelen daar 
A: 	waar zitten die ? ja 
A: 	even kijken nummer drie zijn dat bij mij 
B: 	en bij mij liggen die ja eigenlijk helemaal onderin zeggen maar en dan aan de ongeveer op één drie aan de linkerkant 
A: 	ja bij mij zullen er nog één plaat naast kunnen veel niet 
B: 	nou bij mij kunnen er er zitten sowieso nog een plaat ernaast en er zullen wel nog een plaat naast kunnen dus 
A: 	nee dan zitten die waarschijnlijk omgeruild met het plaat daarnaast 
A: 	zitten die niet op dezelfde plek 
A: 	ik hebben nu die een met die met dat zonnescherm erachter noemen ik net en die twee uitstekend ding met die bollet eraan 
B: 	ja 
A: 	staan bij mij ongeveer in het midden 
B: 	ja bij mij zijn dat L 
A: 	en bij mij staan die net rechts van het midden en wel echt op de middellijn 
B: 	nee dan staan die niet op dezelfde plek bij mij staan die ver naar onderen ook 
A: 	heel iets eronder misschien 
B: 	weer met dat zonnescherm zeggen maar en dan die twee uitstekend arm met die bollet 
A: 	ja ik zijn even aan het zoeken 
A: 	waar waar ? daar 
A: 	ja 
A: 	een beetje ja 
A: 	vijf zijn het sorry zijn ik vergeten te zeggen 
A: 	maar het zijn nummer vijf sorry 
B: 	en 
A: 	er vallen iets 
B: 	bij mij staan die ja ongeveer echt wel op het midden zeggen maar en dan dan zullen daaronder nog wel een plaat passen 
A: 	ja 
A: 	ja echt op de middellijn wel en dan net iets link en ongeveer op ja aan de onderkant op drie vier ongeveer van het scherm dan toch 
B: 	ja op de onderkant kunnen nog wel krap een plaat zeggen maar 
A: 	ja 
A: 	op dezelfde plek 
