B: 	oké de bal aan de voorkant 
B: 	je hebben je hebben er twee afbeelding van 
A: 	ja 
B: 	de één daar gaan een staaf doorheen met dat cirkel eraan 
B: 	en de ander zitten gewoon aan de voorkant 
A: 	zijn het die 
B: 	en daarbovenop zitten een soort kegel en een kubus 
A: 	ja 
B: 	dat zijn hem 
A: 	ja veertien 
B: 	hij zitten in de buurt van het midden van het scherm 
B: 	maar daar iets rechts van 
B: 	en heel iets dus als je precies het midden van het scherm hebben 
B: 	rechtsonder 
B: 	één stap rechtsonder 
A: 	één stap rechtsonder 
B: 	dus één plaat ongeveer verschuif je naar rechtsonder 
A: 	oké en zitten zijn het er zitten er ook een plaat naast met 
B: 	ja 
A: 	met een met een balk erdoorheen 
A: 	en een rond erachter 
A: 	plat rond erachter en een uitsteeksel eruit 
B: 	ja 
A: 	oké ja 
A: 	dat zijn dan veertien 
A: 	er zitten een bal voorop 
A: 	er zitten geen balk doorheen 
A: 	daar zijn er ook maar één van 
B: 	oké 
B: 	dat zijn N 
A: 	en hij zitten helemaal links 
A: 	niet links helemaal boven in de hoek maar net onder de hoek eigenlijk 
B: 	maar hij zitten wel helemaal tegen de kant aan 
A: 	tegen 
A: 	bijna tegen de kant aan ja 
B: 	nou die bij mij niet 
A: 	ja 
A: 	my god oké jij zijn 
B: 	er zitten een bal aan de voorkant 
B: 	dat zijn er maar één 
A: 	zitten er zitten er niet doorheen 
B: 	hij worden gebeuren niks mee ver 
A: 	oké ja 
B: 	zitten er gewoon 
A: 	dat zijn negen 
B: 	hij zitten aan de linkerkant van het scherm 
A: 	ja 
B: 	ik weten niet of jij je koptelefoon aan dezelfde kant hebben hangen 
A: 	ja 
B: 	hebben jij hem aan die kant hangen 
A: 	en ik hebben deze kant hangen 
B: 	er zitten er zitten een houder aan dit scherm 
B: 	namelijk 
A: 	ja 
B: 	hebben jij die ook 
A: 	ja ik hebben een houder 
B: 	hij zitten precies op de hoogte van de houder 
A: 	nee bij mij zijn die fout 
A: 	goed 
B: 	maar dit zijn waarschijnlijk een slecht aanwijzing want hij hebben waarschijnlijk overal kunnen zitten 
B: 	ik afvragen me af hoe precies het allemaal gaan zeggen maar of dat het echt heel lomp fout doen worden 
A: 	ja 
A: 	ja want ik denken eerst dat dat dat dat het de plaat eromheen ook iets mee elkaar te maken hebben maar uiteindelijk blijken dat niet zo misschien 
A: 	een bal ervoor 
A: 	met twee uitstekel erin en één aan de zijkant 
A: 	gewoon een heel bal 
B: 	het zullen kunnen er zullen of zullen we dat zullen we moeten beschrijven aan de hand van dinge ernaast 
A: 	ja het zullen wel het handigst zijn denken ik 
A: 	maar weer veel werk zijn 
B: 	ja maar misschien zitten die met zijn twee wel ergens ander 
B: 	oké hoe zitten die eruit 
B: 	we gaan het bij deze wel even proberen 
A: 	hij zitten de mijne die die die degeen die waar een rood vak omheen zitten zijn een bal voor 
B: 	ja 
A: 	en die gewoon één bal 
B: 	en een kegel op 
A: 	maar één van 
A: 	ja een kegel en een drie vierkant rechthoek in zitten er 
B: 	ja en er staan er ook nog één op 
A: 	ja 
B: 	oké 
B: 	waar staan die naast 
A: 	hij staan naast de lampenkap met de balk erop 
B: 	ja 
B: 	best wel een stuk 
A: 	best wel een stuk en er staan ook iets boven met een paddenstoel staan er wat staan er best wel vlak boven 
B: 	ja 
A: 	en daaronder zitten ook nog de slurf met de plaat erdoorheen 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	en hoeveel hoeveel keer zullen die daaronder kunnen 
A: 	ik weten niet 
A: 	ik goken misschien twee en een half keer 
B: 	nou dan denken ik dat zijn ook wel een mooi manier om het uit te aanleggen ja 
B: 	even kijken 
A: 	wat wat zijn nu ook alweer de bedoeling 
B: 	we hebben nu gelijk twee vraag beantwoord 
A: 	ja 
A: 	ja 
B: 	ik hebben net ding helemaal niet benoemen G 
B: 	er zitten een bol aan de voorkant 
B: 	niks erdoorheen 
B: 	er zijn er maar één van 
A: 	ja 
A: 	dat zijn vijf 
B: 	hij zitten naast het figuurt waar de bol op liggen 
A: 	ja 
B: 	maar daar wel iets hoog van 
A: 	ja 
B: 	en links daaronder zitten die met de paddenstoel 
A: 	link eronder 
B: 	link onder dit plaat 
A: 	ja 
B: 	zitten er één met een paddenstoel 
B: 	hij kunnen ongeveer hij zitten rechtsboven in het scherm 
A: 	ja 
B: 	hij kunnen ongeveer anderhalf keer naar boven 
B: 	nou twee keer misschien wel 
A: 	ja 
A: 	en daar en daar linksonder zitten daar links schuin onder zitten toch de bal die erop zitten toch 
B: 	nee rechtsonder zitten 
A: 	rechtsonder zit die 
B: 	ja 
A: 	en dan de paddenstoel zitten daar links onder 
B: 	ja 
A: 	nee kloppen niet bij mij 
A: 	er zitten een bal voor 
A: 	ik hebben maar één van 
A: 	een ronde bal 
B: 	alleen die met de bal 
A: 	alleen met de bal 
B: 	dat zijn J 
A: 	en hij zitten rechtsboven 
A: 	en hij kunnen nog één keer omhoog 
B: 	nee 
A: 	en 
A: 	nee 
