B: 	deze hebben ik omschrijven als een brievenbus maar ik vinden het nu misschien veel weg hebben van een broodrooster 
B: 	het zijn een koffiebeker waaruit een klein stuk van een een een boek of in ieder geval een een rechthoek vierkant uit komen bovenin 
B: 	en er zitten drie uitsteeksel aan 
B: 	één daarvan zijn een beetje een een een rond iets een een soort pion 
A: 	een soort twee half lampenkap 
B: 	twee half lampenkap 
B: 	nou ja ik inzien er niet meteen lampenkapp in 
A: 	oké 
B: 	er zijn in ieder geval één koffiekopje en daar komen zeggen maar net bijna de breedte van het van de bovenkant van het kop komen een een stuk vierkant uit 
A: 	ja 
A: 	ja 
A: 	dat zijn ik met je eens en daar inderdaad de de wat rond vormen boven smal breed onder 
B: 	die zitten link 
A: 	ja en rechts kunnen je hem niet heel goed zien 
B: 	nee daar zitten geloven ik een 
A: 	er zitten nog iets voor 
A: 	een soort de uitsteeksel aan de voorkant zijn ook een beetje driehoekachtig 
B: 	ja 
B: 	ja 
A: 	met nog een lichtblauw pinne 
B: 	ja misschien dat er zelfs drie ding aan die kant uit steken 
A: 	ja 
A: 	dat zijn nummer acht 
B: 	oké 
B: 	ja bij mij staan bij mij zijn het het middel plaat 
B: 	als je het weer in vier kwadrant zullen verdelen dan zullen die net niet helemaal op het midden staan 
A: 	ja 
A: 	iets link uit het midden maar hij staan het veel in het midden 
B: 	ja en 
B: 	ja 
B: 	dat zijn dezelfde 
A: 	oké de broodrooster brievenbus 
B: 	ja 
A: 	met al dan niet lampenkapp 
B: 	duidelijk 
B: 	ja 
B: 	dat zijn letter E 
A: 	de vier in het midden 
A: 	kwadrant rechtsonder 
A: 	en heel dicht tegen het midden aan 
B: 	nee 
B: 	rechtsbof 
A: 	nee 
A: 	nee nee 
B: 	ander plek 
B: 	de broodrooster 
A: 	ja 
B: 	brievenbus 
A: 	ja hebbes nummer één 
B: 	hij staan bij mij ja hij zullen de middellijn denken ik net wel raken 
A: 	ja bij mij ook 
B: 	als je hem bij de E N pken 
A: 	of ja horizontaal bekijken 
B: 	ja 
B: 	en hij staan helemaal bovenin eigenlijk er zullen niks veel boven passen 
A: 	check 
A: 	hetzelfde 
A: 	de broodrooster 
B: 	de broodrooster dat zijn letter E 
A: 	kwadrant linksonder 
A: 	dat zijn geen twijfel 
A: 	en horizontaal zien in het midden 
A: 	verticaal zien in dat kwadrant iets boven het midden 
B: 	horizontaal zien in het midden 
B: 	hebben je daar vier bij elkaar staan toevallig 
A: 	dat zullen je wel kunnen zeggen ja 
B: 	als je die in kwadrant zullen verdelen 
A: 	dan zullen dat de rechtsboven zijn 
B: 	zullen dat rechtsboven zijn 
B: 	ja 
B: 	en hij staan bij de horizontaal middellijn staan daar net iets onder 
A: 	ja 
B: 	en verticaal kunnen er nog wel een plaat tussen middellijn en broodrooster 
A: 	ja er staan bij mij ook een plaat 
B: 	ja daar staan bij mij ook een plaat 
A: 	ja 
B: 	oké 
B: 	de broodrooster 
A: 	nummer zestien 
B: 	hij staan in ieder geval op de onderste lijn van al plaat in het rechterkwadrant 
A: 	ja 
B: 	als je het bekijken over de breedte van dat kwadrant staan die ongeveer in het midden ik denken iets link 
B: 	daarvan 
A: 	in het midden van het rechtsonderkwadrant ja 
B: 	ja 
A: 	hij hebben er nog 
B: 	er zullen nog twee twee plaat denken ik naast passen aan de rechterkant 
A: 	naast passen 
A: 	en er afstaan er ook twee link van 
B: 	dat zijn met die drie op een rij 
A: 	ja 
B: 	en dan de rechts daarvan 
A: 	ja 
B: 	ja 
A: 	brievenbus 
B: 	de brievenbus ja 
A: 	en broodrooster 
B: 	ja kunnen allebei 
A: 	ja 
B: 	letter O 
A: 	kwadrant linksonder 
B: 	ja sure 
A: 	en staan daarin als plaat bij mij ook het veel linksonder 
B: 	bij mij ook 
A: 	zullen nog een half plaat naast passen 
B: 	link van 
B: 	ja 
A: 	niks onder 
B: 	heel minimaal zullen er nog iets kunnen 
A: 	heel minimaal 
A: 	heel 
B: 	ja 
B: 	eens 
