B: 	oké dit zijn met die wokkel aan de onderkant 
B: 	snapen je 
A: 	die torderen 
B: 	ja die ja precies 
A: 	ja precies 
A: 	dat zijn vier 
A: 	die wokkel 
B: 	die gaan snel 
A: 	ja 
B: 	ik hebben hem helemaal rechts in de hoek staan 
B: 	rechtsbof in de hoek 
A: 	helemaal 
A: 	ik hebben er nog een figuur nog Erboven staan 
B: 	nee dan zijn het staan die op een ander plek 
A: 	oké 
A: 	ja dit zijn weer met dat torderen ding 
B: 	ja A 
A: 	ja 
A: 	en die zitten bij mij ja als je horizontaal lijn maken zitten die links ja eigenlijk op die lijn 
A: 	zeggen maar die emmer zitten op die lijn en dan de rest zitten eronder 
B: 	oké 
B: 	dan hebben ik het idee dat die verkeerd zitten 
B: 	want ik hebben hem als veel veel linker staan 
B: 	bijna tegen de rand van het scherm aan 
A: 	nee nee nee nee bij mij zitten er nog iets naast 
B: 	nee ander plek 
B: 	dit zijn die met die wokkel 
A: 	met die wokkel 
A: 	oké dat zijn tien 
B: 	lijken een beetje op een cocktail als ik er zo lang naar kijken 
A: 	ja of een trofee of zo of iets 
B: 	of een trofee een beetje zo'n zo'n drankjeachtig ja zo'n ja zo'n beker lijken het op ja 
A: 	ja ja ja 
A: 	ja 
A: 	ja zoiets 
B: 	maar die staan bij mij zeggen maar weer die kwadrant linksonder en dan daarvan in het midden op de onderste rij 
A: 	ja ja ja ja dat hebben ik ook 
A: 	er staan er nog één naast volgens mij 
B: 	ja kloppen 
A: 	ja dit zijn die trofee met het torderen 
B: 	ja 
B: 	dat zijn dat zijn L 
A: 	en die zitten bij mij ja 
B: 	ja zelfde plek 
B: 	de trofee de de de de beker de wokkel 
A: 	de trofee 
A: 	vier 
B: 	ik hebben hem kruis net iets dan van het kruis in het midden linksonder 
A: 	ja hebben ik ook hebben ik ook 
A: 	ja dit zijn die trofee met die wokkel 
B: 	ja 
B: 	dat zijn F 
A: 	ja en dat zijn dan ook dat kruis weer denken ik en dan rechtsboven 
B: 	nee links hebben ik veel 
A: 	van dat kruis 
B: 	ik hebben hem hier staan 
A: 	nou ik hebben hem ook hier 
B: 	nee dat kunnen nooit hetzelfde zijn dan 
A: 	nee nee nee 
