A: 	ja dit zijn de de vogel of de Eend 
B: 	een vogel 
A: 	zo zo vinden ik hem nee ? hebben je dat nooit ? oké 
B: 	nee 
B: 	oké 
A: 	hij hebben aan de rechterkant hebben die zeggen maar twee twee balk onder elkaar 
B: 	ja ja zijn zo'n soort istek 
A: 	en dan hebben die een hanenkam 
A: 	sorry 
B: 	ja 
B: 	zo'n soort istek 
A: 	ja 
B: 	ja ja 
A: 	ja en dan hebben die een hanenkam en dan hebben die dus zeggen maar aan de linkerkant hebben die een een soort staart zeggen maar een floeps 
B: 	ja zo'n soort ja 
A: 	en hij hebben dan twee een soort van vleugel 
B: 	met zo'n 
B: 	ja 
B: 	ja ik vinden het veel een soort istek maar het zijn inderdaad wel een soort vogel dus dat zijn bij mij I 
A: 	oké 
B: 	ja 
A: 	even kijken 
A: 	hij staan Linksboven weer 
B: 	ja 
B: 	ja 
A: 	hij staan aan de rechterkant van de zeggen maar tegen de lijn aan zeggen maar wel 
B: 	van de vorig 
A: 	tegen de bijna tegen de middellijn aan 
B: 	ja 
A: 	verticaal middellijn aan 
B: 	ja 
A: 	er staan niks veel boven zeggen maar er zullen nog één blok boven hem kunnen 
B: 	ja 
A: 	en ook één blok onder hem kunnen 
B: 	ja 
B: 	oké dan hebben we denken ik wel dezelfde plek 
A: 	oké 
B: 	oké nou hebben ik die vogel 
A: 	ah leuk 
A: 	even zoeken ah ja 
B: 	in zo'n web zo ja 
A: 	dat zijn nummer twee 
B: 	en die staan bij mij links onderin 
B: 	en dan ja verticaal ongeveer in het midden 
B: 	van het blok 
B: 	en horizontaal denken ik dat er misschien nog een half boven kunnen 
B: 	anderhalf onder zoiets 
A: 	ik ik zijn niet helemaal over de de verticaal 
B: 	ja 
A: 	ja bijna in het midden maar iets veel neigen die wel naar de buitenkant toe toch 
B: 	ja iets veel naar links ja 
A: 	ja 
B: 	ja 
A: 	en en dan horizontaal zijn het bijna evenveel ongeveer 
B: 	ja 
B: 	ja bij mij zitten die even kijken als dit het midden zijn 
A: 	misschien iets ver naar 
B: 	er kunnen zeggen maar weinig boven dan onder 
A: 	ja dan hebben ik hetzelfde 
B: 	ja oké 
A: 	de vogel hebben ik 
B: 	oké even kijken dat zijn bij mij M 
A: 	en dan staan die linksonder 
B: 	ja 
A: 	er staan ook niks veel naast 
A: 	er kunnen wel nog één vakje link naast 
B: 	ja 
A: 	er kunnen niks veel onder er zullen een half vak eronder kunnen zeggen maar 
B: 	nee 
B: 	ja 
B: 	oké dan staan die denken ik wel op dezelfde plek 
B: 	ja 
B: 	nu hebben ik die vogel 
A: 	ja 
A: 	nummer negen 
B: 	die staan bij mij Linksboven 
B: 	er staan er nog één naast 
A: 	diegene met de rui 
B: 	hij staan eigenlijk naast die met dat rui 
A: 	ja hè ? ja dan kloppen dat 
B: 	ja 
B: 	ja 
A: 	gewoon precies daarnaast eigenlijk ja 
B: 	ja 
B: 	ja ook even hoog zeggen maar 
A: 	ja 
A: 	dus ik hebben de vogel 
B: 	de vogel dat zijn F 
A: 	en dan staan die hij staan naast de neuspiercing eigenlijk 
B: 	ja 
B: 	ja bij mij ook zo net eronder 
A: 	ja 
A: 	ja dus dus dan hij zijn daar rechtsonder ja en zitten dus net één tussen nog naar de middellijn toe zeggen maar 
B: 	ja 
A: 	ja 
B: 	oké dan zijn het denken ik hetzelfde 
B: 	want die staan bij mij ook zo 
A: 	ja en die neuspiercing staan bij ons ook hetzelfde zeggen maar 
B: 	net zo onder die neuspiercing 
B: 	ja 
A: 	ja 
B: 	kunnen ook niet 
B: 	die vogel 
A: 	ah nummer zes 
B: 	waar hebben we hem 
B: 	die staan ja soort van linksonder maar wel echt best wel in bij de kruising zeggen maar 
A: 	ja dat kloppen wel 
B: 	ja 
A: 	maar hij staan veel tegen de horizontaal lijn aan dan aan de verticaal 
B: 	ja verticaal zitten die er nog net een stuk van af 
A: 	ja 
A: 	ja oké kloppen 
B: 	daar vliegen die naar toe zeggen maar 
