A: 	even kijken hoor dit figuur hebben vier uitsteeksel één rechts één link één linksonder en één boven 
A: 	en die boven en linksonder zijn een soort van pionnet 
A: 	en ik kunnen hem misschien nog makkelijk omschrijven aan de rechterkant dat uitsteeksel zijn eigenlijk een toren op de kop 
A: 	dus met de bovenkant van de toren tegen de rechterkant aan 
B: 	ja oké dus bovenop dat zijn zo'n zo'n ronde 
A: 	ja 
B: 	zijn een soort ronde en precies dezelfde zitten er ook op maar dan 
A: 	linksonder 
B: 	maar dan ja ja ja 
A: 	ja 
B: 	dat zijn E 
B: 	ja E 
A: 	en hij zitten bij mij in mijn scherm hebben ik aan de vanuit rechts zien twee figuur 
A: 	één in het midden en één naar boven 
A: 	en het zijn die figuur in het midden dus helemaal figuur rechtsmidid 
B: 	dus helemaal rechts 
A: 	ja helemaal rechts ja 
B: 	helemaal rechtsonder oké dat zijn een ander 
B: 	oké dit zijn er zitten een beetje een dinge in het scherm dus hij pakken hem niet helemaal 
B: 	maar dit zijn deze hebben weer zo'n omgekeer toren aan de rechterkant 
B: 	en twee langwerpig ding één bovenop en één linksonder 
A: 	even kijken hoor 
B: 	de een twee precies dezelfde ding en dan één zitten erbovenop die gaan die zijn best groot die gaan recht omhoog 
B: 	en er zitten hetzelfde zitten ook nog linksonder 
A: 	ja en de toren daarvan op de kop aan de rechterkant 
B: 	een toren aan de rechterkant 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer elf 
B: 	ja en dat vierkant waar we het net over hebben zitten die Linksboven 
A: 	ja bij mij ook 
A: 	dit zijn aan de rechterkant streekt er een toren uit 
A: 	die ertegenaan zitten en bovenop en linksonder zitten dezelfde figuur 
B: 	ja 
B: 	dat zijn J 
A: 	oké 
A: 	en even kijken het zijn de drie figuur van rechts in het midden 
A: 	dus rechtsboven zitten er één 
A: 	er zitten erin onderin zitten er één en dan in het midden 
B: 	ja 
B: 	nee dat zijn een ander 
A: 	nee 
B: 	dit zijn toren omgekeerd aan de rechterkant en dan een een langwerpig staaf bovenop en een langwerpig staaf linksonder 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	en hij zitten rechtsonder 
A: 	nee bij mij niet 
A: 	dit zijn degeen met de toren die er rechts tegenaan opsteken aan de rechterkant 
B: 	ja en twee van die 
A: 	met een pionne Erboven en linksonder 
B: 	ja 
A: 	ja 
B: 	dat zijn B 
A: 	en als we het over dat vierkant hebben van net aan de rechterkant 
B: 	ja 
A: 	dan zijn het de veel linksonder 
B: 	nee dat zijn hem niet 
B: 	ja 
B: 	toren aan de rechterkant en de twee zelfde uitsteekseltjes boven en linksonder 
A: 	ja 
A: 	nummer vier 
A: 	bij mij zitten die helemaal linksboven 
B: 	bij mij ook 
A: 	oké 
