B: 	oké begin of het zijn het bak en het bak staan op een soort van Swirly dinge 
B: 	en dat Swirly dinget zitten op een driehoek 
A: 	ja 
B: 	ik vinden het net een robot die naar boven komen zeggen maar draaien 
A: 	ik ik denken veel dat het een soort soort fancy cocktailglas zijn maar 
A: 	nummer vier 
B: 	oké 
B: 	hij staan bij mij rechts in de bovenhoek dus hier 
A: 	helemaal in de hoek 
B: 	ja helemaal in de hoek 
A: 	bij mij staan die wel rechts maar niet in de hoek er staan nog ding voor 
B: 	oké 
A: 	dit zijn wat ik net zeggen dat raar cocktailglas wat jij zeggen een soort ander ding 
A: 	je hebben zeggen maar dat dat voetstuk dat zijn zo draaien en dat staan op het driehoek 
B: 	ja 
B: 	ja ja ja ik hebben hem 
A: 	en dan met die blok erop zeggen maar 
B: 	ja 
B: 	A 
A: 	hij staan in de linkerhelft in het midden 
B: 	bij mij staan die helemaal links tegen de rand aan 
A: 	nee bij mij staan die echt nog wel echt van de rand af 
B: 	oké 
B: 	het fancy cocktailglas 
A: 	ja 
A: 	nummer tien 
B: 	hij staan bij mij helemaal onderaan 
B: 	zitten weinig ruimte tussen het einde van het scherm 
B: 	en hij staan een stuk naar de linkerkant 
B: 	niet een groot stuk in denk ongeveer een klein beetje rechts van het midden van link 
B: 	begrijpen je dat 
B: 	je hebben de linkerkant van het scherm en als je het midden van de linkerkant van het scherm neemt een klein beetje rechts van dat midden 
A: 	ja 
A: 	ja dat hebben ik ook wel 
A: 	het fancy cocktailglas 
A: 	met het driehoek onderop 
B: 	ja 
B: 	letter L 
A: 	en die hebben ik best wel rechts staan 
B: 	ja 
A: 	niet helemaal tegen de rand aan 
B: 	nee 
A: 	maar er bekendstaan ver ook niks veel omheen 
B: 	nee 
B: 	en ook boven 
A: 	ook boven ja 
B: 	en ook staan er niks veel boven en hij hij staat ongeveer net zo ver naar rechts als die naar boven staan 
A: 	ja 
A: 	ja precies 
B: 	ja 
B: 	zijn 
B: 	cocktailglas 
A: 	nummer vier 
B: 	hij staan 
B: 	als je de as hebben en dan linker zeggen maar kwart linksonder daar voor het veel deel in maar hij komen ook een klein beetje 
B: 	in het bovenste kwart en een klein beetje nou ja een klein beetje in het bovenste kwart zullen ik zeggen 
B: 	staan wel helemaal links van het midden denken ik 
B: 	maar een heel klein beetje onder van het midden 
A: 	ja 
A: 	echt in een beetje in dat hoek maar wel daarboven 
B: 	maar wel 
B: 	ja 
A: 	ja 
B: 	dus bijna helemaal in het midden zullen ik zeggen 
A: 	dan hebben ik dat ook 
A: 	het cocktailglas 
B: 	yes 
B: 	letter F 
A: 	en die staan waar die een wat jij net zeggen iets naar links van het midden staan 
A: 	deze juist iets naar rechts van het midden 
B: 	nee 
A: 	en dan vinden ik hem iets naar boven maar 
B: 	nee hij staan hij staan echt heel link van het midden bij mij 
A: 	oké 
