A: 	oké 
A: 	ik hebben nu een figuur met een bol op de bovenkant en aan de zijkant zijn twee stang die een beetje zo staan zeggen maar 
A: 	en aan de voorkant zitten een langwerpig rechthoek zeggen maar plakken 
B: 	oké 
B: 	ja 
B: 	zijn D bij mij 
A: 	oké 
A: 	en hij staan heel erg naar onder 
B: 	en 
B: 	ja 
A: 	kunnen niks veel onder 
B: 	nee 
A: 	maar best wel groot plaat net niet in het midden 
B: 	een 
B: 	ja net links van het midden 
A: 	ja 
A: 	maar hij raken het midden wel 
B: 	ja 
B: 	zelfde plek dan denken ik 
A: 	ja denken het ook 
A: 	er staan wachten ons scherm zien er natuurlijk ook hetzelfde uit toch ? dus zeggen maar er staan één plaat link van die 
B: 	ja 
B: 	en twee zo een beetje rechtsboven 
A: 	ja 
B: 	ja dan zijn het dezelfde denken ik 
A: 	denken het ook 
B: 	deze hebben een rechthoekig staaf aan de voorkant en een bol bovenop en stang aan allebei de kant uitsteken 
A: 	ja 
A: 	die stang die gaan een beetje zo zeggen maar 
B: 	ja 
A: 	hebben we deze niet net ook al 
B: 	ja 
A: 	oké 
B: 	volgens mij kwamen ze allemaal vaak voorbij 
A: 	oké 
A: 	ja dat zijn nummer vijftien 
B: 	hij staan bij mij rechtsonder in de hoek 
A: 	ja maar er toepassen er nog wel twee naast 
B: 	maar bij mij niet 
A: 	nee 
A: 	oké dan zijn het rood 
A: 	dit zijn die een met die bol bovenop en die twee buis ja dun buizen die zo gaan aan de linker en de rechterkant en vooraan die 
A: 	staaf die 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	en hij staan links van het midden 
B: 	en een beetje bovenaan maar niet helemaal bovenaan 
A: 	ja 
A: 	ja 
A: 	er staan zeggen maar linksonder en rechtsboven daarvan staan nog een figuurt 
B: 	ja 
A: 	maar niks veel Erboven 
B: 	ja 
A: 	het zijn zeggen maar de een soort van drie van link 
B: 	ja als je zo die vier op een rij zien zijn het de drie 
A: 	ja 
A: 	ja 
A: 	oké 
B: 	oké 
B: 	deze zijn met het de groot rechthoek aan de voorkant en een bol bovenop en een stang erdoorheen 
A: 	even kijken groot rechthoek aan de 
A: 	ja 
A: 	of bedoelen je die met die deze stanget zeggen maar 
B: 	ja 
A: 	die zo gaan naar voren en die rechthoek die zitten er zo 
B: 	ja zijn langwerpig 
A: 	ja 
B: 	ja 
A: 	oké dat zijn nummer zes 
A: 	en die staan bij mij best wel alleen rechts 
A: 	en Erboven staan wel figuur maar links en onder en rechts zijn best wel leeg 
B: 	bij mij staan er wel nog één precies onder 
B: 	hij staan van boven naar beneden eigenlijk precies in het midden 
A: 	nee dat zijn denken ik niet hetzelfde 
A: 	nee 
A: 	ik hebben nu die een met die bol bovenop en links en rechts zo die uitstekend stanget en vooraan die rechthoek ertegenaan plakken 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	en die staan er uitstaan er nog twee rechts van 
A: 	ja 
B: 	en ongeveer de op het in het midden van boven naar beneden 
A: 	ja 
A: 	heel ietsiepietsie naar boven denken ik 
B: 	ja 
A: 	en hij staat ongeveer rechtsonder staan nog een figuurt 
B: 	ja 
A: 	ja 
B: 	dit zijn met die rechthoek aan de voorkant en een bol bovenop 
B: 	en een stang erdoorheen 
A: 	ja 
B: 	weer 
A: 	dat zijn nummer drie 
A: 	en die staan helemaal rechts en in het midden 
B: 	ja net een beetje onder het midden 
A: 	ja ik denken het wel maar er staan niks veel rechts dan dat figuur 
B: 	nee 
A: 	nee 
