A: 	oké deze hebben een soort punt bovenop 
A: 	en dan een een soort vierkant aan de rechterkant dat zo steeds bred worden 
B: 	ja dat zijn bij mij J 
A: 	en bij mij staan die ja zo rechts onderaan als kunnen 
A: 	hij staan helemaal onderaan en er zitten nog zo'n stuk voordat die in de hoek zitten 
B: 	ja dat zijn dezelfde plek 
B: 	deze hebben een soort puntig ding erbovenop 
B: 	met dan dat vierkant wat iets dikk of dat blok dat iets dik worden aan de onderkant 
A: 	ja dat zijn bij mij zes 
B: 	en hij zitten links boven die jij net hebben op jou scherm en 
A: 	ja 
A: 	dus je hebben die helemaal schuin rechts helemaal rechts onderin en dan schuin daarboven 
B: 	ja 
A: 	ja dat zijn dezelfde plek 
A: 	deze hebben die punt bovenop 
A: 	en dat vierkant dat steeds bred worden aan de rechterkant 
B: 	ik zijn hem aan het zoeken 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	en hij zitten bij mij iets rechts van het midden 
A: 	en dan ongeveer zo'n stuk boven de onderkant van het scherm 
B: 	bij mij zijn het de veel rechts onder 
A: 	nee bij mij zijn het die links daarvan 
B: 	oké dan zijn het een ander 
B: 	ja die weer met het met de driehoek bovenop en de dat vierkant dat dik worden 
A: 	ja dat zijn bij mij tien 
B: 	helemaal links onderaan 
A: 	nee bij mij zitten die daar rechts van 
A: 	die met die punt bovenop en dat vierkant aan de zijkant dat steeds bred worden 
B: 	G 
A: 	helemaal Linksboven 
B: 	kloppen 
B: 	die met de driehoek bovenop en dat blok wat groot worden 
A: 	ja dat zijn nummer tien 
B: 	je hebben die veel rechts 
B: 	daar een stuk linksonder van 
A: 	ja dat zijn dezelfde plek 
