B: 	dit zijn een een soort theekopje met twee lepelt erin 
B: 	één hebben een wat puntig en een neus hebben die en één oor 
A: 	oké ja 
A: 	en zitten er zo'n hoe heten zoiets ? een rechthoek in zo'n 
B: 	ja er zitten een een staaf of een balk in 
A: 	oké dan zijn het nummer veertien 
B: 	hij staan net iets veel rechts van het midden 
A: 	ja 
B: 	zo het midden 
B: 	en net iets daaronder zo van het midden 
A: 	oké 
A: 	oké ik denken dat die wel op dezelfde plek zitten 
B: 	ja ik denken dat als je een lijn zo trekken en een lijn zo dat die precies tegen die twee lijn in het hoek zitten 
A: 	ja dan zitten die wel op dezelfde plek zo echt precies in het hoek in het midden 
B: 	oké 
B: 	ja 
A: 	ja oké dan zitten die op dezelfde plek 
A: 	oké dit zijn weer dat theekopje wat jij omschrijven maar dan met twee dinget erin de één wat puntig en de ander zo'n 
B: 	ja 
B: 	balk 
A: 	balk 
B: 	en de oor en de neus 
A: 	ja 
B: 	dan zijn het N 
A: 	bij mij staan die eigenlijk het veel links wat je maar kunnen bedenken 
B: 	oké 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn weer dat theekopje 
B: 	met die eenpuntig uitsteeksel één balk 
B: 	oor en de neus 
A: 	ja 
A: 	met die twee ding erin toch 
B: 	ja 
A: 	ja 
A: 	oké dat zijn nummer negen 
B: 	en hij staan een beetje tegen de middellijn deze middellijn aan 
A: 	oké nee 
B: 	en dan links 
A: 	nee 
B: 	oké 
A: 	hij staan bij mij echt helemaal Linksboven 
B: 	oké nee dan zijn het hem niet 
A: 	dus niet op dezelfde plek 
A: 	dit zijn dat theekopje eigenlijk maar dan met twee dinge in dus dat puntig en die 
B: 	ja 
B: 	ja 
B: 	dat zijn dan G 
A: 	oké bij mij staan die in het vlak linksonder 
A: 	en dan eigenlijk vlak bij allebei de lijn 
A: 	dus allebei de middellijan 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn weer dat theekopje met die twee staaf erin 
B: 	één puntig en één balk 
A: 	nummer vijf 
B: 	en hij staan in het vlak rechtsboven 
B: 	en er kunnen er in principe één boven 
B: 	en één nog naast als je naar de middellijn werken 
A: 	ja dus er zitten er nog één helemaal rechts naast 
A: 	bedoelen je 
B: 	ik bedoelen eigenlijk naar de linkerkant dan als je weer de middellijn deze middellijn pakken dan kunnen er nog één naast zeggen maar 
A: 	oké 
A: 	oké 
A: 	nee bij mij staan die wel het veel rechts in het vak vlak rechtsbof 
B: 	helemaal helemaal naar rechts 
A: 	ja helemaal naar rechts dus ik denken niet 
B: 	hij staan echt hier ergens zeggen maar 
A: 	ja 
B: 	ja oké nee 
A: 	en dan zitten er nog wel kunnen er nog in principe één rij naast maar dat zijn het 
B: 	oké nee 
A: 	oké niet dezelfde plek 
B: 	nee 
A: 	dit zijn dat theekopje met twee ding erin dus dat puntig en die rechthoekig 
B: 	ja 
B: 	dat zijn J 
A: 	bij mij staan die in het vlak rechtsboven 
A: 	en eigenlijk gewoon echt in het midden 
B: 	in het midden van dat vlak 
A: 	ja van dat vak vlak 
B: 	oké nee dan staan die niet op dezelfde plek 
