B: 	nu hebben ik toch het vierkant 
A: 	ja 
B: 	ze zeggen dat ik het niet zullen hebben 
B: 	oké dus ik moeten het beschrijven toch 
A: 	ja 
B: 	ja 
B: 	ik vinden die dat die een beetje op een vogelhuis lijken die hebben zo'n steel aan de linkerkant en zo'n 
B: 	rond plaat linksachter 
A: 	even kijken hoor 
A: 	hebben die er iets bovenop zitten 
B: 	ja rechts bovenop zitten ook nog zo'n uitgerekt soort van ovaal dinge 
A: 	even kijken hoor 
A: 	oké 
A: 	dit zijn echt moeilijk nog best wel 
A: 	oké 
B: 	het steunen ook op iets dat 
A: 	op een op gewoon een een plat iets of zijn het een kromme waar die op steunen 
B: 	het zijn iets ronds 
B: 	ronds en Langwerpigs 
B: 	daar steunen het op 
A: 	hebben die een soort van deksel 
A: 	zeggen maar dat dat er een soort van rondje achter zitten 
B: 	ja er zitten een een cirkel achter 
A: 	ja 
A: 	eigenlijk bestaan die uit één twee drie vier vijf deel ongeveer 
B: 	ja vijf inderdaad 
A: 	oké 
A: 	ja nee dan weten ik wachten dan moeten ik het zeggen 
A: 	oké dat zijn dertien 
B: 	oké en nu de plek 
A: 	ja 
B: 	even kijken bij mij staan die een beetje in het midden 
B: 	onderaan 
B: 	maar niet niet de onder 
A: 	maar niet helemaal 
B: 	want er zitten linksonder van dit plaat zitten nog iets 
A: 	ja 
A: 	hij hij liggen bijna gelijk aan één die rechts van diegene liggen of niet 
B: 	ja 
B: 	dus een lijn en dan zitten ze ongeveer twee op dezelfde en dit zijn dan de links 
A: 	ja 
B: 	volgens mij zitten ze op dezelfde plek 
A: 	ja oké 
B: 	ja 
A: 	wat denken jij dat dit ook weer zijn 
A: 	dit zijn met die basis en met een soort van dekseltje 
A: 	en ook met zo'n met zo'n staaf waar vogel op kunnen zitten 
A: 	en met een ja ja ik weten eigenlijk niet zo goed 
B: 	ja die een die een een pannet zullen kunnen zijn met dan iets met met met een buttplug die eruit steken 
A: 	ja 
A: 	ja ja 
B: 	dus dus O 
A: 	bij mij staan er nu in het midden een soort van zitten er vier wat een soort van vierkant zullen kunnen zijn 
B: 	ja bij mij ook 
A: 	en dan zijn het rechtsboven 
B: 	nee dat zijn rechtsonder bij mij 
B: 	ja toch anders 
B: 	dit zijn alweer die op het steelpannetje lijken met zo de rond deksel erachter 
B: 	met de de buttplug erbovenop 
A: 	even zoeken zoeken 
A: 	ja 
A: 	dat zijn acht 
B: 	bij mij zitten die nu helemaal rechts bovenaan 
A: 	ja echt zo lonely here 
B: 	Lonely 
A: 	dit zijn weer die wat een pannet kunnen zijn met die deksel 
A: 	en die buttplug 
B: 	even kijken 
B: 	ja dat zijn die 
B: 	dat zijn C 
A: 	als je de bovenste regel hebben dan hebben je dus drie aan de rechterkant en dan zijn het de middel 
B: 	ja 
B: 	nee zijn niet hetzelfde 
B: 	het zijn weer het pannet met deksel en de minibuttplug erop 
A: 	ja dat zijn zeven 
B: 	hij zitten bij mij 
A: 	bij mij zijn het gewoon helemaal linksonder 
B: 	nee 
B: 	zijn niet dezelfde plek 
A: 	oké dan 
A: 	ik denken dat zijn makkelijk 
A: 	dit zijn weer dat deksel 
A: 	dat pannet 
B: 	waar zijn die 
B: 	C 
A: 	en bij mij zijn dat de veel rechtsboven 
B: 	nee niet dezelfde plek 
