B: 	deze hebben een plaat erdoorheen aan de een beetje aan de bovenkant en twee poot eronderuit 
B: 	vinden ik het lijken 
B: 	en er staan een soort van omgekeerde driehoek afronden bovenop 
A: 	ja 
A: 	ja 
A: 	ja lijken een beetje op een tafel 
B: 	ja dat vinden ik ook een picknicktafel 
A: 	die 
A: 	ja oké top 
B: 	ja 
A: 	dan zijn het zestien 
B: 	oké bij mij staan die aan de rechterkant van het scherm in het midden maar er zitten er nog één rechts van ernaast 
A: 	oké bij mij staan die helemaal rechtsboven dus 
B: 	oké 
A: 	shit ik hebben op de verkeerd knopje duwen 
B: 	oké 
A: 	ja oké dat zijn niet handig 
B: 	oké 
A: 	dit zijn die met die picknicktafel 
B: 	ja nou dit zijn P 
A: 	en die staan bij mij helemaal rechts op het scherm hebben je dat rij van vijf en dan staan die in het midden 
B: 	ja 
B: 	ja dan zijn het op dezelfde plek 
B: 	oké ik hebben de picknicktafel 
A: 	even zoeken 
A: 	wow 
A: 	ja 
A: 	oké dat zijn veertien 
B: 	oké ik hebben net over die twee onderin dit zijn de onder 
A: 	ja oké dan staan die op dezelfde plek 
B: 	oké 
B: 	oké 
A: 	ik hebben die met de picknicktafel 
B: 	ja even zoeken 
B: 	ja dat zijn N 
A: 	en boven dat vierkant hebben je een driehoek 
B: 	ja 
A: 	en daar zijn die de onderste van bij mij 
B: 	ja dan staan die op dezelfde plek 
A: 	oké 
B: 	ik hebben een picknicktafel 
A: 	even zoeken 
A: 	dat zijn tien 
B: 	oké 
B: 	ja heel in het midden 
A: 	bij mij staan die in het midden bovenaan 
B: 	nee hij staat niet boven er staan er bij mij nog één boven 
A: 	oké dan staan die niet op dezelfde plek 
B: 	oké 
A: 	dit zijn die met de picknicktafel 
B: 	ja 
B: 	ja dat zijn D 
A: 	en die staan in dat driehoek rechtsboven 
B: 	ja 
A: 	zijn die rechtsonder 
A: 	dus er staan er nog één 
B: 	nog één boven en één onder 
A: 	ja nog één boven en nog één rechts onder 
B: 	nee dat zijn niet op dezelfde plek 
