B: 	deze hebben eigenlijk ook zo'n soort neus één staaf opsteken er boven uit en één 
B: 	diamant met dan nog een soort vormp er aan zeggen maar net zoals met die neuspiercing zo'n bol aan de zijkant 
A: 	ja 
A: 	ja en dan hebben je één of rechthoek en nog Sies ja of ja ja zoiets daar 
B: 	ja en iets dat aan de zijkant dan nog er uit opsteken ja 
A: 	ja 
A: 	nummer veertien 
B: 	nou je hebben dat eigenlijk dat rechthoek hier rechtsboven ? en dan zitten deze link onder degeen die link onderin staan 
A: 	ja 
A: 	zelfde plek 
B: 	ja 
A: 	ja dit zijn eigenlijk ook weer zo'n met zo'n neus en dan eigenlijk met een recht rechthoekig blok omhoog en die diamant achtig gebeuren 
B: 	ik zitten hem even te zoeken hoor 
A: 	en met een staaf aan de zijkant 
B: 	ja die twee ding bovenop hebben en nog één aan de zijkant dat zijn dan N 
A: 	ja 
A: 	ja ja 
B: 	van Nico 
A: 	die liggen dan niet op dezelfde plek want die liggen bij mij helemaal links 
B: 	liggen helemaal links bij jou ja bij mij zitten hij net zeggen maar daar naast dat zijn dan niet dezelfde plek 
A: 	helemaal links ja ja 
A: 	ah 
B: 	ja dit zijn weer niet die neus met de neuspiercing maar die neus waarbij die soort ruit met nog een dinge er aan en 
A: 	maar die ander 
A: 	ja 
A: 	die dat balk of zoiets 
B: 	ja dat balk en nog één aan de zijkant 
A: 	ja dat zijn dan nummer negen 
B: 	en ja als we het dan hebben over de veel links rij degeen die in het midden staan 
A: 	ok nee dan staan hij niet bij mij staan helemaal bovenaan 
A: 	even kijken ja dit zijn die dan ja ook met met die neus zeggen maar maar niet niet doorboren maar dan hebben je er met zo'n rechthoek bovenop en die omgekeeren 
A: 	kegel en aan de zijkant steken 
B: 	ja 
B: 	ja dat zijn dan G 
A: 	ja 
A: 	ok als je hier vierkant van link onderin het scherm pakken dan pak je de bovenste rij en dan veel rechts daarvan 
B: 	even kijken dan hebben je zeggen maar drie naast elkaar 
A: 	drie naast elkaar ja 
B: 	en dan zijn het de degeen de veel rechts dus zeggen maar staan net een beetje onder het midden van het midden 
A: 	de veel rechts ja 
A: 	ja 
B: 	ja dat zijn dan dezelfde plek 
B: 	dit zijn die ander niet die neuspiercing maar die ander met die neus en dan die kegel en die ding er nog bij 
A: 	ja ja ja 
A: 	zijn nummer vijf 
B: 	eigenlijk kunnen je in het midden een soort driehoek trekken waarbij dan de de lijn naar rechts wel iets lang zijn dan de lijn van van boven naar links en dan staan hij eigenlijk rechts in de hoek 
A: 	ja 
A: 	dus helemaal helemaal naar rechts in de hoek ja 
B: 	ja dus als je die driehoek zo pakken dan zijn deze twee best wel kort en zijn deze best wel lang en dan zijn het die 
A: 	okan ja en dan hebben je beetje links schuin onder hebben je er één zitten en nog en bijna recht er onder een beetje naar rechts hebben je er ook één zitten 
B: 	ja ja 
A: 	ja ok dat zijn dan op dezelfde plek 
A: 	ja dit zijn die met met weer met de neus zeggen maar dat bobbel aan de voorkant en met zo'n blok omhoog en die omgekeerde kegel huppeldepup en dan iets aan de zijkant 
B: 	ja 
B: 	kegel ja ja 
B: 	dat zijn dan J 
A: 	ok 
A: 	ja als we de bovenste lijn gaan pakken dan kunnen je van links naar rechts kunnen je één twee drie vier tellen 
B: 	ja zo 
A: 	en dan hebben je tussen de drie en de vier hebben je tussenin hebben je een blok zitten zeggen maar of ja een voorwerp tussen de drie en de vier echt beetje veel Nara de vier toe 
B: 	ja daar daar recht onder zeggen maar of nee wachten wat zeggen je nou ? drie en vier 
A: 	ja in 
A: 	ja en dan staan tussenin 
B: 	dus dan hebben je één twee drie vier en dan 
A: 	die trekken veel naar de vierkant naar de vier toe zeggen maar 
B: 	nee bij mij zitten hij wel echt dichter tegen die drie aan als je dan die drie hebben dan kunnen je er zeggen maar één zitten er zo'n beetje rechts recht onder 
A: 	ja 
A: 	ja 
B: 	en bij mij zitten hij daarvan rechts onder dus zeggen maar zo 
A: 	naar rechts nee nee bij mij staan hij dan dan iets er rechts er boven dan 
B: 	ok nee dat zijn dan niet op dezelfde plek 
