B: 	oké ja ik beschrijven het als Pippi Langkous het hebben aan beide kant drie kraalt laten maar zeggen die uit het kop komen 
A: 	ja 
A: 	ja en aan de onder 
B: 	en dan nog een vierkant eronder en een ronde ding met een haal aan de voorkant 
A: 	ja ja ja 
A: 	ja 
A: 	ja 
A: 	vijf 
B: 	dan staan die bij mij in de hoogte net onder het midden 
B: 	en dan net links naast het midden 
A: 	nee dan kloppen die niet 
B: 	wachten wachten 
B: 	link naast het midden van het midden van het linkerscherm laten maar zeggen 
A: 	nee bij bij mij staan die helemaal links en hij staan iets omhoog dus 
B: 	als je het scherm 
B: 	helemaal links 
A: 	bij jou 
A: 	ja zowat helemaal links en hij staan iets hoog dan het midden bij jou zitten die ook laag of niet 
B: 	oké 
B: 	nee 
A: 	dan zijn die rood 
B: 	dan zijn het niet hetzelfde 
A: 	nee 
B: 	oké 
A: 	even kijken jij hebben hem volgens mij als Pippi Langkous benoemen 
B: 	ja de met de drie 
A: 	met de drie kraalt en de ja 
B: 	yes 
B: 	J 
A: 	bij mij zitten die echt helemaal rechtsonder 
B: 	nee 
A: 	oké 
B: 	Pinokkio Pippi Langkous sorry Pippi Langkous Pippi Langkous 
A: 	Pippi Langkous oké 
A: 	ja Pippi Langkous 
B: 	Pippi Langkous 
A: 	elf 
B: 	bij mij staan die als je de linkerhelft pakken in het midden van de linkerhelft 
B: 	en dan net iets onder 
A: 	in het midden van de linkerhelft 
B: 	ja 
A: 	echt helemaal recht in het midden 
B: 	misschien misschien net iets naar links van de linkerhelft 
A: 	nee dan staan die daar al niet goed 
B: 	oké 
A: 	Pippi Langkous 
B: 	ja P 
A: 	en bij mij staan die in het rechtsbovenkwadrant 
B: 	ja 
A: 	en dan tegen aan de linkerkant zeggen maar dus tegen de middellijn van het heel scherm aan ongeveer 
B: 	nee nee hij zitten bij mij in het midden van het rechtsbovenkwadrant 
A: 	nee 
B: 	Pippi Langkous 
A: 	Pippi Langkous dat zijn negen 
B: 	en dan staan die precies in het midden alleen dan wel naar boven 
B: 	dus over de breedte in het midden 
A: 	precies in het midden 
B: 	boven het BenQteken oké misschien een millimeter naar rechts 
A: 	bij mij staan die 
A: 	nee bij mij staan die link van het BenQteken 
B: 	nee 
A: 	ja Pippi Langkous 
B: 	Pippi Langkous L 
A: 	bij mij linksbovenkwadrant 
B: 	nee 
B: 	bij mij zitten die echt bijna in het midden 
A: 	oké 
A: 	oké 
A: 	nee 
B: 	nee 
