A: 	deze hebben een soort hoed op met een uitlaatpijp aan de achterkant en een soort twee twee balk naar de rechterkant 
A: 	het lijken op een soort vorklift 
A: 	zo'n shovelding 
B: 	twee balk aan de rechterkant waar staan die ? ja die 
B: 	ja een soort hoed op zeggen je 
A: 	en dan zo'n uitlaat aan de achterkant 
B: 	ja ja ja ja ja 
B: 	bij mij zijn dat zijn dat nou een I of een L 
B: 	dat zijn de I 
A: 	en hij staan eigenlijk links boven die jij net hebben 
A: 	met die balk bovenop 
B: 	ja kloppen 
B: 	nou volgens mij houden ze allemaal inderdaad dezelfde positie 
B: 	dus dan zijn dat dezelfde positie linksboven die ik net hebben ja 
B: 	dan dit zijn met die die twee balk aan de rechts kant 
B: 	en een hoed op 
A: 	ja dat zijn nummer twee 
B: 	ja en dan moeten ik zeggen waar die staan 
B: 	de links slinger en zijn het de onder 
A: 	en tel je dan die een die helemaal onderaan vaststaan ook mee of niet 
B: 	nee want die hebben we die hebben we net al hebben 
A: 	dus die slinger van vier eigenlijk 
B: 	ja de slinger van vier de onderste ja 
A: 	ja dat hebben ik ook 
A: 	dit zijn die een met de uitlaat en het hoed en de twee balk naar de zijkant 
A: 	naar rechts 
B: 	uitlaaten het hoed en de balk naar rechts ja dat zijn bij mij M 
A: 	en die staan helemaal linksonder 
B: 	ja bij mij ook 
B: 	het hoed en de twee balk aan de rechts kant 
A: 	ja dat zijn nummer negen 
B: 	staan niet helemaal die linksboven die we net hebben maar één rechts daarnaast 
A: 	ja 
A: 	met het hoed op en de twee balk 
B: 	het hoed en de twee balk zijn bij mij F 
A: 	en dan staan die in het midden helemaal naar beneden 
A: 	en dan bijstaan er nog twee rechts onder 
A: 	en dan zijn het de één 
B: 	je bedoelen die drie in een lijn daar 
B: 	staan een beetje 
A: 	ja als je vanaf als je naar vanaf het midden helemaal naar beneden gaan dan komen je er één tegen 
B: 	ja 
A: 	en dan staan er nog één rechts onder 
A: 	en daaronder staan er ook weer één rechts maar het zijn de één 
B: 	ja zijn er zijn een rij van drie eigenlijk daar 
A: 	ja dus dan zijn het de twee 
B: 	bij mij zijn het de twee ja 
B: 	de middel van die drie 
A: 	ja 
B: 	oké en dat zijn dan dezelfde 
B: 	het hoed en de twee balk aan de rechts kant 
A: 	ja dat zijn zes 
B: 	vanuit het echt middelpunt er link naast zeggen maar 
A: 	de linksonder 
B: 	ja 
A: 	ja 
