A: 	raken ik zelf even in de war 
B: 	ja 
B: 	oké dit zijn eigenlijk een beetje nou dat zijn dat zijn gewoon de denken de lang van allemaal en dan van onder zijn eigenlijk een soort orkaan 
B: 	vinden ik 
A: 	ja 
B: 	ja zo'n twister 
B: 	en bovenop zien je twee blok en één zo'n 
A: 	ik zien ik omschrijven hem als trofee in mijn hoofd 
B: 	ja dat zijn de goed 
A: 	want je leggen net een beker of een trofee die je vastpken ja 
B: 	ja ja 
A: 	vier 
B: 	ja 
B: 	en die staan bij mij helemaal rechtsboven 
A: 	helemaal rechtsboven 
A: 	nee hier staan die ergens ander 
B: 	ja 
A: 	dat zijn het zijn de trofee of de bokaal 
B: 	waar hebben ik die alweer zien 
B: 	ja 
B: 	A 
A: 	hij staat ongeveer tussen twee en drie van links 
B: 	dan 
A: 	en ongeveer wel in het midden 
B: 	nee dan zijn die 
A: 	maar wel qua 
A: 	oké 
B: 	dit zijn die trofee 
A: 	de trofee 
A: 	ja 
A: 	tien 
B: 	en bij mij staan die helemaal onderaan en dan twee of drie rij van links 
A: 	er zullen nog wel één sowieso misschien twee tussen passen 
B: 	ja sowieso 
B: 	ja onderaan niet veel maar 
A: 	nee onder maar aan de linkerkant 
B: 	het ja er past nog wel twee tussen 
A: 	ja dan staan die denken ik wel gelijk 
A: 	het de trofee 
B: 	trofee 
B: 	L 
A: 	hij staan een beetje hetzelfde als waar die ander van jou net staan maar dan aan de rechterkant ook qua hoogte 
A: 	er zullen boven misschien nog een heel klein stuk bij kunnen maar links of rechts sorry zullen er niks veel bij kunnen denken ik 
B: 	ja 
B: 	dat zullen ongeveer wel kloppen 
B: 	dit zijn de trofee 
A: 	de trofee 
A: 	ja 
A: 	vier 
B: 	en ja hij staan ja vrij in het midden maar wel aan de linkerkant en ook een beetje onder 
B: 	zeggen maar als je het vlak in vier zullen delen zullen je net zeggen maar dan zullen die oké 
A: 	dus dus iets veel onder dan boven ja 
B: 	ja 
B: 	ja 
A: 	en maar wel in het midden iets naar links 
B: 	ja 
A: 	ja ja dan staan die denken ik gelijk 
A: 	bokaal 
B: 	de bokaal 
A: 	of de trofee 
B: 	F 
A: 	eigenlijk het tegenovergestelden wat jij net zeggen jij zeggen net linksonder 
B: 	ja 
A: 	die dan een beetje rechtsboven van het midden zeggen maar 
B: 	oké nee 
