A: 	ik vinden dit het kippe eigenlijk aan de rechts kant hebben die twee staaf en dat zullen een beetje een snavel kunnen zijn 
A: 	en dan hebben die aan de zijkant aan de linkerkant hebben die een soort van staaf naar achteren wat een soort van vleugel zullen kunnen zijn 
A: 	en aan de onderkant aan de links kant hebben die een soort van dinge wat naar achteren eruit gaan zo 
A: 	en aan de bovenkant hebben het zo'n soort vorm erbovenop zitten 
A: 	snapan je wat ik daarmee bedoelen 
B: 	nou ik zitten eigenlijk nog steeds te zoeken naar de twee staaf aan de rechterzijkant want die kunnen ik niet 
A: 	ja die eruit komen twee vierkant staaf 
B: 	daar ja ja ja ja hebbes 
A: 	zullen dat een soort van snavel kunnen zijn als je dat je inbeelden 
B: 	ja 
B: 	ik vinden het zo'n opdraaipoppe 
A: 	ja zullen kunnen ja en dan hebben die aan de zijkant hebben die nog zo'n ja aan de ander kant zeggen maar zijn zo'n vleugel wat eruit opsteken 
B: 	ja 
B: 	vleugel 
B: 	ja 
A: 	soort van puntdinge en dan 
B: 	ja 
B: 	maar dan wel met een plat dak 
A: 	ja 
B: 	ja 
A: 	en aan de onderkant zo'n dinge ja 
B: 	oké hebbes 
B: 	nou moeten ik even kijken want er staan een streepje ik weten niet of dat ja dat zijn een I 
B: 	er zijn ook een ander L namelijk 
A: 	oké bij mij staan die in het linksbovenkwadrant dus weer zullen we die gewoon vanaf nu één twee drie vier noemen 
B: 	als in één twee drie ja zijn goed 
A: 	ja of of gewoon of zullen ik gewoon Linksboven blijven zeggen 
B: 	nee zijn uitmaken niet uit het zijn ik snapn het 
A: 	Linksbovenkwadrant 
B: 	ja 
A: 	en dan denken ik dat die ongeveer dat er nog één boven zullen passen 
A: 	ongeveer 
A: 	en een ongeveer een half er rechts van zeggen maar vanaf de middellijn 
B: 	ja 
B: 	ja 
B: 	ja ja ja ja ja ja zelfde 
B: 	hier ook 
B: 	dit zijn die een met dat puntmuts die die plat zijn aan de bovenkant met die twee ding aan de zijkant 
A: 	ja de kip 
A: 	ja met die snavel 
B: 	ja die kip ja jij noemen het kip ja 
A: 	ja dat zijn bij mij twee 
B: 	hij staan in het linksonderkwadrant 
B: 	er kunnen er nog één onder en er kunnen er nog één rechts net als we net hebben als je een vierkantje zullen maken 
A: 	ja best wel ruim of niet 
B: 	Jo best wel ruim ja 
A: 	ja best wel ruim ja ik zullen zelfs misschien bijna zeggen dat die ja nee ja ik snapen ik denken dat het dezelfde plek zijn 
A: 	dit zijn de kip 
A: 	met de snavel zeggen maar 
A: 	aan de rechts kant 
A: 	met die vleugel 
B: 	ja 
A: 	ja 
B: 	M 
A: 	staan bij mij linksonderkwadrant zullen er nog net één naast kunnen 
A: 	en daaronder misschien een kwart 
B: 	ja 
B: 	dezelfde plek 
B: 	dit zijn de kip 
A: 	waar staan die 
B: 	zijn met zo'n 
A: 	nummer negen 
B: 	en hij staan bij mij linksbovenkwadrant kunnen iets veel naar rechts kunnen nog ongeveer een half driekwart boven 
A: 	ja ja eens 
A: 	de kip 
A: 	die zitten bij mij rechts onderin 
B: 	ja 
B: 	F 
A: 	bij rechtsonderkwadrant 
A: 	denken dat er een een driekwart zeggen maar onder zullen passen misschien nog half 
A: 	en hij zitten een klein beetje veel van de middellijn af 
B: 	nee hij zitten wel heel erg ver van de van de middellijn 
A: 	naar rechts 
A: 	nee klein 
B: 	ja 
A: 	ja van de totaal middellijn 
B: 	ja 
B: 	ja dat hebben ik ook 
B: 	dit zijn de kip 
A: 	ja nummer zes 
B: 	hij zijn links 
A: 	op de middellijn 
A: 	zo horizontaallijn zeggen maar 
B: 	nee sorry zo links 
A: 	ja 
B: 	en hij zitten zo op de middellijn maar dan wel net net 
A: 	ja dat bedoelen ik ja ja 
B: 	ja zo 
A: 	hij zitten links en dan zullen ja hij zitten een klein beetje gewoon wel duidelijk links van de middellijn 
B: 	ja 
A: 	maar van de horizontaallijn zitten hij eigenlijk bijna erop maar net iets eronder 
B: 	ja maar net iets eronder ja 
A: 	ja bij mij ook 
