A: 	ik zijn nu 
A: 	oké ik natuurlijk een bekervormpje natuurlijk en dan aan de voorkant zitten er een een bal 
B: 	ja 
A: 	met een balk erdoorheen 
A: 	met aan de uiteinde aan de rechterkant een cirkel 
B: 	oké F 
B: 	oké hij zitten bij mij nee jij mogen praten 
A: 	zitten die zitten ongeveer in het midden van het scherm 
A: 	hij zitten aan de rechterkant 
A: 	en er zijn hij staan er zitten een komme naast met een uitsteeksel 
B: 	nee hij zitten helemaal aan de rechterkant 
B: 	toch 
A: 	hij zitten aan mijn aan mijn mijn rechts 
B: 	ja bij mij ook 
B: 	hij zitten aan de rechterkant dus dat zijn hetzelfde 
A: 	oké 
A: 	jij drukken 
B: 	goed 
B: 	de bol aan de voorkant waar die staaf doorheen gaan met een cirkel eraan 
A: 	ja dat zijn vijf 
B: 	hij zitten aan de linkerkant 
B: 	wat veel richting het midden 
B: 	aan de bovenkant 
B: 	dus Linksboven 
B: 	maar dan wat rechts onderin 
B: 	dus van het vlak Linksboven 
A: 	ja 
B: 	zitten die rechts onderin 
A: 	die rechts onderin ja oké 
A: 	en het hoe vaak kant zullen die naar boven kunnen denken je ? bij mij kunnen die ongeveer één keer naar boven 
B: 	ja 
B: 	bij mij ook en ongeveer anderhalf keer naar de kant toe 
A: 	naar de bovenkant toe toch 
B: 	naar de zijkant toe 
A: 	bij mij kunnen die helemaal kunnen die naar de zijkant kunnen die nog vier keer naar de zijkant of zo 
B: 	richting het scherm 
B: 	vier keer 
A: 	ja echt heel veel keer nog naar de zijkant 
B: 	oké 
A: 	van links toch 
B: 	ja 
B: 	nou dan zijn die niet hetzelfde 
A: 	nee 
A: 	zo 
A: 	ja ik er zitten ik hebben een bal maar er zitten een balk doorheen 
A: 	bij dit kop 
B: 	oké en een cirkel 
A: 	ja 
B: 	ja 
B: 	dat zijn A 
A: 	en hij zitten ja even kijken hoor hij zitten aan de rechterkant 
A: 	net onder het rood balk 
A: 	en hij kunnen ja net onder het rood balk en hij gaan hij kunnen op zich op zijn weinig nog twee keer naar beneden eigenlijk hij zitten best wel dicht bij het 
B: 	bij mij zitten die echt precies in het midden van het qua hoogte zitten die precies in het midden 
A: 	van rechts 
B: 	nou qua ja hij zitten aan de rechterkant van het scherm maar qua hoogte zitten die precies in het midden 
A: 	ja 
A: 	nee dat kloppen niet 
A: 	it's wringen 
B: 	moeten ik weer drukken 
A: 	verdorie 
A: 	ik willen drukken 
B: 	dan zitten die wel goed 
B: 	oké dit zijn het kop met de knobbel aan de voorkant er gaan een staaf doorheen met die cirkel eraan 
A: 	ah ja 
A: 	dat zijn vijf 
B: 	zitten aan de rechterkant van het scherm 
B: 	ongeveer één van de middellijn af 
B: 	en qua hoogte 
A: 	ongeveer 
B: 	iets hoog dan het midden 
A: 	hij zitten in de hij zitten richting het midden 
A: 	in het midden van het midden toch 
B: 	hij zitten aan de rechterkant van het scherm 
A: 	midden 
A: 	ja 
B: 	vanaf het midden zien 
A: 	ja 
B: 	kunnen die er één van af 
A: 	oké 
B: 	en hij zullen twee naar boven kunnen 
A: 	kunnen die ook nog en naar het scherm toe zijkant van het scherm hoeveel keer zijn dat 
A: 	zijn die heel ver weg van de zijkant van het scherm 
B: 	drie keer of zo 
A: 	nee dan zijn mijn niet goed 
A: 	oké ik hebben een een bol en er zitten een staaf doorheen 
A: 	met een cirkel eraan vast aan de rechterkant 
B: 	ja 
B: 	dat zijn H 
A: 	en hij zitten vlak tegen de mok met het hendel aan 
A: 	een afgevlakken driehoek 
B: 	kloppen 
A: 	en hij kunnen volgens mij nog wel één keer naar beneden 
B: 	ja 
B: 	en hij zitten eigenlijk wel tegen de middellijn aan 
A: 	ja tegen de middellijn aan 
B: 	ja dat zijn goed 
B: 	zijn die met die knobbel met de staaf waar het cirkel aan vastzit 
A: 	knobbel met de staaf waar het cirkel aan vastzit 
B: 	een 
A: 	knobbel met de staaf 
B: 	ja er zijn een bolle aan de voorkant daar gaan een staaf doorheen en daar zitten een cirkel aan 
A: 	die ja 
A: 	ja dat zijn vijftien 
B: 	ik noemen dat zelf de slinger 
A: 	leuk 
A: 	een deel van mijn school heten zo 
B: 	echt 
A: 	ja 
B: 	ja 
B: 	rechtsbof 
B: 	maar wat veel richting het midden van het geheel scherm 
B: 	hij kunnen ongeveer één à anderhalf keer naar boven en twee keer naar rechts 
A: 	anderhalf keer naar boven en twee keer naar rechts 
B: 	ja 
A: 	nee kloppen niet 
