A: 	ik hebben nu de mok met een soort van steun aan de achterkant die lijken op een paaltje te staan en het zijn een soort van vier of rechthoek 
B: 	ja 
B: 	ja 
A: 	en er zitten twee hoe zeggen je dat handvaat waarvan de linkerkant iets kort zijn en de rechterkant lang 
B: 	ja 
B: 	dat zijn bij mij nummer K 
A: 	oké 
A: 	en hij staan als je het scherm weer in vier verdeelen Linksboven 
A: 	en dan een beetje in het midden ongeveer daarvan 
B: 	ja 
B: 	en er staan geen ander object naast of zo aan de linkerkant 
A: 	nee 
B: 	dat zijn dan bij mij dezelfde plek 
A: 	oké 
B: 	ik hebben in principe weer het basismodel waarbij dan 
B: 	schuin een vierkant achter staan waar dat op een soort voet steunen met een kort uitsteeksel aan de linkerkant die rond afronden zijn en dan een lang 
A: 	ja 
A: 	dat zijn nummer negen hier 
B: 	bij mij staan die rechts rechtervak boven 
B: 	en dan veel richting de horizontaal middellijn denken 
A: 	ja 
A: 	hier denken ik ook 
A: 	dit zijn de mok waarbij aan de achterkant een soort van steunpilaart staan 
A: 	op een paaltje met een vierkant blok daaraan vast 
B: 	ja 
A: 	en link zitten een handvat wat hetzelfde zijn als rechts alleen rechts lang 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	oké 
A: 	die zitten in het vlak linksonder en eigenlijk midden op de horizontaal lijn 
B: 	ja hetzelfde 
B: 	ik hebben degeen met het vierkant vlak schuin erachter 
B: 	met een ondersteunen ja vorm erachter en dan hebben je aan de linkerkant dat rond aflopen 
B: 	puntig geval en aan de rechterkant dat lang puntig geval om armp 
A: 	ja 
A: 	nummer drie zijn dat hier 
B: 	en bij mij staan die dan veel in de onderkant van link 
B: 	onderste linkerkant 
B: 	en ja iets veel richting het midden denken dan daarvan 
A: 	ja 
A: 	hier ook 
A: 	ja gelijk 
A: 	dit zijn de mok met dat rugsteuntje achterin 
A: 	die op een paaltje staan met een vierkant daarachter 
A: 	met handvaat er die rechter lang zijn dan links 
B: 	ja 
B: 	ja dat zijn bij mij L 
A: 	oké 
A: 	ja die zitten op de horizontaal lijn 
A: 	echt ja eigenlijk richting de kruising wel van 
B: 	nee dan zitten die bij mij heel ergens ander 
A: 	oké 
B: 	ik hebben degeen met het vierkant vlak wat ondersteunen worden door een voet met de zijn 
B: 	lang en dan de linker iets kort allebei rond afgevormen 
A: 	ja 
A: 	even kijken 
A: 	nummer vijf 
B: 	en bij mij staan die op de verticaal lijn soort van in het in het midden daarvan 
A: 	ja 
B: 	en dan wel aan de onderkant van het scherm 
A: 	ja 
